t,ap,cp,v
1738573685,5500.00,5500.00,94
1738573741,5500.00,5500.00,94
1738573814,5500.00,5500.00,94
1738574159,5465.93,5433.35,1968
1738574219,5467.92,5493.30,2946
1738574279,5469.13,5460.00,3506
1738574339,5473.88,5501.85,3995
1738574399,5477.07,5480.00,4543
1738574459,5473.76,5434.85,5104
1738574519,5472.77,5467.60,5381
1738574578,5472.72,5467.65,5456
1738574639,5471.83,5449.55,5714
1738574699,5470.31,5444.75,6084
1738574759,5470.52,5488.25,6471
1738574819,5470.98,5491.40,6683
1738574879,5472.70,5487.25,7167
1738574939,5472.81,5490.95,7289
1738574999,5472.90,5480.00,7337
1738575059,5472.93,5469.80,7444
1738575119,5472.76,5455.00,7542
1738575179,5470.39,5428.95,7983
1738575239,5469.53,5434.85,8201
1738575299,5469.28,5445.15,8268
1738575359,5467.10,5430.10,8750
1738575419,5466.45,5434.85,8929
1738575479,5466.34,5434.00,8958
1738575539,5466.09,5431.80,9019
1738575599,5465.96,5442.80,9060
1738575659,5465.43,5437.70,9271
1738575719,5464.71,5427.10,9614
1738575779,5463.46,5427.05,9926
1738575839,5463.02,5436.80,10076
1738575899,5462.96,5454.90,10291
1738575959,5462.63,5446.85,10483
1738576019,5462.56,5456.80,10546
1738576079,5462.53,5458.25,10679
1738576139,5462.50,5458.25,10746
1738576199,5462.49,5463.10,10778
1738576259,5462.47,5459.50,10815
1738576319,5462.43,5448.50,10859
1738576379,5462.39,5452.75,10895
1738576439,5462.40,5468.55,10977
1738576499,5462.61,5483.00,11096
1738576559,5462.75,5471.15,11239
1738576619,5462.81,5474.45,11287
1738576679,5462.82,5472.95,11288
1738576739,5462.88,5484.90,11330
1738576799,5463.12,5485.00,11500
1738576859,5463.13,5480.00,11506
1738576919,5463.21,5480.00,11566
1738576979,5463.28,5487.30,11595
1738577039,5463.32,5483.90,11615
1738577099,5463.40,5474.25,11681
1738577159,5463.92,5492.90,11924
1738577219,5464.57,5500.00,12167
1738577279,5464.63,5493.05,12190
1738577339,5464.93,5488.70,12317
1738577399,5464.97,5489.10,12336
1738577459,5465.36,5495.15,12499
1738577519,5465.48,5494.10,12548
1738577579,5466.02,5493.60,12759
1738577639,5466.30,5496.70,12903
1738577699,5466.34,5495.25,12921
1738577759,5466.49,5498.75,12977
1738577819,5466.54,5496.20,12996
1738577879,5466.58,5494.50,13017
1738577939,5466.72,5485.00,13109
1738577998,5466.74,5493.90,13123
1738578059,5466.96,5471.70,13405
1738578119,5466.96,5469.20,13423
1738578179,5466.99,5478.75,13463
1738578239,5467.01,5482.35,13474
1738578299,5467.10,5478.00,13534
1738578359,5467.15,5479.00,13590
1738578419,5467.16,5480.45,13606
1738578479,5467.20,5485.40,13633
1738578539,5467.21,5489.65,13637
1738578599,5467.21,5489.65,13642
1738578659,5467.23,5489.40,13650
1738578719,5467.24,5482.15,13657
1738578779,5467.24,5486.30,13662
1738578839,5467.25,5472.55,13679
1738578899,5467.26,5483.40,13693
1738578959,5467.27,5482.05,13695
1738579019,5467.32,5480.60,13752
1738579079,5467.35,5481.00,13805
1738579139,5467.38,5495.00,13827
1738579199,5467.40,5500.80,13839
1738579259,5467.40,5500.80,13839
1738579319,5467.45,5496.00,13859
1738579379,5467.52,5500.70,13890
1738579439,5467.60,5489.90,13949
1738579499,5467.78,5503.45,14022
1738579559,5467.79,5502.50,14028
1738579618,5467.98,5502.50,14100
1738579679,5468.22,5503.00,14190
1738579739,5468.27,5509.50,14208
1738579799,5468.35,5506.20,14238
1738579859,5468.65,5514.05,14340
1738579919,5468.78,5508.30,14383
1738579979,5468.84,5501.60,14409
1738580039,5468.96,5508.25,14454
1738580098,5469.10,5509.00,14504
1738580158,5469.27,5510.00,14564
1738580219,5469.29,5511.70,14573
1738580279,5469.42,5514.45,14617
1738580339,5469.44,5516.70,14623
1738580399,5469.72,5529.00,14699
1738580459,5470.24,5531.55,14834
1738580519,5470.48,5532.15,14896
1738580578,5470.73,5528.15,14957
1738580639,5470.85,5525.80,14989
1738580699,5471.10,5533.45,15052
1738580759,5471.19,5529.25,15075
1738580819,5471.21,5523.45,15081
