t,ap,cp,v
1738573677,167.70,167.70,1622
1738573682,167.70,167.70,1622
1738573760,167.70,167.70,1622
1738574023,167.70,167.70,1622
1738574047,167.70,167.70,1622
1738574159,166.82,166.65,4448
1738574219,166.12,165.60,11710
1738574279,166.03,166.05,14556
1738574339,166.03,166.05,14854
1738574399,166.11,166.05,18281
1738574459,166.07,165.45,19306
1738574518,165.95,165.00,21695
1738574579,165.90,165.50,22886
1738574638,165.89,165.60,23111
1738574699,165.89,165.20,23500
1738574758,165.81,165.45,25722
1738574819,165.83,166.65,28414
1738574879,165.89,166.40,31021
1738574939,165.89,165.40,32680
1738574998,165.89,165.20,32737
1738575059,165.81,164.25,34907
1738575119,165.78,164.20,35441
1738575179,165.64,163.45,37970
1738575239,165.44,162.95,41164
1738575299,165.41,162.75,41669
1738575359,165.11,162.60,46519
1738575419,165.07,162.30,47074
1738575478,165.03,162.10,47779
1738575539,164.91,162.00,49700
1738575599,164.89,161.60,49999
1738575659,164.84,161.90,50841
1738575719,164.84,161.70,50911
1738575779,164.77,162.10,52046
1738575839,164.65,162.15,54524
1738575899,164.11,161.65,67053
1738575959,164.10,161.45,67288
1738576019,164.09,161.90,67566
1738576079,164.07,162.10,68278
1738576138,164.03,162.00,69611
1738576199,163.94,162.15,72155
1738576257,163.94,162.30,72326
1738576319,163.92,162.10,72914
1738576379,163.92,161.60,73053
1738576438,163.91,162.05,73280
1738576499,163.85,161.80,75323
1738576559,163.83,161.50,76177
1738576619,163.77,161.75,78196
1738576679,163.73,161.35,79344
1738576738,163.68,161.40,80932
1738576799,163.67,161.50,81243
1738576859,163.66,161.45,81488
1738576918,163.65,161.95,81806
1738576978,163.65,161.50,82115
1738577038,163.64,161.60,82319
1738577098,163.63,161.50,82782
1738577159,163.60,161.20,84013
1738577219,163.46,161.20,88250
1738577279,163.42,161.25,89962
1738577339,163.38,161.40,91598
1738577399,163.37,161.55,92052
1738577458,163.37,161.55,92211
1738577519,163.37,161.95,92250
1738577579,163.36,162.00,92523
1738577639,163.35,161.75,93156
1738577699,163.34,161.30,93630
1738577759,163.28,160.85,95965
1738577819,163.21,163.10,112045
1738577879,163.22,163.25,114448
1738577939,163.21,162.90,117022
1738577999,163.21,162.80,117364
1738578059,163.21,162.70,120896
1738578119,163.20,162.50,123737
1738578179,163.19,162.30,124536
1738578239,163.19,162.80,125446
1738578299,163.18,162.50,126563
1738578359,163.18,161.80,126920
1738578419,163.16,161.70,128033
1738578479,163.12,161.80,130977
1738578539,163.10,161.00,132687
1738578599,163.10,161.15,133036
1738578659,163.08,161.10,133807
1738578719,163.08,160.85,134198
1738578779,163.04,160.55,136261
1738578839,163.03,160.55,137263
1738578899,163.02,161.10,137398
1738578959,163.02,161.20,137625
1738579019,163.01,161.30,138089
1738579079,162.99,161.35,139523
1738579139,162.99,161.00,139670
1738579199,162.99,161.15,139826
1738579259,162.98,161.25,140431
1738579319,162.97,161.25,141431
1738579379,162.96,161.45,141965
1738579439,162.96,161.45,142098
1738579499,162.96,161.65,142204
1738579559,162.96,161.50,142399
1738579619,162.96,161.50,142606
1738579678,162.96,161.55,142890
1738579739,162.95,161.50,142966
1738579799,162.94,161.25,144197
1738579858,162.92,161.30,145910
1738579919,162.91,160.90,146751
1738579979,162.91,160.80,146833
1738580039,162.90,160.80,147546
1738580099,162.88,160.70,148830
1738580158,162.88,160.75,148983
1738580219,162.88,160.90,148987
1738580279,162.87,160.85,149412
1738580339,162.86,160.85,149854
1738580398,162.86,160.80,150306
1738580459,162.85,160.80,150431
1738580519,162.85,161.00,150616
1738580578,162.85,160.80,150871
1738580638,162.85,160.95,150936
1738580698,162.85,161.00,150948
1738580759,162.84,160.70,151337
1738580819,162.84,160.55,151685
1738580879,162.84,160.90,151769
1738580937,162.82,160.85,152789
1738580999,162.82,160.85,152928
1738581059,162.82,161.00,153290
1738581119,162.81,161.35,154149
1738581179,162.81,161.20,154159
1738581239,162.81,161.05,154233
1738581299,162.80,161.35,154956
1738581359,162.80,161.40,154980
1738581419,162.80,161.70,155213
1738581479,162.80,161.75,155439
1738581538,162.80,161.75,155501
1738581597,162.80,161.70,155569
1738581657,162.79,161.55,155732
1738581719,162.78,161.80,157035
1738581779,162.78,161.70,157177
1738581838,162.78,161.30,157589
1738581899,162.77,161.30,158315
1738581959,162.77,161.50,158465
1738582018,162.77,161.20,158538
1738582078,162.77,161.30,158581
1738582139,162.76,160.90,159567
1738582199,162.76,160.90,159567
1738582258,162.76,160.90,159567
1738582318,162.76,160.65,159833
1738582379,162.76,160.80,159846
1738582439,162.74,160.65,161344
1738582499,162.74,160.40,161347
1738582559,162.74,160.85,161373
1738582618,162.74,160.70,161375
1738582679,162.73,160.75,161652
1738582738,162.73,160.70,161677
1738582799,162.73,160.40,161752
1738582859,162.73,160.60,161762
1738582919,162.73,160.50,162043
1738582979,162.70,160.50,163783
1738583039,162.70,160.35,163981
1738583098,162.68,160.50,165055
1738583159,162.67,160.30,165680
1738583219,162.65,160.50,167793
1738583279,162.65,160.55,167893
1738583339,162.64,160.40,168209
1738583399,162.62,160.40,170010
1738583459,162.60,160.40,171209
1738583519,162.60,160.40,171276
1738583578,162.60,160.40,171362
1738583639,162.60,160.40,171403
1738583697,162.60,160.50,171524
1738583759,162.60,160.60,171561
1738583819,162.60,160.60,171561
1738583875,162.59,160.70,171637
1738583939,162.58,160.75,172688
1738583999,162.58,160.75,172708
1738584057,162.58,160.90,172786
1738584119,162.58,160.80,172897
1738584179,162.58,160.80,172901
1738584237,162.57,160.95,173906
1738584299,162.57,160.65,174216
1738584359,162.57,160.85,174231
1738584419,162.57,160.85,174442
1738584479,162.56,160.65,174948
1738584537,162.56,160.60,175028
1738584599,162.55,160.40,176028
1738584655,162.53,160.50,177175
1738584715,162.53,160.60,177185
1738584779,162.53,160.60,177195
1738584839,162.53,160.60,177255
1738584899,162.53,160.50,177338
1738584959,162.53,160.50,177519
1738585019,162.53,160.50,177706
1738585079,162.51,160.20,179428
1738585139,162.50,160.55,180210
1738585199,162.49,160.25,180340
1738585259,162.49,160.50,180381
1738585318,162.49,160.40,180444
1738585379,162.49,160.40,180645
1738585437,162.49,160.55,180718
1738585498,162.49,160.50,180748
1738585559,162.49,160.50,181001
1738585619,162.49,160.50,181077
1738585679,162.48,160.50,181633
1738585738,162.47,160.70,182258
1738585799,162.47,160.80,182693
1738585856,162.47,160.80,182693
1738585919,162.47,160.70,182726
1738585979,162.47,160.70,182726
1738586038,162.47,160.65,182829
1738586099,162.47,160.75,182899
1738586158,162.47,160.80,182900
1738586218,162.47,160.80,182900
1738586277,162.47,160.65,183113
1738586339,162.47,160.65,183149
1738586399,162.47,160.80,183151
1738586459,162.46,160.80,183231
1738586519,162.46,160.80,183634
1738586578,162.46,160.80,183693
1738586637,162.46,160.80,183746
1738586697,162.46,160.65,183947
1738586759,162.46,160.70,183967
1738586819,162.46,160.75,184007
1738586878,162.46,160.70,184014
1738586939,162.45,160.75,184217
1738586997,162.45,160.70,184227
1738587056,162.45,160.70,184377
1738587119,162.45,160.70,184483
1738587172,162.41,160.60,188346
1738587239,162.37,160.50,192056
1738587299,162.37,160.50,192056
1738587356,162.37,160.60,192269
1738587419,162.37,160.65,192329
1738587479,162.37,160.60,192380
1738587539,162.36,160.60,193340
1738587598,162.36,160.70,193522
1738587659,162.35,160.90,193846
1738587719,162.35,160.90,193846
1738587778,162.35,160.75,193851
1738587839,162.35,161.20,194038
1738587899,162.35,161.20,194074
1738587959,162.35,161.20,194074
1738588018,162.35,161.15,194103
1738588079,162.35,161.25,194199
1738588139,162.35,161.25,194250
1738588197,162.35,161.15,194322
1738588259,162.35,161.15,194372
1738588319,162.35,161.35,194428
1738588377,162.35,161.35,194528
1738588439,162.35,161.50,194778
1738588495,162.35,161.35,194824
1738588557,162.35,161.45,194825
1738588619,162.35,161.45,194825
1738588679,162.35,161.30,194935
1738588739,162.35,161.25,194937
1738588797,162.35,161.10,195219
1738588856,162.35,161.10,195219
1738588918,162.35,161.25,195235
1738588979,162.35,161.25,195235
1738589038,162.35,161.30,195240
1738589099,162.35,161.25,195242
1738589159,162.35,161.10,195317
1738589218,162.35,161.10,195522
1738589279,162.34,161.10,195926
1738589339,162.34,161.10,196143
1738589399,162.34,161.00,196173
1738589459,162.34,161.05,196325
1738589519,162.34,160.80,196346
1738589579,162.34,161.00,196357
1738589637,162.33,161.00,197266
1738589699,162.33,161.00,197287
1738589758,162.33,161.10,197603
1738589818,162.33,161.10,197603
1738589879,162.33,161.45,197839
1738589939,162.33,161.35,197845
1738589999,162.31,161.50,202467
1738590059,162.31,161.50,202482
1738590119,162.31,161.50,202482
1738590179,162.31,161.45,202485
1738590239,162.31,161.50,202500
1738590298,162.31,161.50,202601
1738590359,162.31,161.50,202601
1738590418,162.31,161.40,202639
1738590477,162.31,161.25,202655
1738590538,162.31,161.25,202655
1738590599,162.31,161.50,202665
1738590659,162.31,161.50,202794
1738590719,162.31,161.25,202917
1738590779,162.30,160.60,203011
1738590839,162.30,161.00,203245
1738590899,162.30,160.95,203306
1738590958,162.30,161.05,203518
1738591019,162.30,161.05,203660
1738591079,162.30,161.05,203976
1738591139,162.30,161.00,204000
1738591199,162.30,161.25,204510
1738591259,162.29,161.30,204622
1738591319,162.29,161.50,204632
1738591378,162.29,161.40,204662
1738591437,162.29,161.40,204662
1738591498,162.29,161.40,204682
1738591559,162.29,161.30,204703
1738591619,162.29,161.35,204803
1738591679,162.29,161.35,204825
1738591737,162.29,161.35,204825
1738591798,162.29,161.30,204968
1738591858,162.29,161.30,204980
1738591919,162.29,161.30,204980
1738591978,162.28,161.50,207298
1738592038,162.28,161.65,207402
1738592099,162.28,161.50,207489
1738592159,162.28,161.50,207500
1738592219,162.27,161.55,209944
1738592278,162.26,161.05,211538
1738592339,162.26,161.30,211588
1738592399,162.26,161.15,211606
1738592457,162.26,161.15,211610
1738592519,162.26,161.15,211613
1738592579,162.26,161.40,211617
1738592639,162.26,161.30,211705
1738592695,162.26,161.30,211716
1738592758,162.26,161.30,211740
1738592818,162.26,161.30,211916
1738592878,162.26,161.35,211921
1738592939,162.26,161.50,212022
1738592997,162.26,161.55,212132
1738593059,162.26,161.35,212652
1738593119,162.26,161.35,212652
1738593179,162.26,161.00,212748
1738593239,162.26,161.00,212874
1738593299,162.26,161.20,212885
1738593359,162.26,161.05,213031
1738593416,162.26,161.05,213031
1738593479,162.25,161.00,213591
1738593538,162.25,161.00,213611
1738593598,162.25,161.15,213654
1738593659,162.25,161.05,213994
1738593719,162.24,160.85,214915
1738593778,162.24,160.60,215297
1738593839,162.24,160.65,215465
