t,ap,cp,v
1738573664,1.88,1.88,50549
1738573741,1.88,1.88,50549
1738573898,1.88,1.88,50549
1738573970,1.88,1.88,50549
1738574158,1.88,1.88,80301
1738574218,1.88,1.88,99435
1738574278,1.88,1.88,106660
1738574339,1.88,1.88,110012
1738574399,1.88,1.88,111054
1738574459,1.88,1.88,112990
1738574519,1.88,1.88,115896
1738574577,1.88,1.88,124454
1738574635,1.88,1.88,125294
1738574692,1.88,1.88,127773
1738574758,1.88,1.88,129804
1738574819,1.88,1.88,149364
1738574877,1.88,1.88,152065
1738574936,1.88,1.88,157703
1738574994,1.88,1.88,181916
1738575059,1.88,1.88,183440
1738575116,1.88,1.88,186962
1738575171,1.88,1.88,193840
1738575238,1.88,1.88,195649
1738575298,1.88,1.88,201900
1738575358,1.88,1.88,252500
1738575419,1.88,1.88,253903
1738575478,1.88,1.88,256335
1738575536,1.88,1.88,257187
1738575598,1.88,1.88,262798
1738575658,1.88,1.88,269138
1738575716,1.88,1.88,269242
1738575779,1.88,1.88,269423
1738575834,1.88,1.88,269678
1738575899,1.88,1.88,270868
1738575959,1.88,1.88,271468
1738576005,1.88,1.88,272270
1738576077,1.88,1.88,273492
1738576135,1.88,1.88,284645
1738576198,1.88,1.88,285811
1738576251,1.88,1.88,286383
1738576317,1.88,1.88,287424
1738576378,1.88,1.88,302524
1738576438,1.88,1.88,303640
1738576495,1.88,1.88,308717
1738576554,1.88,1.88,314257
1738576616,1.88,1.88,314263
1738576671,1.88,1.88,314757
1738576739,1.88,1.88,314887
1738576797,1.88,1.88,314997
1738576854,1.88,1.88,316329
1738576910,1.88,1.88,317421
1738576979,1.88,1.88,318407
1738577034,1.88,1.88,328617
1738577095,1.88,1.88,328700
1738577143,1.88,1.88,328956
1738577206,1.88,1.88,329170
1738577277,1.88,1.88,331677
1738577339,1.88,1.88,332678
1738577386,1.88,1.88,334333
1738577452,1.88,1.88,400175
1738577518,1.88,1.88,401843
1738577576,1.88,1.88,402013
1738577639,1.88,1.88,402083
1738577697,1.88,1.88,404212
1738577753,1.88,1.88,406337
1738577813,1.88,1.88,407837
1738577865,1.88,1.88,408030
1738577931,1.88,1.88,408178
1738577998,1.88,1.88,409003
1738578045,1.88,1.88,420006
1738578108,1.88,1.88,420028
1738578154,1.88,1.88,420528
1738578234,1.88,1.88,420968
1738578281,1.88,1.88,420972
1738578354,1.88,1.88,423648
1738578407,1.88,1.88,429608
1738578472,1.88,1.88,433608
1738578532,1.88,1.88,435118
1738578584,1.88,1.88,435288
1738578654,1.88,1.88,435323
1738578694,1.88,1.88,435686
1738578764,1.88,1.88,447302
1738578811,1.88,1.88,447662
1738578897,1.88,1.88,447722
1738578928,1.88,1.88,447730
1738579019,1.88,1.88,448380
1738579073,1.88,1.88,451025
1738579123,1.88,1.88,453115
1738579199,1.88,1.88,453165
1738579258,1.88,1.88,453840
1738579317,1.88,1.88,454930
1738579432,1.88,1.88,455458
1738579499,1.88,1.88,455708
1738579544,1.88,1.88,455708
1738579599,1.88,1.88,455708
1738579641,1.88,1.88,455708
1738579739,1.88,1.88,456122
1738579791,1.88,1.88,457114
1738579827,1.88,1.88,457195
1738579918,1.88,1.88,457445
1738579974,1.88,1.88,477051
1738580039,1.88,1.88,477261
1738580085,1.88,1.88,478271
1738580159,1.88,1.88,479779
1738580215,1.88,1.88,481797
1738580278,1.88,1.88,482597
1738580332,1.88,1.88,483447
1738580374,1.88,1.88,483980
1738580440,1.88,1.88,484480
1738580504,1.88,1.88,484481
1738580576,1.88,1.88,492612
1738580634,1.88,1.88,492624
1738580681,1.88,1.88,492631
1738580753,1.88,1.88,494237
1738580816,1.88,1.88,495418
1738580874,1.88,1.88,496667
1738580931,1.88,1.88,498426
1738580978,1.88,1.88,499798
1738581056,1.88,1.88,503811
1738581113,1.88,1.88,504596
1738581165,1.88,1.88,505111
1738581229,1.88,1.88,505375
1738581269,1.88,1.88,505428
1738581355,1.88,1.88,507601
1738581405,1.88,1.88,507612
1738581469,1.88,1.88,507712
1738581532,1.88,1.88,507836
1738581595,1.88,1.88,507985
1738581656,1.88,1.88,508003
1738581707,1.88,1.88,510123
1738581778,1.88,1.88,510153
