t,ap,cp,v
1738573679,383.60,383.60,3157
1738573741,383.60,383.60,3157
1738573990,383.60,383.60,3157
1738574159,377.96,375.60,18628
1738574219,377.54,375.45,26158
1738574279,377.46,377.25,30540
1738574339,377.36,376.65,36430
1738574399,377.17,374.65,43190
1738574459,377.04,374.95,45943
1738574519,376.97,376.05,47843
1738574579,376.96,376.70,49812
1738574639,376.97,377.45,51890
1738574698,377.04,378.50,55401
1738574759,377.11,379.40,57984
1738574819,377.24,381.25,60454
1738574879,377.33,381.00,61862
1738574939,377.48,380.75,64530
1738574999,377.55,380.15,66212
1738575059,377.58,377.85,68399
1738575119,377.59,377.90,69635
1738575179,377.58,376.50,70993
1738575239,377.57,375.95,71604
1738575298,377.55,376.60,72229
1738575359,377.52,375.50,73625
1738575419,377.41,375.40,77448
1738575479,377.36,374.05,78885
1738575539,377.24,373.75,81684
1738575599,377.19,373.60,82673
1738575659,377.14,374.70,84300
1738575719,377.11,374.50,84984
1738575779,377.09,375.25,86124
1738575839,377.07,375.50,86563
1738575899,377.06,375.35,87547
1738575959,377.03,376.05,89501
1738576017,377.01,375.95,91870
1738576079,377.00,375.85,92497
1738576139,376.99,375.55,93366
1738576199,376.96,374.95,94669
1738576259,376.94,375.55,95354
1738576319,376.93,375.15,96201
1738576379,376.88,373.75,98171
1738576439,376.82,373.60,100358
1738576499,376.80,373.65,101115
1738576559,376.78,374.10,101866
1738576619,376.76,373.70,102307
1738576679,376.75,373.65,102943
1738576739,376.68,373.50,104750
1738576799,376.66,373.40,105603
1738576859,376.58,372.55,107922
1738576919,376.51,374.00,110239
1738576979,376.48,373.35,111248
1738577039,376.44,375.05,113083
1738577099,376.43,375.35,113797
1738577159,376.42,374.80,114628
1738577219,376.41,375.00,114896
1738577279,376.41,375.15,115289
1738577338,376.39,375.00,116429
1738577399,376.39,374.20,116576
1738577459,376.38,375.25,117499
1738577519,376.38,375.85,117916
1738577579,376.38,375.45,118164
1738577639,376.37,375.60,118600
1738577699,376.37,375.00,119118
1738577759,376.31,373.95,122176
1738577819,376.30,373.30,122696
1738577879,376.20,374.25,127900
1738577939,376.20,374.05,128256
1738577999,376.19,374.10,128929
1738578059,376.18,373.75,129194
1738578119,376.17,373.75,129680
1738578179,376.17,374.05,130194
1738578239,376.15,373.75,131149
1738578299,376.15,373.60,131406
1738578359,376.13,373.45,131935
1738578419,376.13,373.50,132077
1738578479,376.13,373.60,132187
1738578539,376.12,373.15,132553
1738578599,376.10,373.30,133485
1738578659,376.08,373.00,134379
1738578719,376.07,373.35,134787
