t,ap,cp,v
1738573682,183.85,183.85,638
1738573740,183.85,183.85,638
1738574159,182.18,180.55,4205
1738574219,181.51,180.45,6452
1738574279,181.42,180.50,7666
1738574339,181.38,180.95,8091
1738574399,181.20,180.80,11311
1738574459,181.20,180.65,11411
1738574518,181.13,181.00,13347
1738574579,181.13,181.45,13463
1738574639,181.16,181.90,14205
1738574699,181.16,181.75,14336
1738574758,181.21,181.70,17783
1738574819,181.33,182.00,20346
1738574879,181.36,181.85,21313
1738574939,181.37,182.15,21725
1738574999,181.38,181.95,21997
1738575059,181.39,182.00,22487
1738575119,181.40,181.90,23139
1738575179,181.43,181.90,24390
1738575239,181.43,181.40,24914
1738575299,181.43,181.80,24946
1738575359,181.43,181.80,24972
1738575419,181.43,182.05,25193
1738575479,181.44,181.90,25510
1738575539,181.44,181.65,25571
1738575599,181.43,181.25,26517
1738575659,181.43,181.50,27774
1738575719,181.43,181.25,27883
1738575779,181.43,181.60,28344
1738575839,181.44,181.40,30390
1738575899,181.44,181.55,31182
1738575959,181.44,181.55,31491
1738576019,181.44,181.50,31766
1738576079,181.44,181.55,31960
1738576139,181.44,181.50,31962
1738576199,181.43,181.25,33493
1738576258,181.43,181.65,33746
1738576319,181.47,181.95,39518
1738576379,181.48,181.25,40348
1738576439,181.48,181.45,40424
1738576499,181.48,181.55,40649
1738576559,181.48,181.80,40678
1738576619,181.48,181.90,41426
1738576679,181.48,181.90,41435
1738576739,181.48,181.80,41605
1738576799,181.48,181.90,41624
1738576859,181.48,181.80,41724
1738576919,181.49,182.15,41809
1738576979,181.49,182.20,42024
1738577039,181.49,181.80,42155
1738577099,181.49,181.65,42600
1738577159,181.49,181.85,42642
1738577219,181.49,181.85,42642
1738577279,181.50,182.20,42843
1738577339,181.50,182.05,42899
1738577399,181.50,182.15,43140
1738577459,181.50,182.40,43162
1738577519,181.50,182.25,43286
1738577579,181.51,182.25,43615
1738577639,181.53,182.10,44780
1738577699,181.53,182.05,45065
1738577759,181.54,181.60,50528
1738577819,181.54,181.70,50992
1738577877,181.54,181.90,51060
1738577939,181.54,181.80,51147
1738577999,181.54,181.65,51167
1738578059,181.55,181.85,52365
1738578119,181.56,182.15,53373
1738578179,181.56,182.15,53510
1738578239,181.57,182.05,53902
1738578299,181.57,182.00,54538
1738578359,181.57,182.15,54547
1738578419,181.57,182.15,54619
1738578479,181.57,182.00,54714
1738578539,181.58,181.75,54798
1738578599,181.58,181.65,54804
1738578659,181.58,182.00,54860
1738578719,181.58,182.05,55034
1738578779,181.58,181.80,55729
1738578839,181.58,181.80,55891
1738578899,181.58,181.80,55922
1738578959,181.58,181.95,55925
1738579019,181.58,181.75,56176
1738579079,181.58,181.55,56422
1738579139,181.58,181.55,56451
1738579197,181.58,181.55,56505
1738579259,181.56,181.60,59848
1738579319,181.56,181.65,60132
1738579379,181.56,181.95,60144
1738579439,181.56,181.95,60218
1738579499,181.57,181.95,60288
1738579559,181.57,182.25,60315
1738579619,181.57,182.25,60331
1738579679,181.57,182.10,60444
1738579739,181.57,181.90,61589
1738579799,181.58,181.85,61615
1738579859,181.58,181.90,62143
1738579919,181.58,181.70,62200
1738579979,181.58,181.55,62533
1738580039,181.58,181.35,62571
1738580099,181.58,181.30,62697
1738580159,181.58,181.50,62798
1738580219,181.58,181.55,62799
1738580279,181.58,181.40,62814
1738580339,181.58,181.20,62956
1738580399,181.58,181.35,62962
1738580459,181.58,181.60,63035
1738580519,181.58,181.60,63056
1738580579,181.58,181.40,63118
1738580639,181.58,181.40,63134
1738580698,181.58,181.35,63144
1738580759,181.58,181.30,63174
1738580819,181.57,181.35,63263
1738580879,181.57,181.15,63483
1738580938,181.57,181.45,63878
1738580999,181.57,181.30,63955
