t,ap,cp,v
1738573635,4406.05,4406.05,1
1738573740,4406.05,4406.05,1
1738574159,4406.05,4406.05,1
1738574218,4406.05,4406.05,1
1738574278,4442.70,4447.95,8
1738574339,4442.70,4447.95,8
1738574399,4426.64,4402.10,22
1738574458,4410.71,4393.45,46
1738574518,4399.97,4393.95,85
1738574579,4399.97,4393.95,85
1738574639,4399.97,4393.95,85
1738574699,4402.00,4402.05,133
1738574759,4402.17,4405.90,142
1738574819,4403.49,4456.20,146
1738574878,4409.24,4489.35,160
1738574939,4426.44,4513.20,196
1738574999,4426.77,4492.10,197
1738575059,4428.33,4490.05,202
1738575119,4430.08,4460.05,211
1738575179,4431.77,4477.95,219
1738575239,4431.77,4477.95,219
1738575297,4432.39,4477.95,222
1738575359,4442.74,4473.95,322
1738575419,4442.74,4473.95,322
1738575478,4442.74,4473.95,322
1738575537,4442.74,4473.95,322
1738575598,4442.74,4473.95,322
1738575659,4444.26,4479.95,336
1738575719,4444.26,4479.95,336
1738575779,4444.26,4479.95,336
1738575837,4444.26,4479.95,336
1738575899,4444.51,4478.35,338
1738575959,4444.51,4478.35,338
1738576016,4444.51,4478.35,338
1738576079,4444.51,4478.35,338
1738576138,4445.72,4454.40,375
1738576199,4445.72,4454.40,375
1738576258,4445.72,4454.40,375
1738576319,4446.61,4488.05,383
1738576379,4446.61,4488.05,383
1738576439,4446.61,4488.05,383
1738576499,4446.61,4488.05,383
1738576558,4446.61,4488.05,383
1738576615,4446.61,4488.05,383
1738576678,4448.37,4464.05,421
1738576739,4448.37,4464.05,421
1738576799,4448.37,4464.05,421
1738576857,4448.37,4464.05,421
1738576919,4448.17,4443.95,437
1738576979,4448.17,4443.95,437
1738577039,4448.17,4443.95,437
1738577099,4448.17,4443.95,437
1738577157,4448.17,4443.95,437
1738577219,4448.17,4443.95,437
1738577279,4448.17,4443.95,437
1738577337,4448.17,4448.05,438
1738577397,4448.17,4448.05,438
1738577459,4448.17,4448.05,438
1738577514,4448.17,4448.05,438
1738577579,4448.17,4448.05,438
1738577639,4448.17,4448.05,438
1738577699,4448.17,4448.05,438
1738577757,4448.17,4448.05,438
1738577819,4448.17,4448.05,438
1738577879,4448.17,4448.05,438
1738577939,4448.20,4460.05,439
1738577999,4448.20,4460.05,439
1738578057,4448.44,4466.00,445
1738578119,4448.49,4471.90,446
1738578179,4448.56,4464.95,448
1738578239,4448.61,4468.85,449
1738578299,4448.61,4468.85,449
1738578359,4448.67,4474.90,450
1738578419,4448.67,4474.90,450
1738578476,4448.67,4474.90,450
1738578535,4448.94,4460.05,460
1738578599,4449.22,4465.95,469
1738578659,4449.22,4465.95,469
1738578719,4449.33,4475.90,471
1738578774,4449.33,4475.90,471
1738578839,4449.33,4475.90,471
1738578898,4449.68,4481.95,476
1738578959,4449.68,4481.95,476
1738579016,4449.68,4481.95,476
1738579079,4449.68,4481.95,476
1738579139,4449.68,4481.95,476
1738579196,4449.83,4486.75,478
1738579259,4449.83,4486.75,478
1738579317,4449.83,4486.75,478
1738579377,4449.83,4486.75,478
1738579438,4449.83,4486.75,478
1738579499,4449.83,4486.75,478
1738579559,4449.93,4498.05,479
1738579618,4450.06,4509.85,480
1738579677,4455.71,4510.00,530
1738579739,4455.71,4510.00,530
1738579794,4455.71,4510.00,530
1738579859,4455.71,4510.00,530
1738579918,4455.94,4515.00,532
1738579978,4456.61,4528.90,537
1738580039,4456.61,4528.90,537
1738580099,4462.41,4520.00,591
1738580156,4462.60,4520.05,593
1738580210,4462.60,4520.05,593
1738580279,4464.87,4520.00,617
1738580339,4464.87,4520.00,617
1738580399,4464.87,4520.00,617
1738580459,4464.87,4520.00,617
1738580518,4465.19,4531.95,620
1738580579,4465.19,4531.95,620
1738580638,4465.19,4531.95,620
1738580699,4465.19,4531.95,620
1738580759,4465.19,4531.95,620
1738580817,4465.19,4531.95,620
1738580879,4467.85,4516.05,653
1738580938,4467.85,4516.05,653
1738580996,4467.85,4516.05,653
1738581054,4467.85,4516.05,653
1738581118,4467.90,4501.75,654
1738581173,4467.90,4501.75,654
1738581238,4467.90,4501.75,654
1738581299,4467.90,4501.75,654
1738581359,4467.90,4501.75,654
1738581414,4468.33,4507.95,661
1738581479,4468.33,4507.95,661
1738581537,4468.33,4507.95,661
1738581594,4468.33,4507.95,661
1738581658,4469.28,4506.05,678
1738581718,4469.28,4506.05,678
1738581777,4469.28,4506.05,678
1738581839,4469.28,4506.05,678
1738581899,4469.28,4506.05,678
1738581959,4469.28,4506.05,678
1738582019,4469.83,4495.10,691
1738582077,4469.83,4495.10,691
1738582139,4470.26,4499.95,701
1738582196,4470.26,4499.95,701
1738582259,4470.26,4499.95,701
1738582319,4470.26,4499.95,701
1738582379,4470.26,4499.95,701
1738582438,4470.26,4499.95,701
1738582498,4470.26,4499.95,701
1738582559,4470.26,4499.95,701
1738582613,4470.26,4499.95,701
1738582679,4471.61,4492.05,745
1738582737,4471.61,4492.05,745
1738582794,4471.61,4492.05,745
1738582859,4471.61,4492.05,745
1738582919,4471.61,4492.05,745
1738582979,4471.61,4492.05,745
1738583038,4471.61,4492.05,745
1738583099,4471.61,4492.05,745
1738583159,4471.61,4492.05,745
1738583214,4471.61,4492.05,745
1738583279,4471.61,4492.05,745
1738583339,4471.65,4500.15,746
1738583399,4471.65,4500.15,746
1738583457,4471.65,4500.15,746
1738583516,4471.65,4500.15,746
1738583579,4471.65,4500.15,746
1738583639,4471.65,4469.00,747
1738583699,4471.65,4469.00,747
1738583759,4471.65,4469.00,747
1738583819,4471.65,4469.00,747
1738583879,4471.65,4469.00,747
1738583939,4471.65,4469.00,747
1738583993,4471.65,4469.00,747
1738584058,4471.45,4450.05,754
1738584117,4471.45,4450.05,754
1738584178,4471.45,4450.05,754
1738584239,4471.45,4450.05,754
1738584299,4471.45,4450.05,754
1738584357,4471.45,4450.05,754
1738584418,4471.45,4450.05,754
1738584476,4471.45,4450.05,754
1738584539,4471.45,4450.05,754
1738584592,4471.45,4450.05,754
1738584659,4471.45,4450.05,754
1738584719,4471.45,4450.05,754
1738584779,4471.45,4450.05,754
1738584834,4471.45,4450.05,754
1738584891,4471.45,4450.05,754
