t,ap,cp,v
1738573635,997.50,997.50,55
1738573737,997.50,997.50,55
1738573740,997.50,997.50,55
1738574159,996.25,993.60,169
1738574218,996.25,993.60,169
1738574279,996.25,993.60,169
1738574339,995.96,993.60,189
1738574399,995.96,993.60,189
1738574456,995.91,992.60,192
1738574518,995.31,991.05,214
1738574578,995.31,991.05,214
1738574639,995.11,992.10,226
1738574699,994.76,991.50,251
1738574758,994.58,994.75,312
1738574819,996.69,1000.00,512
1738574879,997.10,1006.35,536
1738574939,998.98,1008.00,649
1738574997,999.02,1005.95,653
1738575059,999.71,1003.90,736
1738575119,999.76,1005.50,742
1738575179,1000.08,1001.00,805
1738575239,1000.08,1001.00,805
1738575299,1000.07,997.20,806
1738575359,1000.07,997.20,806
1738575419,1000.05,996.85,812
1738575478,1000.00,995.45,820
1738575538,999.99,994.50,822
1738575597,999.99,994.50,822
1738575659,999.58,995.90,881
1738575719,999.58,995.90,881
1738575779,999.58,995.90,881
1738575839,999.58,995.90,881
1738575899,999.58,995.90,881
1738575959,999.58,995.90,881
1738576019,999.58,995.90,881
1738576079,999.58,995.90,881
1738576139,999.57,999.00,897
1738576199,999.51,999.00,997
1738576257,999.51,999.45,999
1738576317,999.61,1000.90,1079
1738576376,999.60,999.50,1163
1738576439,999.60,999.50,1163
1738576497,999.60,999.50,1163
1738576559,999.60,999.50,1163
1738576616,999.58,997.65,1173
1738576679,999.57,997.55,1183
1738576739,999.57,997.55,1183
1738576797,999.57,997.55,1183
1738576857,999.56,997.25,1187
1738576919,999.56,997.25,1187
1738576979,999.56,997.25,1187
1738577036,999.56,997.25,1187
1738577098,999.56,997.25,1187
1738577158,999.52,997.60,1212
1738577219,999.50,997.35,1220
1738577279,999.50,997.35,1220
1738577339,999.90,1005.85,1305
1738577399,999.90,1005.85,1305
1738577457,1000.52,1007.80,1415
1738577519,1000.52,1008.75,1416
1738577578,1000.52,1008.75,1416
1738577637,1000.52,1008.75,1416
1738577698,1000.67,1003.25,1455
1738577759,1000.93,1002.50,1627
1738577818,1000.93,1002.50,1627
1738577873,1000.92,998.65,1630
1738577937,1000.81,997.50,1689
1738577998,1000.73,997.00,1725
1738578059,1000.73,997.00,1725
1738578119,1000.73,997.00,1725
1738578176,1000.73,997.00,1725
1738578239,1000.70,999.50,1747
1738578298,1000.70,999.50,1747
1738578355,1000.70,1002.35,1748
1738578419,1000.70,1000.65,1755
1738578477,1000.78,1003.05,1825
1738578538,1000.78,1003.05,1825
1738578597,1000.92,1003.95,1929
1738578659,1000.92,1003.95,1929
1738578719,1000.92,1003.95,1929
1738578771,1000.92,1003.95,1929
1738578837,1000.92,1003.95,1929
1738578897,1000.92,1003.95,1929
1738578957,1000.92,1003.95,1929
1738579014,1000.92,1003.95,1929
1738579077,1000.92,1003.95,1929
1738579137,1000.92,1003.95,1929
1738579199,1000.92,1003.95,1929
1738579258,1000.92,1003.95,1929
1738579318,1000.92,1003.95,1929
1738579379,1000.99,1002.35,2062
1738579439,1000.99,1002.35,2062
1738579498,1000.99,1002.35,2062
1738579559,1000.99,1002.35,2062
1738579618,1000.99,1002.35,2062
1738579666,1001.52,1007.15,2245
1738579737,1001.55,1006.45,2259
