t,ap,cp,v
1738573635,336.45,336.45,353
1738573729,336.45,336.45,353
1738573741,336.45,336.45,353
1738574159,332.85,333.90,2927
1738574219,332.11,329.05,4555
1738574279,331.59,330.50,6026
1738574339,331.59,330.85,6087
1738574399,331.49,330.35,6660
1738574459,331.06,328.00,7805
1738574518,330.62,327.85,8715
1738574579,330.29,328.00,9868
1738574639,330.19,328.40,10566
1738574699,330.14,328.25,10866
1738574758,330.03,330.70,11781
1738574819,330.05,331.00,12425
1738574879,330.11,330.95,13323
1738574939,330.23,330.85,14564
1738574999,330.32,331.15,16258
1738575059,330.32,329.90,16730
1738575119,330.32,329.55,16816
1738575179,330.26,328.75,17876
1738575239,330.05,327.00,19468
1738575299,330.03,326.80,19563
1738575359,329.89,326.85,20376
1738575419,329.86,326.85,20581
1738575479,329.86,327.30,20632
1738575539,329.85,326.75,20657
1738575599,329.75,327.40,21391
1738575659,329.74,330.35,21757
1738575719,329.81,330.95,23280
1738575779,329.82,331.70,23523
1738575839,329.89,332.75,24495
1738575899,329.95,332.00,25103
1738575959,329.96,331.90,25261
1738576019,329.99,331.45,25800
1738576079,330.01,331.25,26290
1738576139,330.01,331.25,26290
1738576199,330.01,331.25,26290
1738576257,330.01,331.25,26290
1738576319,330.02,331.10,26400
1738576379,330.02,331.10,26400
1738576439,330.02,331.10,26400
1738576499,330.02,330.35,26614
1738576559,330.02,330.35,26614
1738576619,330.02,330.35,26622
1738576679,330.07,332.00,27184
1738576739,330.07,330.35,27244
1738576799,330.07,330.35,27244
1738576859,330.07,331.35,27245
1738576919,330.07,331.35,27245
1738576979,330.07,330.70,27394
1738577039,330.07,330.85,27399
1738577098,330.08,330.85,27474
1738577157,330.08,331.00,27505
1738577219,330.08,330.85,27619
1738577279,330.08,330.85,27619
1738577339,330.08,330.85,27619
1738577399,330.08,330.85,27619
1738577458,330.08,330.85,27619
1738577519,330.09,330.70,27871
1738577577,330.09,330.70,27871
1738577639,330.09,330.70,27871
1738577699,330.09,330.65,27928
1738577757,330.09,330.65,27928
1738577819,330.09,330.65,27928
1738577877,330.09,330.65,27928
1738577939,330.15,331.85,29036
