t,ap,cp,v
1738573634,625.05,625.05,245
1738573740,625.05,625.05,245
1738574159,629.60,630.60,1631
1738574219,630.14,633.55,2097
1738574279,630.22,631.00,2180
1738574339,630.53,634.40,2384
1738574398,631.52,637.15,3047
1738574459,631.73,635.85,3245
1738574519,631.92,636.00,3645
1738574579,631.94,637.15,3663
1738574639,632.17,638.00,3831
1738574697,632.34,638.30,3951
1738574759,633.06,643.10,4380
1738574819,637.04,646.35,6447
1738574879,637.76,644.25,7093
1738574939,639.22,645.40,8860
1738574999,639.52,643.85,9233
1738575059,639.53,643.30,9250
1738575119,639.66,643.95,9572
1738575178,639.66,640.10,9581
1738575239,639.75,641.40,11608
1738575299,639.76,641.75,11697
1738575359,639.84,639.90,12416
1738575419,639.83,636.05,12581
1738575477,639.78,636.70,12792
1738575539,639.69,636.75,13181
1738575598,639.66,637.15,13347
1738575659,639.65,639.30,13507
1738575718,639.65,640.00,13669
1738575779,639.65,639.10,13682
1738575839,639.65,638.10,13692
1738575899,639.63,636.55,13771
1738575959,639.61,635.95,13870
1738576016,639.59,635.50,13931
1738576079,639.49,633.65,14176
1738576138,639.45,633.20,14280
1738576198,639.39,632.00,14407
1738576259,639.31,630.90,14542
1738576319,639.06,629.40,14937
1738576379,639.01,628.35,15016
1738576439,638.77,627.85,15355
1738576499,638.41,629.95,15991
1738576559,638.27,630.50,16267
1738576619,638.11,631.65,16630
1738576679,638.11,631.70,16645
1738576739,638.10,630.30,16660
1738576799,637.94,632.00,17072
1738576859,637.90,631.35,17189
1738576919,637.81,632.05,17437
1738576979,637.78,629.70,17514
1738577039,637.65,630.95,17820
1738577099,637.65,630.85,17821
1738577157,637.65,630.85,17821
1738577219,637.55,630.00,18063
1738577279,637.35,631.15,18598
1738577338,637.29,629.90,18761
1738577397,637.25,631.35,18891
1738577459,637.24,630.35,18901
1738577519,637.23,629.55,18926
1738577579,637.18,630.40,19073
1738577636,637.18,631.15,19078
1738577697,636.47,629.50,21084
1738577759,636.41,630.05,21314
1738577818,636.41,630.05,21314
1738577878,636.35,630.05,21517
1738577939,636.27,629.60,21786
1738577999,636.25,630.05,21844
1738578057,636.25,630.00,21853
1738578119,636.22,629.80,21959
1738578179,636.14,628.20,22222
1738578239,635.98,627.00,22661
1738578299,635.95,626.05,22714
1738578359,635.75,628.90,23316
1738578419,635.70,627.85,23473
1738578479,635.65,629.10,23616
1738578539,635.59,630.00,23903
1738578599,635.56,629.85,23990
1738578659,635.56,629.85,24028
1738578717,635.53,627.85,24115
1738578779,635.38,628.10,24531
1738578839,635.37,627.45,24559
1738578897,635.34,628.60,24654
1738578959,635.34,628.60,24654
1738579019,635.34,628.35,24678
1738579075,635.31,627.90,24774
1738579139,635.31,627.10,24784
1738579198,635.28,626.00,24845
1738579259,635.25,626.45,24937
1738579319,635.25,626.45,24937
1738579379,635.21,627.20,25053
1738579439,635.21,627.20,25053
1738579499,635.21,627.20,25053
1738579559,635.18,628.00,25171
1738579619,635.17,628.30,25211
1738579679,635.06,627.50,25545
1738579739,635.06,628.30,25549
1738579799,635.06,628.50,25550
1738579859,635.06,628.50,25550
1738579919,635.06,628.50,25550
1738579978,635.06,628.45,25565
1738580039,635.06,628.45,25565
1738580099,635.06,627.30,25566
1738580158,635.05,627.00,25599
1738580219,635.05,628.45,25604
1738580278,634.61,628.50,27426
1738580335,634.59,628.50,27514
1738580399,634.59,628.25,27532
1738580458,634.59,628.25,27534
1738580517,634.59,628.25,27534
1738580579,634.58,628.20,27572
1738580639,634.54,627.50,27711
1738580699,634.54,627.90,27721
