t,ap,cp,v
1738573634,801.70,801.70,10
1738573740,801.70,801.70,10
1738574159,795.52,794.95,23
1738574219,795.63,798.70,25
1738574279,798.15,804.45,35
1738574339,801.15,810.35,53
1738574399,804.23,813.75,70
1738574458,807.47,813.60,108
1738574517,807.47,813.60,108
1738574575,807.63,810.55,114
1738574639,807.63,810.55,114
1738574695,808.44,810.05,172
1738574758,808.44,808.50,176
1738574816,811.13,818.95,363
1738574879,811.20,819.25,366
1738574939,811.31,815.85,375
1738574999,811.33,816.85,376
1738575059,811.60,820.20,390
1738575119,812.08,817.10,427
1738575178,812.13,819.55,430
1738575238,812.13,819.55,430
1738575296,812.13,819.55,430
1738575358,812.13,819.55,430
1738575418,812.13,819.55,430
1738575478,812.13,819.55,430
1738575539,812.15,812.95,443
1738575597,812.15,812.95,443
1738575658,812.15,812.95,443
1738575717,812.17,817.85,445
1738575779,812.17,817.85,445
1738575838,812.17,817.85,445
1738575899,812.27,816.80,455
1738575954,812.34,817.25,461
1738576016,812.34,817.25,461
1738576077,812.34,817.25,461
1738576138,812.42,813.05,511
1738576197,812.42,813.05,513
1738576259,812.42,813.05,513
1738576318,812.42,813.05,513
1738576377,812.42,813.05,513
1738576439,812.42,813.05,513
1738576493,812.42,813.05,513
1738576558,812.42,813.05,513
1738576619,812.42,813.05,513
1738576678,812.42,813.05,513
1738576739,812.42,813.05,513
1738576799,812.36,809.60,524
1738576856,812.35,812.05,551
1738576918,812.55,814.40,627
1738576979,812.55,814.40,627
1738577039,812.55,814.40,627
1738577097,812.57,812.00,646
1738577158,812.57,812.00,646
1738577216,812.57,812.00,646
1738577277,812.57,812.00,646
1738577337,812.60,814.90,655
1738577398,812.60,814.90,655
1738577459,812.60,814.90,655
1738577518,812.60,814.90,655
1738577576,812.91,816.95,765
1738577637,813.11,815.05,840
1738577698,813.11,815.05,840
1738577756,813.11,815.05,840
1738577811,813.09,812.00,850
1738577878,812.65,810.50,990
1738577939,812.34,804.15,1043
1738577998,812.34,804.15,1043
1738578055,812.34,804.15,1043
1738578119,812.34,804.15,1043
1738578179,812.34,804.15,1043
1738578238,812.28,807.95,1057
