t,ap,cp,v
1738573647,385.85,385.85,971
1738573682,385.85,385.85,971
1738573766,385.85,385.85,971
1738574159,388.47,389.60,2641
1738574219,388.08,387.65,4304
1738574279,387.26,385.70,6152
1738574339,387.16,385.45,6830
1738574399,386.88,386.95,8303
1738574458,386.62,385.10,9669
1738574518,386.39,384.65,10771
1738574579,386.35,385.40,11119
1738574639,386.35,385.90,11439
1738574699,386.35,386.35,11713
1738574758,386.26,385.10,12286
1738574819,386.22,385.50,13017
1738574879,386.26,386.75,15171
1738574939,386.25,386.90,16105
1738574999,386.25,385.70,16169
1738575059,386.18,385.50,17030
1738575119,386.16,384.90,17276
1738575179,386.12,383.15,17670
1738575239,386.00,382.00,18317
1738575299,385.93,381.40,18642
1738575359,385.57,380.90,20088
1738575419,385.27,379.95,21202
1738575479,385.22,381.30,21444
1738575539,385.20,380.35,21549
1738575598,385.18,381.50,21646
1738575658,385.16,381.20,21758
1738575719,385.10,381.35,22087
1738575779,385.07,383.30,22459
1738575839,385.05,381.35,22582
1738575898,385.01,381.05,22852
1738575959,384.99,381.55,22981
1738576019,384.97,382.40,23130
1738576079,384.93,382.35,23512
1738576138,384.91,383.15,23646
1738576199,384.90,383.85,23817
1738576257,384.89,383.00,23966
1738576319,384.83,381.95,24565
1738576379,384.79,381.55,24896
1738576439,384.70,381.90,25606
1738576499,384.70,381.80,25611
1738576559,384.70,381.80,25611
1738576619,384.70,381.85,25622
1738576679,384.70,382.70,25636
1738576739,384.63,381.00,26225
1738576799,384.62,380.90,26298
1738576859,384.61,381.70,26354
1738576919,384.54,383.65,27110
1738576976,384.54,383.50,27215
1738577039,384.52,382.85,27452
1738577099,384.52,383.55,27602
1738577158,384.51,383.05,27645
1738577219,384.48,382.70,28028
1738577279,384.48,383.60,28092
1738577337,384.46,383.00,28376
1738577396,384.46,382.35,28442
1738577459,384.43,382.30,28797
1738577519,384.42,383.45,29062
1738577576,384.41,383.65,29336
1738577639,384.41,383.00,29366
1738577699,384.41,383.15,29429
1738577759,384.38,381.70,29686
1738577818,384.38,382.00,29706
1738577876,384.38,381.65,29775
1738577939,384.35,381.70,30018
1738577999,384.35,382.20,30040
1738578059,384.25,380.80,30965
1738578118,384.22,381.90,31381
1738578179,384.22,381.90,31435
1738578239,384.21,383.00,31649
1738578299,384.17,381.65,32454
1738578358,384.17,381.65,32521
1738578419,384.14,381.00,32848
1738578479,384.14,381.00,32848
1738578538,384.13,381.35,32910
1738578599,384.13,380.60,32936
1738578657,384.13,382.10,32941
1738578718,384.13,382.20,32999
1738578777,384.12,382.30,33020
1738578838,384.12,381.80,33151
1738578898,384.11,381.90,33271
1738578959,384.09,380.65,33430
1738579018,384.07,381.05,33678
1738579078,384.02,381.10,34233
1738579138,384.00,380.60,34476
1738579195,383.99,380.35,34623
1738579258,383.95,380.25,34997
1738579319,383.91,380.75,35319
1738579379,383.85,382.25,36114
1738579438,383.85,381.20,36124
1738579499,383.85,382.30,36127
1738579559,383.85,382.05,36142
1738579618,383.85,382.05,36192
1738579677,383.85,382.35,36222
1738579739,383.85,383.10,36258
1738579799,383.84,383.10,36571
1738579859,383.84,383.10,36646
1738579919,383.83,382.40,36817
1738579978,383.83,382.25,36867
1738580039,383.83,382.25,36867
1738580098,383.82,381.50,36993
1738580159,383.82,380.90,37012
1738580217,383.82,380.90,37043
1738580278,383.81,381.95,37104
1738580338,383.81,382.55,37110
1738580399,383.81,383.10,37140
1738580459,383.81,382.90,37141
1738580515,383.81,384.30,37148
1738580579,383.81,384.30,37148
1738580632,383.81,384.40,37162
1738580693,383.81,384.40,37162
1738580758,383.81,383.90,37404
1738580819,383.81,383.45,37445
1738580878,383.81,382.65,37510
1738580936,383.80,382.60,37700
1738580999,383.79,382.90,37917
1738581059,383.79,382.55,37962
1738581118,383.79,382.35,37982
1738581179,383.79,382.00,37992
1738581239,383.79,383.00,38096
1738581298,383.78,382.25,38142
1738581359,383.78,382.75,38161
1738581418,383.78,383.85,38478
1738581474,383.78,383.90,38586
1738581539,383.78,384.55,38606
1738581596,383.83,384.40,40889
1738581657,383.83,384.50,40909
1738581719,383.90,385.90,43007
1738581778,383.90,385.50,43009
1738581839,383.90,385.50,43013
1738581899,383.90,383.80,43068
1738581959,383.90,383.25,43079
1738582017,383.90,383.65,43081
1738582078,383.90,383.60,43270
1738582135,383.90,383.60,43270
1738582198,383.90,383.80,43450
1738582259,383.89,383.15,43596
1738582318,383.88,383.10,44100
1738582374,383.88,382.85,44400
1738582434,383.88,382.85,44400
1738582499,383.88,382.50,44411
1738582553,383.87,382.00,44512
1738582616,383.87,383.05,44513
1738582673,383.87,382.70,44662
1738582738,383.87,382.50,44772
1738582795,383.86,381.35,44953
1738582859,383.85,380.90,45146
1738582919,383.75,379.90,46344
1738582979,383.72,380.55,46660
1738583036,383.72,380.55,46660
1738583099,383.72,380.55,46660
1738583159,383.69,380.35,47086
1738583219,383.69,381.10,47187
1738583279,383.67,380.45,47367
1738583339,383.67,381.15,47462
1738583399,383.67,381.15,47462
1738583459,383.67,381.15,47512
1738583514,383.66,380.55,47525
1738583578,383.66,380.55,47525
1738583639,383.66,380.55,47525
1738583695,383.63,380.20,48020
1738583756,383.63,380.10,48025
1738583818,383.63,380.10,48025
1738583877,383.63,380.10,48025
1738583931,383.63,380.90,48048
1738583998,383.62,380.25,48140
1738584059,383.62,380.25,48140
1738584119,383.62,380.30,48172
1738584177,383.62,380.05,48249
1738584238,383.56,380.00,49049
1738584299,383.56,380.00,49049
1738584357,383.55,380.65,49144
1738584418,383.55,380.05,49154
1738584476,383.55,380.05,49154
1738584539,383.54,379.85,49227
1738584599,383.54,379.85,49227
1738584650,383.53,379.85,49374
1738584716,383.53,379.85,49374
1738584775,383.53,379.85,49374
1738584837,383.53,380.30,49378
1738584898,383.53,380.30,49378
1738584958,383.53,380.70,49438
1738585019,383.53,380.35,49483
1738585074,383.53,380.35,49483
1738585138,383.53,379.85,49516
1738585199,383.49,379.00,49901
1738585259,383.48,378.50,50051
1738585319,383.48,378.50,50057
1738585379,383.48,379.35,50067
1738585439,383.48,379.55,50097
1738585499,383.48,379.55,50097
1738585558,383.47,380.20,50107
1738585618,383.47,380.15,50108
1738585679,383.47,379.75,50174
1738585738,383.47,380.10,50180
1738585799,383.46,380.30,50299
1738585858,383.46,380.30,50299
1738585917,383.46,379.90,50331
1738585978,383.45,380.35,50521
1738586038,383.44,380.00,50560
1738586099,383.44,379.90,50583
1738586158,383.44,379.50,50648
1738586215,383.44,379.50,50648
1738586276,383.43,379.50,50712
1738586339,383.43,380.00,50768
1738586391,383.43,380.00,50778
1738586457,383.43,380.00,50778
1738586519,383.37,379.40,51499
1738586578,383.37,379.45,51501
1738586639,383.37,379.45,51501
1738586696,383.37,379.95,51503
1738586758,383.35,379.95,51784
1738586819,383.35,379.35,51814
1738586879,383.20,378.65,53564
1738586938,383.20,379.70,53571
1738586999,383.20,379.70,53572
1738587057,383.20,378.65,53580
1738587119,383.20,378.65,53580
1738587172,383.20,378.65,53580
1738587238,383.20,379.10,53581
1738587299,383.20,379.05,53584
1738587359,383.20,379.05,53585
1738587418,383.20,379.05,53586
1738587479,383.19,378.85,53696
1738587538,383.19,378.85,53708
1738587596,383.19,379.45,53731
1738587654,383.19,379.65,53759
1738587718,383.19,380.00,53762
1738587778,383.17,379.00,53985
1738587838,383.12,381.75,55000
1738587898,383.12,381.05,55057
1738587959,383.12,380.15,55146
1738588019,383.09,380.00,55596
1738588079,383.09,379.80,55653
1738588138,383.03,380.75,56903
1738588197,383.02,380.05,57120
1738588259,383.01,379.40,57316
1738588317,383.01,379.90,57332
1738588378,383.00,379.20,57435
1738588433,383.00,379.20,57435
1738588499,383.00,379.90,57441
1738588556,383.00,379.90,57441
1738588618,383.00,379.85,57447
1738588669,383.00,379.95,57449
1738588739,382.98,379.95,57900
1738588799,382.98,379.95,57900
1738588859,382.96,379.15,58106
1738588918,382.96,379.15,58106
1738588978,382.95,379.50,58254
1738589036,382.95,379.60,58279
1738589097,382.95,379.00,58305
1738589159,382.95,378.85,58315
1738589219,382.94,378.65,58371
1738589279,382.90,378.90,58956
