t,ap,cp,v
1738573634,555.00,555.00,1
1738573740,555.00,555.00,1
1738574159,554.39,553.60,283
1738574219,554.63,556.00,333
1738574279,555.15,556.05,442
1738574337,555.16,554.40,469
1738574398,555.13,553.85,482
1738574459,554.90,552.75,541
1738574519,554.89,554.00,548
1738574579,554.89,554.00,549
1738574639,554.89,554.00,549
1738574699,555.16,557.45,757
1738574758,555.16,557.45,757
1738574819,555.27,559.40,778
1738574879,555.67,561.95,828
1738574939,556.54,562.25,975
1738574999,557.92,562.60,1244
1738575059,557.94,562.60,1248
1738575119,557.94,562.60,1248
1738575179,558.11,558.60,1346
1738575239,558.11,558.60,1346
1738575299,558.11,558.60,1346
1738575358,558.12,559.35,1360
1738575419,558.13,558.60,1385
1738575479,558.13,558.60,1385
1738575539,558.13,558.05,1403
1738575599,558.13,558.05,1403
1738575658,558.13,558.60,1405
1738575719,558.13,557.95,1420
1738575778,558.13,557.95,1420
1738575839,558.16,559.15,1472
1738575899,558.16,558.35,1481
1738575959,558.16,558.35,1481
1738576019,558.16,558.35,1481
1738576079,558.16,557.75,1482
1738576139,558.03,555.00,1767
1738576197,558.03,555.00,1767
1738576259,558.01,556.00,1778
1738576319,558.01,556.00,1778
1738576379,558.01,556.00,1778
1738576439,558.01,556.00,1778
1738576499,557.63,555.20,2072
1738576559,557.61,555.65,2091
1738576619,557.61,555.65,2091
1738576679,557.60,556.50,2105
1738576739,557.31,555.30,2424
1738576799,557.31,555.30,2424
1738576858,557.31,555.30,2424
1738576919,557.30,556.80,2442
1738576979,557.30,556.80,2442
1738577039,557.30,556.00,2448
1738577098,557.26,555.30,2503
1738577159,557.22,555.05,2553
1738577219,557.21,554.55,2565
1738577279,557.18,554.20,2590
1738577339,557.17,555.50,2606
1738577399,557.17,555.50,2606
1738577459,557.15,557.40,2701
1738577515,557.15,557.00,2708
1738577579,557.15,557.00,2708
1738577639,557.14,556.35,2716
1738577699,557.14,556.00,2735
1738577759,557.14,556.00,2735
1738577819,557.04,556.20,3055
1738577879,557.04,556.30,3065
1738577939,557.01,555.10,3101
1738577999,557.01,555.10,3101
1738578059,557.01,555.10,3101
1738578119,557.01,555.10,3101
1738578177,557.01,555.10,3101
1738578239,557.01,555.10,3101
1738578298,557.01,556.15,3128
