t,ap,cp,v
1738573635,1435.25,1435.25,2
1738573741,1435.25,1435.25,2
1738574157,1426.65,1429.15,480
1738574219,1426.60,1420.75,484
1738574279,1426.23,1413.80,499
1738574339,1425.96,1414.00,512
1738574399,1423.59,1408.75,605
1738574459,1423.59,1408.75,605
1738574518,1423.56,1406.90,606
1738574579,1423.35,1407.10,614
1738574639,1422.76,1408.45,639
1738574699,1422.48,1414.75,659
1738574758,1422.41,1413.65,664
1738574819,1422.42,1424.90,666
1738574879,1422.43,1426.60,668
1738574937,1422.44,1426.95,669
1738574999,1422.57,1426.15,695
1738575059,1422.57,1426.30,696
1738575119,1422.59,1427.15,699
1738575179,1422.62,1426.50,704
1738575239,1422.62,1426.50,704
1738575299,1422.69,1429.35,712
1738575359,1422.72,1426.45,717
1738575419,1422.72,1426.45,717
1738575478,1422.72,1426.45,717
1738575539,1422.72,1426.45,717
1738575599,1422.72,1423.10,719
1738575659,1422.72,1423.60,720
1738575719,1422.72,1423.60,720
1738575779,1422.72,1424.25,724
1738575839,1423.31,1427.10,816
1738575899,1423.32,1424.45,822
1738575959,1423.36,1425.65,837
1738576019,1423.36,1425.65,837
1738576079,1423.36,1424.70,840
1738576139,1423.34,1419.75,845
1738576199,1423.34,1419.75,845
1738576257,1423.34,1419.75,845
1738576319,1423.34,1419.75,845
1738576379,1423.34,1419.75,845
1738576439,1423.34,1424.30,847
1738576499,1423.34,1424.30,847
1738576559,1423.34,1424.30,847
1738576619,1423.32,1423.10,931
1738576679,1423.32,1423.10,931
1738576739,1423.32,1423.10,931
1738576799,1423.32,1423.10,931
1738576859,1423.32,1423.10,931
1738576919,1423.32,1423.10,931
1738576979,1423.29,1420.80,943
1738577039,1423.26,1420.00,953
1738577099,1423.19,1417.70,965
1738577159,1423.10,1417.10,979
1738577219,1423.10,1417.10,979
1738577279,1423.10,1415.20,980
1738577339,1423.06,1415.10,984
1738577399,1423.06,1415.10,984
1738577459,1422.95,1417.00,999
1738577519,1422.95,1417.00,999
1738577579,1422.95,1417.00,999
1738577639,1422.95,1417.00,999
1738577699,1422.95,1417.00,999
1738577759,1422.85,1411.20,1007
1738577819,1422.84,1410.75,1008
1738577877,1422.82,1410.40,1010
1738577939,1422.78,1408.60,1013
1738577999,1422.78,1408.60,1013
1738578059,1422.76,1410.40,1015
1738578119,1422.76,1410.40,1015
1738578178,1422.70,1407.50,1019
1738578239,1422.65,1407.75,1022
1738578299,1422.65,1407.75,1022
1738578359,1422.64,1407.75,1023
1738578418,1422.64,1407.75,1023
1738578479,1422.64,1407.75,1023
1738578538,1422.64,1407.75,1023
1738578598,1422.64,1407.75,1023
1738578659,1422.64,1407.75,1023
1738578719,1422.64,1407.75,1023
1738578779,1422.62,1405.00,1024
1738578839,1421.47,1401.55,1084
1738578899,1421.47,1401.55,1084
1738578959,1421.39,1405.25,1089
1738579019,1421.39,1405.25,1089
1738579079,1420.80,1400.55,1121
1738579139,1420.80,1400.55,1121
1738579199,1419.24,1397.95,1209
1738579258,1419.12,1396.45,1216
1738579318,1419.12,1396.45,1216
1738579379,1419.12,1396.45,1216
1738579439,1418.63,1403.10,1248
1738579499,1418.55,1402.15,1254
1738579559,1418.33,1403.15,1272
1738579619,1418.18,1403.00,1285
1738579678,1418.14,1402.80,1288
1738579739,1416.45,1403.50,1456
1738579799,1416.45,1403.50,1456
1738579857,1416.45,1403.50,1456
1738579919,1416.44,1402.45,1457
1738579979,1416.44,1402.45,1457
1738580038,1416.44,1402.45,1457
1738580096,1416.43,1403.15,1458
1738580159,1416.43,1403.15,1458
1738580218,1416.42,1403.30,1459
1738580279,1416.30,1401.30,1471
1738580339,1416.29,1402.80,1472
1738580399,1416.26,1408.05,1477
1738580459,1416.25,1409.35,1478
1738580519,1416.20,1409.70,1488
1738580578,1416.18,1409.10,1492
1738580639,1415.89,1406.30,1539
1738580697,1415.89,1408.30,1540
1738580759,1415.86,1407.50,1546
1738580819,1415.86,1407.50,1546
1738580879,1415.86,1407.50,1546
1738580936,1415.65,1403.90,1573
1738580999,1415.65,1403.90,1573
1738581059,1415.65,1403.90,1573
1738581119,1415.65,1403.90,1573
