t,ap,cp,v
1738573673,73.96,73.96,6318
1738573715,73.96,73.96,6318
1738573740,73.96,73.96,6318
1738573810,73.96,73.96,6318
1738574159,72.48,71.95,42246
1738574219,72.38,71.93,49017
1738574279,72.33,72.02,57319
1738574339,72.30,71.92,63126
1738574399,72.24,71.83,72664
1738574459,72.20,71.80,77866
1738574519,72.19,71.89,81191
1738574579,72.18,72.07,84017
1738574639,72.17,72.08,85861
1738574697,72.17,72.20,91039
1738574759,72.17,72.17,94296
1738574819,72.21,72.93,103397
1738574879,72.28,73.10,113001
1738574939,72.30,73.05,115842
1738574999,72.32,73.01,118602
1738575059,72.36,72.48,130389
1738575119,72.36,72.80,133024
1738575179,72.36,72.70,134317
1738575239,72.37,72.50,135696
1738575299,72.37,72.49,136411
1738575359,72.36,72.11,143096
1738575419,72.36,72.14,143726
1738575479,72.37,72.54,153642
1738575539,72.36,72.13,156320
1738575599,72.37,72.52,167776
1738575659,72.37,72.50,170511
1738575719,72.37,72.56,172617
1738575779,72.38,72.85,176113
1738575839,72.38,72.90,178581
1738575899,72.40,73.01,185044
1738575959,72.43,72.54,201559
1738576017,72.43,72.52,203057
1738576079,72.43,72.51,203979
1738576139,72.44,72.80,205659
1738576199,72.44,72.50,206756
1738576259,72.44,72.62,208660
1738576319,72.44,72.40,210644
1738576379,72.44,72.20,212376
1738576439,72.44,72.24,213558
1738576499,72.44,72.47,215798
1738576559,72.44,72.59,217964
1738576619,72.44,72.75,220773
1738576679,72.44,72.50,221595
1738576739,72.44,72.38,221660
1738576799,72.44,72.38,224511
1738576859,72.44,72.34,224835
1738576919,72.44,72.63,225631
1738576979,72.44,72.40,228261
1738577039,72.44,72.48,228784
1738577099,72.44,72.44,230151
1738577159,72.44,72.33,230656
1738577219,72.44,72.69,232365
1738577279,72.45,72.90,233200
1738577338,72.45,72.71,234082
1738577399,72.45,72.57,234466
1738577459,72.45,72.98,234809
1738577519,72.45,72.90,235773
1738577579,72.45,72.93,237866
1738577639,72.46,72.78,240134
1738577699,72.46,72.69,240907
1738577758,72.46,72.51,241660
1738577819,72.46,72.59,242151
1738577879,72.46,72.66,247538
1738577939,72.46,72.60,247798
1738577999,72.46,72.88,254487
1738578059,72.50,73.08,271693
1738578119,72.50,73.29,272834
1738578179,72.50,73.47,274499
1738578239,72.51,73.42,276233
1738578299,72.51,73.20,277918
1738578358,72.51,73.19,278191
1738578418,72.51,73.16,278390
1738578478,72.52,73.03,280593
1738578539,72.52,73.15,281074
1738578599,72.52,73.02,281703
1738578659,72.53,73.30,287831
1738578718,72.54,73.29,288589
1738578779,72.54,73.10,289176
1738578839,72.54,73.14,290371
1738578897,72.54,73.19,290776
1738578959,72.54,73.33,291927
1738579019,72.55,73.18,295406
1738579079,72.55,73.14,296207
1738579139,72.56,72.97,302368
1738579199,72.56,72.97,303258
1738579258,72.58,72.89,318917
1738579319,72.58,73.09,319832
1738579379,72.58,73.11,321708
1738579439,72.58,73.12,323343
1738579499,72.58,73.20,324027
1738579559,72.59,73.34,325073
1738579619,72.59,73.34,325073
1738579679,72.59,73.41,325449
1738579739,72.60,73.20,329529
1738579799,72.61,73.32,334727
1738579859,72.61,73.33,337776
1738579919,72.61,73.23,338831
1738579979,72.62,73.25,340108
1738580039,72.62,73.26,341858
1738580099,72.62,73.20,342669
1738580159,72.62,73.17,343021
1738580219,72.65,73.31,357775
1738580278,72.65,73.19,357977
1738580339,72.65,73.29,357987
1738580399,72.66,73.50,361720
1738580459,72.66,73.50,362241
1738580519,72.66,73.53,362695
1738580579,72.68,73.51,369285
1738580639,72.68,73.47,369826
1738580699,72.68,73.53,370643
1738580759,72.69,73.53,375703
1738580819,72.69,73.59,375803
1738580879,72.69,73.48,376890
1738580938,72.70,73.53,378505
1738580999,72.70,73.57,378619
1738581059,72.70,73.62,378800
1738581119,72.70,73.64,378932
1738581179,72.70,73.65,379073
1738581239,72.70,73.61,379284
1738581299,72.70,73.65,379474
1738581359,72.70,73.81,380539
1738581419,72.71,73.71,383993
1738581479,72.71,73.66,384048
1738581539,72.71,73.71,384198
1738581599,72.71,73.71,384260
1738581659,72.71,73.66,384579
1738581719,72.71,73.64,384628
1738581779,72.71,73.51,385586
1738581839,72.72,73.39,386731
1738581899,72.72,73.30,386939
1738581959,72.72,73.34,387174
1738582018,72.72,73.31,387418
1738582079,72.72,73.16,387692
1738582139,72.72,73.10,388212
1738582198,72.72,73.13,390030
1738582259,72.72,73.05,390819
1738582319,72.72,73.03,391284
1738582379,72.72,73.00,391470
1738582439,72.72,73.08,391580
1738582498,72.72,73.00,391680
1738582557,72.72,72.91,392022
1738582619,72.72,73.00,392314
1738582677,72.72,73.00,392564
1738582739,72.72,72.95,392915
1738582799,72.72,72.80,392935
1738582859,72.72,72.86,394330
1738582919,72.72,72.83,394463
1738582979,72.72,72.81,394722
1738583039,72.72,72.81,395777
1738583098,72.72,72.80,396577
1738583159,72.72,72.87,397183
1738583219,72.72,72.87,397355
1738583279,72.72,72.90,398401
1738583339,72.72,72.94,399633
1738583399,72.72,72.94,399679
1738583459,72.72,72.90,399984
1738583519,72.72,72.99,399996
1738583578,72.72,72.83,401181
1738583639,72.72,72.80,401281
1738583699,72.72,72.86,401471
1738583759,72.72,72.90,401822
1738583819,72.72,72.80,401943
1738583879,72.72,72.86,402036
1738583939,72.72,72.80,402117
1738583999,72.72,72.90,402142
1738584059,72.72,73.00,403660
1738584119,72.72,73.00,403710
1738584179,72.72,72.89,403920
1738584239,72.72,72.98,403989
1738584299,72.72,72.97,404015
1738584358,72.72,72.94,404119
1738584419,72.73,72.85,404179
1738584479,72.73,72.89,404217
1738584539,72.73,72.80,404378
1738584599,72.73,72.90,405459
1738584659,72.73,72.85,405734
1738584719,72.73,72.98,405935
1738584776,72.73,72.97,405960
1738584839,72.73,72.98,406130
1738584898,72.73,72.93,406155
