t,ap,cp,v
1738573635,4923.75,4923.75,29
1738573682,4923.75,4923.75,29
1738573741,4923.75,4923.75,29
1738574159,4880.73,4945.95,229
1738574219,4887.86,4887.75,275
1738574279,4885.52,4930.00,507
1738574339,4889.76,4900.00,638
1738574399,4889.19,4870.75,670
1738574458,4887.39,4864.80,725
1738574518,4886.82,4841.95,734
1738574579,4886.78,4853.90,735
1738574639,4886.38,4888.55,750
1738574699,4886.45,4908.45,753
1738574759,4886.45,4879.90,785
1738574819,4889.42,4927.05,915
1738574879,4894.10,4957.05,1004
1738574939,4919.05,5020.85,1269
1738574999,4923.03,4971.90,1353
1738575059,4923.34,4943.25,1365
1738575119,4923.35,4921.65,1368
1738575179,4923.33,4915.00,1371
1738575239,4918.96,4892.15,1596
1738575299,4918.04,4900.65,1674
1738575359,4917.05,4888.35,1719
1738575419,4916.95,4907.85,1735
1738575479,4916.78,4884.05,1744
1738575539,4916.78,4884.05,1744
1738575599,4916.71,4872.50,1747
1738575659,4916.67,4879.05,1749
1738575719,4916.67,4879.05,1749
1738575779,4916.53,4887.80,1758
1738575839,4916.53,4887.80,1758
1738575899,4916.46,4875.00,1761
1738575959,4916.37,4862.25,1764
1738576016,4916.34,4862.25,1765
1738576079,4916.17,4870.60,1771
1738576139,4916.17,4870.60,1771
1738576199,4916.17,4870.60,1771
1738576259,4916.03,4896.00,1783
1738576319,4915.98,4913.55,1809
1738576379,4916.24,4926.60,1842
1738576438,4917.41,4951.15,1910
1738576499,4917.45,4923.75,1919
1738576559,4917.40,4907.35,1936
1738576618,4917.40,4907.35,1936
1738576679,4917.18,4900.00,1961
1738576739,4917.17,4896.15,1962
1738576799,4917.05,4884.05,1969
1738576859,4916.98,4902.55,1979
1738576918,4916.95,4909.80,1985
1738576978,4916.95,4909.80,1985
1738577039,4920.09,4952.00,2245
1738577099,4920.27,4970.85,2253
1738577159,4920.34,4952.15,2258
1738577219,4920.01,4904.05,2338
1738577278,4920.01,4904.05,2338
1738577338,4920.04,4932.85,2344
1738577399,4920.04,4932.85,2344
1738577458,4920.04,4932.85,2344
1738577519,4920.04,4932.85,2344
1738577579,4920.59,4946.10,2396
1738577638,4920.60,4941.55,2398
1738577699,4920.87,4963.35,2411
1738577759,4921.28,4960.15,2435
1738577819,4921.65,4959.05,2457
1738577879,4921.65,4959.05,2457
1738577939,4921.65,4959.05,2457
1738577999,4921.66,4922.05,2492
1738578059,4921.59,4913.70,2514
1738578119,4921.61,4932.05,2519
1738578179,4921.61,4932.05,2519
1738578239,4921.73,4973.00,2525
1738578299,4921.73,4973.00,2525
1738578358,4921.76,4990.00,2526
1738578419,4923.69,5002.50,2588
1738578479,4924.02,5007.05,2600
1738578539,4924.37,4984.00,2612
1738578599,4924.39,4994.50,2613
1738578659,4924.39,4994.50,2613
1738578719,4925.34,5020.00,2639
1738578779,4925.53,5013.05,2645
1738578839,4925.74,5002.20,2652
1738578898,4926.11,5025.00,2662
1738578959,4926.11,5025.00,2662
1738579019,4926.34,5007.55,2670
1738579079,4926.91,4974.10,2700
1738579139,4928.53,4961.95,2820
1738579199,4928.83,4953.95,2858
1738579259,4928.83,4953.95,2858
1738579319,4928.83,4953.95,2858
1738579379,4928.83,4953.95,2858
1738579439,4928.90,4983.90,2861
1738579499,4928.98,4990.05,2865
1738579559,4928.98,4990.05,2865
1738579618,4929.63,5015.00,2890
1738579679,4929.63,5015.00,2890
1738579739,4929.66,5002.90,2891
1738579798,4929.77,4995.60,2896
1738579859,4930.73,5048.00,2925
1738579919,4932.97,5065.05,2978
1738579979,4933.01,5065.00,2979
1738580039,4933.31,5055.65,2986
1738580099,4933.58,5074.00,2992
1738580159,4933.67,5078.70,2994
1738580219,4933.95,5052.75,3001
1738580278,4934.24,5020.00,3010
1738580339,4934.58,5032.05,3020
1738580398,4934.89,5028.35,3030
1738580459,4935.25,5025.05,3042
1738580517,4935.35,5042.95,3045
1738580578,4935.65,5047.75,3053
1738580639,4935.69,5050.10,3054
1738580698,4939.32,5050.10,3154
1738580759,4940.18,5052.40,3178
1738580819,4940.18,5052.40,3178
1738580878,4940.18,5052.40,3178
1738580939,4940.18,5052.40,3178
1738580999,4943.34,5046.75,3273
1738581059,4943.54,5080.00,3278
1738581118,4947.14,5088.80,3356
1738581179,4949.87,5087.00,3428
1738581238,4950.17,5094.85,3435
1738581299,4950.41,5090.85,3441
1738581359,4957.62,5114.05,3599
1738581419,4958.55,5115.40,3618
1738581478,4959.00,5100.90,3629
1738581539,4959.84,5097.80,3651
1738581599,4959.84,5097.80,3651
1738581659,4962.79,5140.00,3735
1738581719,4964.06,5150.00,3761
1738581779,4965.30,5139.15,3788
1738581839,4965.30,5139.15,3788
1738581899,4965.30,5139.15,3788
1738581959,4966.78,5099.25,3828
1738582019,4967.64,5084.25,3854
1738582079,4970.06,5112.90,3922
1738582139,4970.29,5119.40,3928
1738582198,4971.08,5121.30,3948
1738582259,4971.31,5135.00,3954
1738582319,4972.95,5135.00,3994
1738582378,4975.10,5140.00,4046
1738582439,4975.33,5135.50,4052
1738582499,4975.37,5134.75,4053
1738582559,4978.18,5134.25,4124
1738582619,4978.18,5134.25,4124
1738582679,4979.53,5134.25,4160
1738582738,4979.64,5130.05,4163
1738582799,4979.97,5137.40,4172
1738582859,4980.11,5120.05,4176
1738582919,4980.21,5119.95,4179
1738582979,4980.77,5107.45,4197
1738583039,4981.19,5109.60,4211
1738583099,4981.19,5109.60,4211
1738583159,4981.36,5125.00,4216
1738583219,4981.46,5120.10,4219
1738583279,4982.40,5119.95,4248
1738583338,4983.14,5132.25,4269
1738583399,4983.33,5156.00,4274
1738583459,4983.73,5142.55,4284
1738583519,4983.92,5154.10,4289
1738583578,4983.92,5154.10,4289
1738583639,4983.92,5154.10,4289
1738583699,4983.92,5154.10,4289
1738583759,4985.73,5140.20,4339
1738583819,4986.11,5150.05,4349
1738583879,4987.12,5137.40,4379
1738583939,4987.40,5128.00,4387
1738583998,4988.95,5149.95,4432
1738584059,4988.95,5149.95,4432
1738584117,4988.95,5149.95,4432
1738584179,4993.65,5170.05,4553
1738584238,4994.20,5172.30,4567
