t,ap,cp,v
1738573657,1183.65,1183.65,441
1738573682,1183.65,1183.65,441
1738573740,1183.65,1183.65,441
1738573944,1183.65,1183.65,441
1738574159,1168.39,1162.20,2127
1738574219,1167.61,1162.05,2326
1738574279,1167.73,1168.55,2523
1738574339,1168.41,1177.00,2753
1738574399,1169.70,1176.05,3133
1738574459,1170.56,1176.50,3474
1738574519,1170.79,1179.20,3585
1738574578,1170.97,1181.85,3670
1738574639,1171.16,1183.65,3730
1738574699,1171.52,1181.50,3851
1738574759,1171.56,1183.50,3869
1738574819,1171.77,1185.25,3940
1738574879,1171.96,1184.20,3997
1738574939,1172.96,1186.15,4266
1738574999,1173.67,1182.25,4543
1738575059,1173.81,1176.15,4711
1738575119,1174.40,1181.95,5268
1738575179,1174.51,1176.70,5370
1738575239,1174.54,1180.10,5420
1738575299,1174.55,1180.10,5430
1738575359,1174.60,1185.00,5454
1738575419,1174.75,1183.75,5540
1738575479,1175.40,1179.75,6292
1738575539,1175.45,1178.85,6426
1738575599,1175.57,1183.45,6532
1738575659,1176.01,1187.45,6784
1738575719,1176.08,1182.25,6850
1738575779,1176.12,1182.30,6891
1738575839,1176.36,1182.80,7165
1738575899,1176.38,1181.50,7191
1738575959,1176.39,1178.95,7210
1738576019,1176.39,1176.25,7315
1738576079,1175.95,1172.00,8146
1738576139,1175.94,1171.95,8148
1738576199,1175.94,1171.95,8148
1738576259,1175.94,1172.75,8153
1738576319,1175.94,1172.75,8156
1738576379,1175.93,1174.05,8231
1738576439,1175.92,1173.50,8247
1738576499,1175.90,1171.00,8285
1738576559,1175.90,1171.60,8300
1738576619,1175.89,1171.55,8305
1738576679,1175.89,1171.20,8306
1738576739,1175.89,1175.50,8311
1738576799,1175.90,1178.45,8334
1738576859,1175.82,1174.45,9084
1738576917,1175.82,1174.45,9084
1738576979,1175.81,1175.00,9138
1738577039,1175.81,1175.00,9138
1738577099,1175.81,1175.00,9193
1738577159,1175.45,1169.20,9911
1738577219,1175.43,1167.25,9933
1738577279,1175.26,1165.10,10121
1738577339,1175.20,1165.00,10178
1738577399,1175.02,1167.95,10404
1738577459,1174.97,1168.85,10486
1738577519,1174.96,1170.25,10503
1738577579,1174.96,1170.25,10503
1738577639,1174.96,1170.25,10503
1738577699,1174.96,1169.65,10510
1738577759,1174.92,1166.25,10553
1738577819,1174.68,1166.60,10866
1738577879,1174.68,1166.60,10866
1738577939,1174.66,1166.00,10886
1738577999,1174.66,1166.00,10886
1738578059,1174.61,1164.45,10939
1738578119,1174.60,1165.75,10949
1738578179,1174.58,1167.20,10975
1738578239,1173.91,1167.00,12061
1738578299,1173.37,1167.00,13063
1738578359,1172.90,1165.00,14099
1738578419,1172.87,1164.65,14156
1738578479,1172.86,1167.80,14174
1738578539,1172.86,1167.80,14174
1738578599,1172.86,1167.80,14174
1738578659,1172.86,1166.20,14175
1738578717,1172.86,1166.20,14175
1738578779,1172.85,1166.20,14190
1738578839,1172.85,1166.90,14194
1738578899,1172.84,1168.00,14204
1738578959,1172.81,1166.95,14282
1738579019,1172.81,1166.95,14282
1738579079,1172.80,1166.50,14312
1738579139,1172.80,1166.50,14318
1738579199,1172.58,1166.85,14825
1738579259,1171.99,1163.00,15797
1738579319,1170.52,1160.05,18606
1738579379,1170.51,1161.75,18629
1738579439,1170.51,1160.75,18633
1738579499,1168.63,1159.55,22699
1738579559,1168.60,1160.00,22765
1738579618,1168.60,1160.00,22765
1738579679,1168.60,1159.45,22771
1738579739,1168.60,1157.75,22772
1738579799,1168.59,1160.95,22793
1738579859,1168.59,1164.30,22804
1738579919,1168.59,1170.25,22813
1738579979,1168.59,1168.25,22876
1738580039,1168.59,1168.75,22880
