t,ap,cp,v
1738573692,2346.80,2346.80,33
1738573741,2346.80,2346.80,33
1738574159,2314.14,2312.80,212
1738574219,2306.49,2295.95,538
1738574279,2303.29,2295.70,780
1738574339,2302.97,2301.00,842
1738574399,2301.44,2290.00,1106
1738574459,2300.20,2289.05,1272
1738574519,2298.63,2295.25,1509
1738574579,2298.36,2302.95,1669
1738574639,2298.72,2304.05,1744
1738574699,2298.80,2300.00,1787
1738574759,2299.53,2312.20,2053
1738574819,2302.07,2328.70,2342
1738574879,2302.83,2332.80,2412
1738574939,2304.98,2333.00,2601
1738574999,2305.09,2321.05,2618
1738575059,2305.54,2318.30,2704
1738575119,2305.59,2315.50,2719
1738575179,2305.66,2317.45,2734
1738575239,2305.88,2315.50,2780
1738575299,2305.88,2315.50,2780
1738575359,2305.95,2315.20,2807
1738575419,2306.16,2311.80,2907
1738575479,2306.17,2306.65,2919
1738575539,2306.11,2301.00,2969
1738575599,2306.05,2300.00,3001
1738575659,2305.89,2304.00,3200
1738575719,2305.85,2298.60,3242
1738575779,2305.84,2307.70,3299
1738575839,2305.86,2309.95,3320
1738575899,2305.87,2307.90,3334
1738575959,2305.84,2304.60,3381
1738576019,2305.97,2314.20,3503
1738576079,2306.00,2308.60,3558
1738576138,2306.00,2304.20,3662
1738576197,2305.78,2299.45,3820
1738576259,2305.72,2304.30,3941
1738576319,2305.70,2305.00,3976
1738576379,2305.65,2299.00,4059
1738576439,2305.61,2302.45,4090
1738576499,2305.60,2298.60,4094
1738576559,2305.59,2302.35,4106
1738576619,2304.50,2300.00,5126
1738576679,2304.50,2298.60,5139
1738576739,2304.48,2298.95,5153
1738576799,2304.46,2303.95,5179
1738576855,2304.46,2303.95,5179
1738576919,2304.47,2306.25,5208
1738576977,2304.47,2301.10,5221
1738577039,2304.44,2301.05,5245
1738577099,2304.44,2298.75,5253
1738577159,2304.36,2296.15,5347
1738577219,2304.36,2296.15,5347
1738577279,2304.36,2303.60,5524
1738577339,2304.35,2306.40,5630
1738577399,2304.38,2307.75,5674
1738577459,2304.46,2313.30,5769
1738577519,2304.51,2311.20,5800
1738577579,2304.61,2312.45,5849
1738577639,2304.62,2310.95,5859
1738577699,2304.63,2310.95,5863
1738577759,2304.60,2299.05,5900
1738577819,2304.59,2302.50,5914
1738577879,2304.59,2302.50,5915
1738577939,2304.51,2296.55,5989
1738577999,2304.47,2298.30,6019
1738578059,2304.47,2298.30,6019
1738578119,2304.47,2304.30,6022
1738578179,2304.47,2299.85,6028
1738578239,2304.46,2304.70,6049
1738578298,2304.46,2304.40,6059
1738578359,2304.46,2302.30,6064
1738578419,2304.46,2304.90,6071
1738578479,2304.45,2300.65,6087
1738578539,2304.45,2305.30,6106
1738578599,2304.37,2302.00,6217
1738578659,2304.36,2303.70,6227
1738578719,2304.38,2310.95,6241
1738578779,2304.37,2303.60,6290
1738578839,2304.37,2306.55,6292
1738578899,2304.37,2308.85,6297
1738578959,2304.38,2311.05,6298
1738579019,2304.40,2310.00,6325
1738579079,2304.41,2308.60,6327
1738579139,2304.41,2308.60,6333
1738579199,2304.41,2308.60,6333
1738579258,2304.41,2305.10,6335
1738579319,2304.43,2307.15,6388
1738579379,2304.49,2311.35,6467
1738579439,2304.49,2311.35,6467
1738579498,2304.51,2312.10,6484
1738579559,2304.75,2312.15,6655
1738579618,2304.79,2319.80,6671
1738579678,2304.85,2321.25,6699
1738579739,2304.87,2322.60,6704
1738579799,2304.88,2317.40,6710
1738579859,2304.92,2317.40,6731
1738579919,2304.94,2315.85,6745
1738579979,2304.96,2315.20,6757
1738580039,2304.96,2315.20,6757
1738580099,2304.96,2315.30,6759
1738580159,2304.98,2314.10,6771
1738580219,2304.98,2318.50,6773
1738580279,2304.98,2318.50,6773
1738580339,2305.36,2322.75,6934
1738580399,2305.36,2322.75,6934
1738580459,2305.43,2330.95,6955
1738580519,2305.46,2331.60,6963
1738580578,2305.48,2326.05,6971
1738580638,2305.51,2324.25,6980
1738580699,2305.56,2325.95,6998
1738580759,2305.60,2323.00,7016
1738580819,2305.67,2323.45,7044
1738580879,2305.68,2325.00,7046
1738580939,2305.68,2325.00,7046
1738580999,2305.69,2324.95,7049
1738581059,2305.69,2324.95,7049
1738581119,2305.78,2325.00,7082
1738581179,2305.78,2321.90,7085
1738581239,2305.78,2321.90,7085
1738581299,2305.78,2321.90,7085
1738581359,2305.78,2321.90,7085
1738581418,2306.11,2328.05,7192
1738581479,2306.17,2333.00,7207
1738581537,2306.29,2332.00,7243
1738581599,2306.31,2330.00,7248
1738581659,2307.03,2333.15,7451
1738581719,2307.03,2333.15,7451
1738581779,2307.10,2325.65,7475
1738581839,2307.10,2325.65,7475
1738581899,2307.10,2325.65,7475
1738581957,2307.10,2325.65,7475
1738582019,2307.11,2317.75,7485
1738582079,2307.12,2319.05,7489
1738582139,2307.17,2315.00,7539
1738582199,2307.18,2315.90,7544
1738582259,2307.18,2315.90,7544
1738582319,2307.20,2314.30,7560
1738582379,2307.20,2314.30,7560
1738582439,2307.20,2310.60,7569
1738582498,2307.20,2308.25,7590
1738582559,2307.20,2307.30,7656
1738582619,2307.19,2304.05,7690
1738582679,2307.19,2308.25,7710
1738582739,2307.19,2303.95,7714
1738582799,2307.19,2303.95,7714
1738582859,2307.11,2300.00,7799
1738582919,2307.01,2300.00,7913
1738582979,2306.99,2300.00,7937
1738583039,2306.89,2301.75,8067
1738583099,2306.89,2303.90,8068
1738583159,2306.86,2300.40,8100
1738583219,2306.86,2298.55,8104
1738583279,2306.85,2305.45,8130
1738583339,2306.85,2305.35,8135
1738583399,2306.83,2302.00,8166
1738583459,2306.83,2299.00,8167
1738583518,2306.69,2298.10,8262
1738583579,2306.62,2300.15,8352
1738583639,2306.62,2297.85,8354
1738583699,2306.61,2296.15,8356
1738583753,2306.46,2295.90,8477
1738583819,2306.46,2295.90,8477
1738583879,2306.44,2297.20,8506
1738583939,2306.44,2297.85,8507
1738583999,2306.43,2301.55,8513
1738584059,2306.43,2301.55,8518
1738584119,2306.41,2295.90,8539
1738584179,2306.40,2300.45,8551
1738584237,2306.40,2304.35,8553
1738584299,2306.40,2304.50,8555
1738584359,2306.40,2302.50,8559
1738584418,2306.39,2301.80,8563
1738584479,2306.38,2300.45,8669
1738584539,2306.37,2298.05,8674
1738584599,2306.35,2302.15,8714
1738584659,2306.35,2302.15,8714
1738584719,2306.35,2304.00,8715
1738584779,2306.34,2304.00,8732
1738584838,2306.34,2304.00,8732
1738584899,2306.34,2305.60,8734
1738584959,2306.34,2304.15,8742
1738585019,2306.34,2305.05,8747
1738585079,2306.34,2305.05,8747
1738585139,2306.34,2304.70,8763
1738585199,2306.33,2302.85,8769
1738585259,2306.33,2306.65,8771
1738585319,2306.32,2302.90,8803
1738585379,2306.32,2306.15,8825
1738585439,2306.32,2302.90,8833
1738585499,2306.29,2299.55,8908
1738585559,2306.28,2300.60,8921
1738585619,2306.28,2300.60,8921
1738585679,2306.28,2305.25,8931
1738585739,2306.24,2299.85,8998
1738585799,2306.24,2301.85,9004
1738585859,2306.18,2298.05,9079
1738585919,2306.12,2300.90,9143
1738585979,2306.12,2300.90,9143
1738586039,2306.12,2300.90,9143
1738586099,2306.11,2300.65,9176
1738586159,2306.11,2300.65,9176
1738586219,2306.09,2300.60,9198
1738586279,2306.09,2299.00,9203
1738586339,2306.09,2299.00,9203
1738586399,2306.08,2297.60,9211
1738586458,2306.00,2300.25,9321
1738586519,2305.99,2297.75,9327
1738586579,2305.99,2298.65,9332
1738586639,2305.98,2297.85,9343
1738586699,2305.95,2295.90,9364
1738586759,2305.93,2293.60,9381
1738586819,2305.92,2293.55,9391
1738586879,2305.49,2287.55,9626
1738586939,2305.49,2290.70,9628
1738586999,2305.41,2287.00,9668
1738587058,2305.41,2285.10,9670
1738587119,2305.35,2283.85,9698
1738587179,2305.35,2283.85,9698
1738587239,2305.27,2281.00,9733
1738587299,2304.84,2279.75,9903
1738587359,2304.83,2279.75,9906
1738587419,2304.77,2281.25,9929
1738587479,2304.77,2281.25,9929
1738587539,2304.77,2281.25,9929
1738587599,2304.76,2285.50,9938
1738587659,2304.75,2288.80,9944
1738587719,2304.58,2286.00,10034
1738587779,2304.56,2286.00,10046
1738587838,2304.56,2286.00,10046
1738587899,2304.55,2292.60,10051
1738587959,2304.54,2290.00,10056
1738588019,2304.48,2289.05,10093
1738588079,2304.44,2288.05,10123
1738588139,2304.40,2291.30,10151
1738588198,2304.39,2298.75,10156
1738588259,2304.38,2296.70,10166
1738588319,2304.34,2293.55,10218
1738588379,2304.34,2292.90,10221
