t,ap,cp,v
1738573634,480.00,480.00,10
1738573740,480.00,480.00,10
1738574159,470.04,471.55,568
1738574219,470.28,471.80,648
1738574279,470.35,472.40,679
1738574337,470.60,472.70,761
1738574398,470.86,474.50,840
1738574458,471.91,473.90,1428
1738574518,471.94,472.85,1476
1738574579,472.00,473.00,1858
1738574637,472.95,475.10,2848
1738574697,473.26,475.10,3339
1738574759,473.41,477.75,3522
1738574819,474.87,484.05,4219
1738574879,475.40,481.00,4558
1738574939,475.62,480.20,4775
1738574995,475.67,479.20,4846
1738575058,475.72,477.30,4964
1738575119,475.73,476.65,4990
1738575179,475.74,476.65,5047
1738575237,475.66,473.70,5277
1738575299,475.60,475.15,5620
1738575358,475.59,473.15,5663
1738575419,475.51,470.85,5794
1738575479,475.50,471.95,5796
1738575539,475.46,470.75,5851
1738575598,474.63,469.60,6871
1738575659,474.41,471.15,7284
1738575719,474.41,471.15,7284
1738575779,474.34,471.05,7425
1738575839,474.33,473.25,7448
1738575899,474.33,472.05,7450
1738575959,474.25,470.55,7605
1738576013,474.25,470.55,7605
1738576077,474.24,470.55,7623
1738576139,474.23,470.80,7635
1738576199,474.23,470.50,7636
1738576257,474.22,471.50,7666
1738576318,474.15,471.55,7821
1738576379,474.14,470.00,7845
1738576438,474.04,469.80,8020
1738576499,474.00,470.00,8113
1738576559,473.94,468.05,8204
1738576618,473.93,469.10,8225
1738576679,473.85,468.50,8349
1738576738,473.84,468.45,8353
1738576799,473.78,468.05,8453
1738576858,473.53,468.60,8901
1738576919,473.51,469.90,8954
1738576978,473.51,469.65,8958
1738577034,473.51,469.65,8958
1738577099,473.45,469.95,9113
1738577159,473.41,469.75,9186
1738577216,473.38,470.10,9243
1738577279,473.38,470.75,9253
1738577336,473.38,470.50,9259
1738577396,473.38,470.50,9259
1738577458,473.38,470.30,9260
1738577519,473.38,470.30,9260
1738577575,473.34,471.15,9403
1738577639,473.33,470.35,9444
1738577699,473.33,470.35,9444
1738577758,473.26,469.85,9641
1738577816,473.26,469.90,9642
1738577879,473.25,469.95,9675
1738577937,473.24,469.00,9693
1738577995,473.24,469.00,9693
1738578058,473.21,469.55,9778
1738578119,473.19,469.55,9821
1738578177,473.09,469.00,10034
1738578239,473.09,469.00,10034
1738578297,473.08,470.05,10064
1738578359,473.05,469.65,10142
1738578415,473.05,468.85,10144
1738578479,473.03,469.15,10192
