t,ap,cp,v
1738573634,2415.20,2415.20,55
1738573726,2415.20,2415.20,55
1738573740,2415.20,2415.20,55
1738574159,2430.10,2436.25,290
1738574219,2430.95,2437.55,347
1738574279,2430.95,2437.55,347
1738574339,2430.99,2444.00,348
1738574399,2431.05,2441.90,350
1738574459,2431.07,2440.00,351
1738574519,2431.19,2438.00,357
1738574579,2432.86,2445.25,407
1738574639,2432.89,2445.00,408
1738574697,2432.89,2445.00,408
1738574759,2432.89,2445.00,408
1738574819,2433.14,2450.10,414
1738574879,2435.59,2455.65,465
1738574939,2435.59,2455.65,465
1738574999,2435.83,2449.95,473
1738575059,2435.87,2453.15,474
1738575119,2435.97,2454.15,477
1738575179,2436.33,2457.95,485
1738575239,2438.42,2455.15,537
1738575297,2439.75,2462.50,576
1738575359,2441.64,2462.50,628
1738575419,2441.91,2465.75,636
1738575479,2442.24,2461.15,647
1738575539,2442.31,2453.65,651
1738575599,2442.31,2453.65,651
1738575659,2442.35,2455.90,653
1738575719,2442.42,2450.00,658
1738575779,2442.73,2448.55,690
1738575839,2442.78,2458.65,692
1738575899,2442.78,2458.65,692
1738575959,2443.67,2456.35,742
1738576017,2443.84,2452.50,757
1738576079,2443.85,2449.50,758
1738576139,2444.07,2448.45,837
1738576199,2444.14,2449.70,847
1738576259,2444.14,2449.70,847
1738576319,2444.12,2443.10,893
1738576379,2444.12,2443.10,893
1738576439,2444.12,2440.00,894
1738576499,2444.12,2440.00,894
1738576559,2444.12,2445.00,901
1738576619,2444.12,2444.60,916
1738576679,2444.12,2444.60,916
1738576739,2444.13,2445.35,928
1738576799,2444.13,2445.35,928
1738576859,2444.14,2445.65,933
1738576919,2444.49,2446.45,1179
1738576979,2444.49,2446.45,1179
1738577039,2444.49,2446.45,1179
1738577099,2444.50,2445.45,1189
1738577159,2444.50,2445.45,1189
1738577219,2444.50,2444.45,1190
1738577279,2444.50,2444.45,1190
1738577338,2444.50,2444.45,1205
1738577399,2444.50,2444.45,1205
1738577459,2444.50,2444.45,1205
1738577519,2444.54,2449.70,1215
1738577579,2444.54,2444.00,1216
1738577639,2444.54,2447.10,1221
1738577699,2444.54,2447.10,1221
1738577759,2444.54,2447.10,1221
1738577819,2444.54,2447.10,1221
1738577879,2444.45,2438.10,1246
1738577939,2444.45,2438.10,1246
1738577999,2444.46,2445.40,1247
1738578059,2444.46,2445.40,1247
1738578119,2443.71,2440.00,1497
1738578178,2443.71,2440.00,1497
1738578238,2443.71,2440.00,1497
1738578299,2443.71,2444.10,1507
1738578359,2443.72,2442.45,1549
1738578419,2443.72,2442.45,1549
1738578479,2443.72,2442.45,1549
1738578539,2443.69,2437.80,1558
1738578599,2443.67,2439.00,1563
1738578659,2443.67,2439.00,1563
1738578719,2443.62,2440.30,1648
1738578779,2443.62,2440.30,1648
1738578839,2443.62,2440.30,1648
1738578898,2443.61,2440.30,1650
1738578957,2443.61,2440.30,1650
1738579019,2443.61,2440.30,1650
1738579079,2443.62,2443.95,1715
1738579139,2443.62,2443.95,1715
1738579199,2443.62,2443.95,1715
1738579259,2443.62,2443.95,1715
1738579319,2443.63,2446.95,1720
1738579379,2443.64,2449.00,1722
1738579439,2443.66,2450.95,1727
1738579499,2443.66,2450.95,1727
1738579559,2443.66,2450.95,1727
1738579619,2443.66,2450.95,1727
1738579679,2443.66,2450.95,1727
1738579739,2443.66,2451.60,1728
1738579799,2443.68,2451.10,1733
1738579859,2443.72,2452.10,1740
1738579919,2443.72,2452.10,1740
1738579979,2443.72,2452.10,1740
1738580039,2443.72,2454.15,1741
1738580099,2443.72,2454.15,1741
1738580159,2443.72,2454.15,1741
1738580219,2443.75,2454.15,1745
1738580279,2443.76,2451.35,1749
1738580339,2443.83,2455.50,1759
1738580399,2443.83,2455.50,1759
1738580459,2443.83,2455.50,1759
1738580519,2443.83,2455.50,1759
1738580579,2443.88,2457.90,1765
1738580639,2443.88,2453.55,1766
1738580699,2443.88,2453.55,1766
1738580758,2443.88,2453.55,1766
1738580819,2443.89,2457.15,1767
1738580879,2443.89,2457.15,1767
1738580939,2443.89,2457.15,1767
1738580999,2444.01,2458.25,1782
1738581059,2444.01,2458.25,1782
1738581119,2444.01,2458.25,1782
1738581179,2444.10,2458.25,1793
1738581239,2444.10,2458.25,1793
1738581299,2444.10,2458.25,1793
1738581359,2444.10,2458.25,1793
1738581418,2444.10,2458.25,1793
1738581479,2444.15,2458.25,1799
1738581539,2444.49,2455.85,1854
1738581599,2444.49,2455.85,1854
1738581659,2444.49,2455.85,1854
1738581719,2444.49,2455.85,1854
1738581779,2444.49,2455.85,1854
1738581839,2444.55,2455.00,1864
1738581899,2444.57,2453.85,1869
1738581957,2444.57,2453.85,1869
1738582018,2444.57,2453.85,1869
1738582078,2444.57,2453.85,1869
1738582139,2444.57,2453.85,1869
1738582198,2444.57,2453.85,1869
1738582259,2444.57,2453.85,1869
1738582319,2444.65,2447.15,1924
1738582378,2444.65,2447.15,1924
1738582439,2444.65,2447.15,1924
1738582499,2444.65,2447.15,1924
1738582559,2444.65,2447.15,1924
1738582619,2444.65,2447.15,1924
1738582679,2444.65,2447.15,1924
1738582739,2444.65,2447.15,1924
1738582798,2444.64,2443.75,1929
1738582856,2444.64,2443.75,1929
1738582918,2444.59,2440.15,1954
1738582979,2444.58,2440.00,1955
