t,ap,cp,v
1738573635,989.95,989.95,167
1738573741,989.95,989.95,167
1738573944,989.95,989.95,167
1738574159,980.15,971.20,732
1738574219,976.03,969.65,1461
1738574279,975.58,978.95,2437
1738574339,975.98,976.85,2783
1738574399,975.93,975.00,2963
1738574459,975.71,970.45,3245
1738574517,975.61,972.50,3305
1738574579,975.07,972.45,3676
1738574639,975.04,971.90,3699
1738574699,973.06,970.00,6089
1738574758,972.95,972.00,6293
1738574819,972.94,977.10,6437
1738574879,972.96,975.00,6493
1738574938,972.96,975.60,6572
1738574999,972.96,975.45,6578
1738575058,972.95,970.05,6645
1738575119,972.95,972.40,6655
1738575179,971.40,964.00,9504
1738575238,969.65,962.80,12000
1738575299,969.48,958.55,12213
1738575359,969.16,958.95,12587
1738575419,969.06,955.30,12687
1738575479,968.85,953.00,12871
1738575538,968.21,951.00,13353
1738575599,967.74,949.95,13712
1738575659,967.65,951.75,13785
1738575719,967.51,950.85,13902
1738575778,967.50,953.90,13911
1738575839,967.38,951.10,14026
1738575899,967.25,951.35,14145
1738575959,967.08,951.75,14298
1738576019,965.68,954.35,15684
1738576079,965.67,957.55,15708
1738576138,965.66,957.40,15722
1738576199,965.44,956.80,16158
1738576257,965.33,962.35,16441
1738576319,965.31,959.90,16503
1738576379,965.31,960.00,16515
1738576439,965.28,961.50,16649
1738576499,964.96,963.15,17756
1738576559,964.95,963.95,17764
1738576619,964.80,961.75,18726
1738576679,964.74,959.20,18958
1738576739,964.39,958.10,20111
1738576799,964.36,958.50,20235
1738576859,963.98,955.75,21176
1738576919,963.86,957.60,21470
1738576979,963.85,955.90,21490
1738577038,963.83,954.65,21546
1738577099,963.82,954.75,21560
1738577159,963.12,953.55,23052
1738577219,963.10,953.40,23094
1738577279,963.10,956.70,23100
1738577339,963.07,954.30,23191
1738577397,962.72,951.35,24011
1738577458,962.69,952.85,24076
1738577519,962.67,953.50,24115
1738577579,962.67,953.70,24116
1738577639,962.67,951.25,24120
1738577698,962.63,952.75,24231
1738577758,962.59,951.30,24297
1738577819,962.58,951.00,24320
1738577876,962.58,951.20,24333
1738577939,962.57,950.10,24334
1738577998,962.57,952.15,24348
1738578059,962.57,953.10,24350
1738578119,962.54,953.00,24415
1738578177,962.54,953.00,24415
1738578239,962.48,953.90,24605
1738578299,962.43,953.00,24752
1738578358,962.42,952.10,24764
1738578419,962.40,952.10,24811
1738578479,962.31,956.30,25045
1738578539,962.31,956.30,25045
1738578599,962.27,956.00,25202
1738578656,962.27,955.65,25217
1738578719,962.26,953.70,25255
1738578778,962.25,955.65,25261
1738578839,962.25,954.95,25278
