t,ap,cp,v
1738573645,450.25,450.25,918
1738573692,450.25,450.25,918
1738573740,450.25,450.25,918
1738573899,450.25,450.25,918
1738574159,450.15,453.40,2317
1738574219,450.97,452.70,2806
1738574279,451.36,452.70,3277
1738574339,451.12,448.15,3727
1738574399,451.13,452.30,4094
1738574459,451.37,453.40,4581
1738574518,451.37,452.90,4588
1738574579,451.41,453.15,4719
1738574639,451.41,453.40,4721
1738574699,451.42,454.70,4748
1738574758,451.62,457.30,4962
1738574819,451.65,459.75,4978
1738574879,451.91,461.15,5122
1738574939,452.25,460.40,5335
1738574999,452.96,460.90,5841
1738575059,453.76,462.85,6503
1738575119,454.92,463.30,7389
1738575179,455.18,461.40,7667
1738575239,455.34,462.25,7856
1738575299,455.59,460.45,8184
1738575359,455.60,460.40,8197
1738575419,455.75,461.35,8438
1738575479,455.79,460.90,8513
1738575539,455.83,458.85,8597
1738575599,455.85,457.60,8672
1738575659,455.85,458.40,8682
1738575719,455.87,459.65,8719
1738575779,455.88,460.15,8741
1738575839,455.91,458.35,8813
1738575899,455.92,457.50,8872
1738575959,455.93,459.15,8887
1738576019,455.98,459.25,9022
1738576079,456.04,458.90,9240
1738576139,456.04,458.90,9240
1738576199,456.06,456.85,9417
1738576257,456.06,457.00,9430
1738576319,456.07,457.45,9463
1738576379,456.07,457.45,9463
1738576439,456.07,456.25,9475
1738576499,456.07,456.50,9537
1738576559,456.08,456.55,9639
1738576619,456.08,458.15,9640
1738576679,456.08,458.15,9640
1738576739,456.08,456.70,9731
1738576799,456.10,457.80,9860
1738576859,456.10,457.00,9866
1738576919,456.14,460.50,9957
1738576979,456.15,458.30,9997
1738577039,456.16,458.30,10059
1738577099,456.16,457.75,10064
1738577159,456.16,457.75,10064
1738577219,456.16,457.95,10068
1738577279,456.17,458.20,10112
1738577339,456.17,458.20,10112
1738577399,456.18,458.40,10148
1738577459,456.19,459.00,10191
1738577519,456.24,459.55,10384
1738577579,456.29,460.00,10532
1738577639,456.42,460.40,10885
1738577699,456.46,460.80,10998
1738577759,456.46,460.80,10998
1738577819,456.46,460.80,10998
1738577876,456.46,460.80,10998
1738577939,456.47,460.75,11007
1738577999,456.48,460.30,11038
1738578059,456.48,460.30,11038
1738578119,456.51,461.10,11113
1738578179,456.55,461.05,11222
1738578239,456.55,461.05,11222
1738578299,456.70,461.25,11629
1738578359,456.71,460.40,11636
1738578419,456.98,459.10,12706
1738578479,456.98,457.55,12717
1738578539,456.98,457.55,12717
1738578599,456.98,457.00,12718
1738578659,456.99,457.95,12772
1738578719,456.99,457.30,12773
1738578779,456.99,457.30,12773
1738578839,456.99,457.30,12823
1738578899,457.03,457.30,14823
1738578959,457.03,459.30,14839
1738579019,457.03,459.30,14839
1738579079,457.03,459.30,14839
1738579139,457.03,458.45,14843
1738579199,457.03,458.25,14852
1738579259,457.03,458.25,14852
1738579319,457.04,458.50,15005
1738579379,457.06,460.00,15143
1738579439,457.06,460.00,15143
1738579499,457.06,460.00,15143
1738579559,457.06,461.40,15157
1738579619,457.06,462.00,15158
1738579678,457.06,462.05,15166
1738579739,457.08,460.65,15238
1738579799,457.08,460.65,15238
1738579859,457.08,461.45,15240
1738579919,457.09,461.70,15253
1738579979,457.10,461.40,15285
1738580039,457.24,462.60,15721
1738580099,457.26,462.85,15763
1738580159,457.26,462.15,15764
1738580219,457.27,462.60,15794
1738580279,457.27,462.45,15798
1738580339,457.29,460.80,15867
1738580399,457.34,461.20,16148
1738580459,457.34,461.20,16148
1738580519,457.34,461.20,16148
1738580579,457.34,462.15,16166
1738580639,457.34,462.15,16166
1738580699,457.34,462.15,16166
1738580759,457.34,461.95,16168
1738580819,457.34,461.95,16168
1738580879,457.34,461.95,16168
1738580937,457.34,461.95,16168
1738580999,457.34,461.10,16173
1738581059,457.35,461.50,16197
1738581119,457.35,461.50,16197
1738581179,457.35,461.50,16197
1738581239,457.35,462.60,16206
1738581299,457.35,462.60,16206
1738581359,457.35,462.60,16206
