t,ap,cp,v
1738573740,955.20,955.20,10
1738574159,1000.24,1007.00,594
1738574219,1001.30,1012.45,762
1738574279,1005.82,1015.00,1279
1738574339,1010.41,1024.00,2411
1738574399,1013.68,1030.00,2923
1738574459,1016.29,1026.75,3540
1738574518,1017.01,1035.00,3701
1738574579,1018.27,1030.20,4023
1738574639,1023.59,1038.00,5967
1738574699,1025.46,1036.60,6769
1738574758,1025.85,1039.95,7108
1738574819,1026.36,1033.95,7426
1738574879,1026.64,1028.85,7773
1738574939,1025.25,1021.85,8525
1738574999,1024.97,1016.90,8999
1738575059,1024.85,1014.55,9113
1738575119,1024.62,1026.00,9462
1738575179,1024.75,1027.50,9761
1738575239,1024.74,1025.00,9876
1738575299,1024.74,1024.00,9878
1738575359,1024.72,1021.15,9978
1738575419,1024.66,1023.90,10198
1738575479,1024.67,1026.50,10253
1738575539,1024.73,1030.00,10508
1738575599,1024.78,1026.00,10808
1738575659,1024.86,1026.00,11652
1738575719,1024.91,1026.00,12269
1738575779,1024.63,1021.45,13434
1738575839,1024.62,1020.00,13462
1738575899,1024.19,1014.95,14063
1738575959,1023.63,1010.05,14922
1738576019,1023.57,1010.00,14984
1738576079,1023.44,1016.00,15169
1738576139,1023.36,1017.15,15410
1738576199,1023.34,1017.60,15468
1738576256,1023.34,1017.65,15478
1738576319,1023.34,1019.90,15483
1738576379,1023.33,1018.60,15513
1738576438,1023.28,1017.40,15777
1738576498,1023.27,1019.35,15791
1738576557,1023.25,1019.35,15846
1738576619,1023.18,1016.35,16001
1738576679,1023.16,1014.70,16034
1738576739,1023.16,1011.90,16038
1738576799,1023.15,1016.50,16050
1738576859,1023.02,1016.15,16346
1738576919,1023.01,1018.05,16351
1738576977,1023.01,1018.25,16363
1738577039,1023.01,1015.50,16369
1738577098,1023.00,1016.05,16405
1738577156,1023.00,1016.05,16405
1738577219,1023.00,1017.45,16406
1738577279,1023.00,1017.45,16406
1738577339,1022.97,1018.25,16495
1738577399,1022.96,1022.10,16575
1738577459,1022.96,1025.65,16631
1738577519,1023.50,1024.85,17914
1738577579,1023.51,1029.45,17970
1738577637,1023.51,1024.65,17972
1738577697,1023.51,1024.65,17972
1738577759,1023.52,1030.60,18019
1738577819,1023.58,1035.00,18131
1738577877,1023.73,1038.50,18344
1738577939,1023.82,1031.95,18486
1738577998,1023.88,1030.85,18639
1738578059,1023.89,1034.20,18661
1738578119,1023.99,1032.20,18901
1738578178,1023.99,1029.60,18909
1738578238,1024.01,1031.00,18965
1738578299,1024.03,1033.15,19026
1738578358,1024.03,1029.80,19032
1738578419,1024.06,1028.60,19168
1738578479,1024.07,1028.70,19259
1738578539,1024.07,1026.95,19294
1738578599,1024.07,1029.40,19295
1738578659,1024.09,1029.35,19359
1738578719,1024.09,1029.35,19359
1738578779,1024.09,1028.10,19361
1738578839,1024.11,1029.85,19409
1738578899,1024.11,1026.95,19456
1738578959,1024.11,1027.05,19457
1738579019,1024.14,1029.05,19587
1738579079,1024.14,1026.75,19595
1738579139,1024.15,1027.20,19627
1738579194,1024.15,1029.00,19640
1738579259,1024.16,1030.00,19680
1738579319,1024.16,1030.00,19682
1738579378,1024.17,1028.35,19697
1738579437,1024.17,1027.40,19698
1738579499,1024.17,1027.40,19698
1738579558,1024.17,1027.40,19698
1738579619,1024.17,1027.40,19698
