t,ap,cp,v
1738573634,1678.00,1678.00,135
1738573740,1678.00,1678.00,135
1738573811,1678.00,1678.00,135
1738574159,1673.37,1674.35,1356
1738574219,1673.19,1675.50,1458
1738574279,1673.26,1668.60,1743
1738574339,1672.63,1665.05,1878
1738574399,1672.08,1670.45,2109
1738574459,1671.80,1669.60,2312
1738574519,1671.66,1669.70,2542
1738574579,1671.71,1672.55,2685
1738574639,1671.73,1678.00,2695
1738574699,1671.96,1681.65,2760
1738574759,1672.39,1681.60,2910
1738574819,1672.85,1683.30,3081
1738574879,1673.53,1686.90,3271
1738574939,1673.75,1687.90,3324
1738574999,1674.19,1688.55,3431
1738575059,1675.64,1692.75,3778
1738575119,1675.96,1691.90,3851
1738575179,1676.30,1688.50,3949
1738575239,1676.35,1688.75,3967
1738575299,1677.00,1685.10,4234
1738575359,1677.02,1686.10,4244
1738575419,1677.08,1686.35,4270
1738575479,1677.27,1688.45,4370
1738575539,1677.32,1688.45,4388
1738575599,1677.68,1690.50,4517
1738575659,1679.00,1700.00,4857
1738575719,1679.10,1699.90,4881
1738575779,1679.28,1698.45,4929
1738575839,1679.40,1698.55,4959
1738575899,1679.42,1695.30,4966
1738575959,1680.08,1692.00,5232
1738576019,1680.28,1690.00,5341
1738576079,1680.84,1685.95,5688
1738576139,1681.10,1685.20,6061
1738576197,1681.17,1684.95,6165
1738576259,1681.36,1685.40,6519
1738576319,1681.36,1684.40,6527
1738576379,1681.37,1682.60,6562
1738576439,1681.37,1684.20,6569
1738576499,1681.38,1682.60,6594
1738576559,1681.38,1681.05,6595
1738576619,1681.38,1682.00,6598
1738576679,1681.38,1681.45,6617
1738576739,1681.38,1680.85,6631
1738576799,1681.38,1682.10,6632
1738576859,1681.38,1682.60,6661
1738576919,1681.38,1681.05,6672
1738576979,1681.37,1678.60,6753
1738577039,1681.37,1679.85,6754
1738577099,1681.36,1679.95,6760
1738577159,1681.36,1679.10,6780
1738577219,1681.36,1679.50,6785
1738577279,1681.35,1680.00,6811
1738577338,1681.34,1679.10,6829
1738577399,1681.34,1679.10,6829
1738577459,1681.33,1680.55,6960
1738577519,1681.33,1680.55,6960
1738577579,1681.32,1679.00,6980
1738577639,1681.32,1680.55,7001
1738577698,1681.32,1680.25,7013
1738577759,1681.31,1679.35,7038
1738577819,1681.31,1682.55,7062
1738577879,1681.31,1682.55,7062
1738577939,1681.22,1680.45,7353
1738577999,1681.18,1679.50,7466
1738578059,1681.13,1679.10,7630
1738578119,1681.13,1679.10,7630
1738578179,1681.13,1679.10,7630
1738578239,1681.13,1681.40,7631
1738578299,1681.14,1682.20,7691
1738578359,1681.14,1681.15,7707
1738578419,1681.14,1680.85,7720
1738578479,1681.13,1679.00,7726
1738578539,1681.13,1680.00,7740
1738578599,1681.13,1680.00,7740
1738578659,1681.13,1681.10,7745
1738578719,1681.12,1680.80,7853
1738578779,1681.12,1680.80,7853
1738578839,1681.12,1680.80,7853
1738578899,1681.12,1679.65,7870
1738578959,1681.12,1681.95,7878
1738579019,1681.13,1684.00,7891
1738579079,1681.13,1684.40,7895
1738579139,1681.13,1684.40,7895
