t,ap,cp,v
1738573741,3900.10,3900.10,11
1738574159,3848.09,3815.85,484
1738574219,3841.97,3813.35,598
1738574279,3829.13,3798.00,880
1738574339,3825.61,3793.30,983
1738574399,3824.82,3796.90,1010
1738574459,3822.64,3801.90,1117
1738574519,3821.40,3805.95,1195
1738574578,3820.30,3801.30,1249
1738574639,3820.30,3814.45,1250
1738574699,3820.00,3805.25,1286
1738574759,3819.94,3821.75,1325
1738574819,3819.85,3822.75,1366
1738574879,3819.94,3829.40,1385
1738574939,3821.04,3830.30,1506
1738574999,3824.03,3853.20,1681
1738575059,3825.63,3843.45,1835
1738575119,3825.90,3845.55,1860
1738575179,3825.98,3841.15,1870
1738575239,3826.27,3840.05,1906
1738575299,3826.36,3832.50,1928
1738575359,3826.39,3830.00,1940
1738575419,3826.40,3824.60,1951
1738575479,3826.21,3819.05,2005
1738575539,3826.01,3810.00,2034
1738575599,3825.96,3811.75,2040
1738575659,3825.96,3811.75,2040
1738575719,3825.76,3814.00,2087
1738575779,3825.76,3814.00,2087
1738575839,3825.42,3822.50,2279
1738575899,3825.42,3823.75,2282
1738575959,3825.40,3825.15,2297
1738576019,3825.39,3825.60,2311
1738576079,3825.40,3826.00,2323
1738576139,3825.40,3824.45,2324
1738576199,3825.26,3819.00,2377
1738576259,3825.05,3818.00,2412
1738576318,3825.01,3819.00,2425
1738576379,3825.00,3816.95,2433
1738576436,3824.86,3813.05,2468
1738576499,3824.84,3818.85,2473
1738576559,3824.50,3808.80,2532
1738576619,3824.49,3816.30,2536
1738576679,3824.54,3827.10,2663
1738576739,3824.52,3825.80,2685
1738576799,3824.54,3833.45,2699
1738576859,3824.55,3829.15,2704
1738576919,3824.56,3827.95,2710
1738576978,3824.58,3824.90,2731
1738577037,3824.54,3820.00,2763
1738577099,3824.56,3827.50,2783
1738577158,3824.56,3827.50,2783
1738577219,3824.56,3821.80,2789
1738577279,3824.57,3829.25,2791
1738577339,3824.70,3830.00,2855
1738577398,3824.73,3831.55,2868
1738577459,3824.76,3833.00,2881
1738577519,3825.15,3847.60,2936
1738577579,3825.30,3843.80,2957
1738577639,3825.38,3840.00,2972
