t,ap,cp,v
1738573741,1670.00,1670.00,1041
1738574159,1669.80,1670.45,2950
1738574219,1669.77,1668.65,3226
1738574279,1669.51,1667.75,3692
1738574339,1669.36,1671.80,4339
1738574399,1669.44,1670.75,4520
1738574459,1669.63,1673.50,4780
1738574519,1669.72,1672.35,4921
1738574578,1669.90,1673.20,5207
1738574639,1670.17,1674.65,5546
1738574699,1670.30,1674.75,5699
1738574759,1670.61,1676.00,6027
1738574819,1670.73,1676.10,6173
1738574879,1670.99,1675.10,6503
1738574939,1671.52,1677.45,7082
1738574999,1671.76,1680.00,7283
1738575059,1672.46,1681.75,7952
1738575119,1672.48,1682.60,7968
1738575179,1673.36,1684.00,8717
1738575239,1673.52,1683.25,8861
1738575299,1673.54,1683.65,8878
1738575359,1673.62,1682.25,8956
1738575419,1674.63,1685.05,9997
1738575479,1674.97,1682.25,10344
1738575539,1674.98,1680.25,10374
1738575599,1675.12,1680.55,10654
1738575659,1675.21,1680.00,10879
1738575719,1675.33,1681.10,11089
1738575779,1675.41,1681.45,11253
1738575839,1675.42,1679.25,11266
1738575899,1675.50,1679.85,11460
1738575959,1675.75,1679.00,12511
1738576019,1676.05,1678.50,14281
1738576079,1676.43,1678.55,17724
1738576139,1676.45,1677.75,17910
1738576197,1676.39,1675.30,19383
1738576259,1676.34,1676.00,20930
1738576319,1676.31,1674.80,21744
1738576379,1676.30,1677.05,22057
1738576439,1676.31,1678.50,22267
1738576499,1676.33,1679.75,22411
1738576559,1676.45,1681.50,22932
1738576619,1676.47,1680.25,23064
1738576679,1676.50,1681.20,23249
1738576739,1676.52,1680.90,23355
1738576799,1676.52,1679.50,23361
1738576859,1676.52,1680.00,23380
1738576919,1676.55,1679.75,23535
1738576979,1676.55,1680.90,23557
1738577039,1676.56,1680.00,23629
1738577099,1676.57,1680.05,23670
1738577159,1676.58,1679.60,23779
1738577219,1676.60,1679.60,23912
1738577279,1676.60,1680.35,23920
1738577339,1676.63,1679.20,24202
1738577399,1676.65,1679.75,24375
1738577459,1676.66,1679.30,24427
1738577519,1676.66,1679.30,24429
1738577579,1676.67,1677.45,24513
1738577639,1676.68,1677.55,25088
1738577699,1676.70,1678.10,25454
1738577759,1676.71,1678.40,25584
1738577819,1676.74,1679.50,25962
1738577879,1676.79,1680.60,26317
1738577939,1676.97,1681.45,27505
1738577999,1677.03,1682.20,27873
1738578059,1677.13,1682.45,28357
1738578119,1677.20,1683.00,28684
1738578179,1677.20,1680.95,28708
1738578239,1677.22,1680.60,28898
1738578297,1677.22,1681.45,28912
1738578359,1677.25,1682.25,29085
1738578419,1677.26,1682.00,29144
1738578479,1677.34,1681.95,29690
1738578539,1677.37,1681.75,29860
1738578599,1677.37,1681.10,29879
1738578659,1677.42,1681.25,30385
1738578719,1677.45,1680.65,30642
1738578779,1677.45,1680.65,30642
1738578839,1677.51,1682.50,31186
1738578899,1677.52,1681.65,31233
1738578959,1677.55,1681.80,31437
1738579019,1677.55,1681.70,31466
1738579079,1677.55,1680.65,31477
1738579139,1677.55,1681.55,31479
1738579199,1677.55,1680.55,31495
1738579259,1677.59,1679.65,32017
1738579319,1677.60,1681.50,32122
1738579379,1677.69,1683.45,32701
1738579439,1677.74,1685.00,32925
1738579499,1678.00,1684.35,34156
1738579559,1678.04,1684.10,34340
1738579618,1678.09,1684.80,34619
1738579679,1678.10,1685.75,34664
1738579739,1678.12,1684.55,34779
1738579798,1678.15,1684.50,34914
1738579859,1678.16,1684.55,34940
1738579919,1678.17,1682.85,35042
1738579979,1678.17,1683.35,35044
1738580039,1678.18,1683.20,35079
1738580098,1678.18,1684.90,35125
1738580159,1678.21,1685.70,35271
1738580219,1678.22,1684.05,35297
1738580279,1678.22,1684.95,35336
1738580339,1678.23,1684.25,35396
1738580399,1678.24,1684.05,35432
1738580459,1678.25,1683.80,35470
1738580518,1678.25,1682.75,35483
1738580578,1678.28,1683.90,35660
1738580639,1678.31,1682.80,35935
1738580699,1678.31,1683.65,35964
1738580759,1678.32,1683.50,35992
1738580819,1678.33,1682.00,36058
1738580879,1678.33,1682.05,36076
1738580939,1678.91,1683.00,41209
1738580999,1678.91,1682.05,41238
1738581059,1678.91,1683.00,41243
1738581119,1678.92,1683.20,41397
1738581179,1678.94,1681.80,41549
1738581239,1678.95,1684.50,41646
1738581299,1678.95,1684.90,41655
1738581359,1678.97,1685.40,41737
1738581419,1678.98,1684.50,41818
1738581478,1679.01,1685.30,42060
1738581539,1679.02,1684.20,42097
1738581599,1679.02,1682.95,42125
1738581659,1679.03,1683.35,42187
1738581719,1679.03,1683.35,42187
1738581779,1679.05,1683.75,42422
1738581839,1679.05,1683.15,42453
1738581899,1679.06,1683.75,42460
1738581959,1679.07,1683.20,42562
1738582019,1679.07,1683.00,42576
1738582079,1679.08,1683.00,42692
1738582139,1679.08,1682.50,42702
1738582199,1679.65,1682.15,52600
1738582259,1679.65,1681.30,52784
1738582318,1679.65,1681.75,52850
1738582379,1679.66,1681.00,52887
1738582439,1679.66,1681.40,52914
1738582499,1679.66,1682.00,52923
1738582559,1679.66,1681.35,52992
1738582619,1679.67,1680.75,53195
1738582679,1679.67,1680.20,53214
1738582739,1679.67,1680.90,53271
1738582799,1679.67,1680.80,53499
1738582859,1679.67,1680.75,54136
1738582919,1679.67,1679.50,54239
1738582979,1679.67,1680.00,54311
1738583039,1679.67,1680.00,54601
1738583099,1679.67,1679.00,54964
1738583159,1679.67,1679.00,54988
1738583219,1679.67,1678.65,55630
1738583279,1679.67,1680.00,55637
1738583339,1679.67,1679.20,55659
1738583399,1679.67,1679.25,55681
1738583459,1679.67,1679.85,55795
1738583519,1679.67,1680.25,55844
1738583578,1679.67,1679.40,55927
1738583639,1679.67,1679.00,56023
1738583699,1679.67,1679.95,56206
1738583759,1679.66,1678.45,56370
1738583819,1679.66,1678.30,56401
1738583879,1679.66,1680.50,56415
1738583938,1679.66,1680.55,56421
1738583999,1679.66,1679.60,56422
1738584059,1679.66,1679.50,56472
1738584119,1679.66,1679.85,56504
1738584179,1679.66,1680.70,56518
1738584239,1679.68,1682.30,56917
1738584299,1679.68,1682.30,56926
1738584359,1679.68,1681.85,56927
1738584419,1679.68,1681.85,56927
1738584479,1679.68,1681.60,56947
1738584539,1679.68,1682.30,56952
1738584599,1679.68,1681.65,57086
1738584658,1679.68,1681.95,57088
1738584719,1679.68,1681.85,57101
1738584777,1679.68,1682.15,57144
1738584837,1679.70,1681.90,57584
1738584897,1679.70,1682.05,57641
1738584959,1679.70,1681.45,57643
1738585018,1679.70,1682.25,57644
1738585079,1679.70,1682.20,57678
1738585139,1679.70,1682.15,57768
1738585199,1679.71,1682.15,57846
1738585259,1679.71,1681.60,57858
1738585319,1679.71,1682.50,57952
1738585379,1679.72,1682.00,58125
1738585439,1679.72,1682.60,58131
1738585499,1679.73,1683.40,58232
1738585559,1679.73,1683.40,58232
1738585619,1679.73,1683.30,58236
1738585679,1679.73,1682.25,58241
1738585739,1679.73,1682.25,58241
1738585799,1679.73,1682.25,58241
1738585859,1679.73,1682.25,58384
1738585919,1679.73,1682.25,58384
1738585979,1679.73,1682.25,58384
1738586039,1679.74,1682.50,58509
1738586098,1679.75,1682.40,58896
1738586159,1679.80,1682.20,59946
1738586218,1679.81,1682.35,60120
1738586279,1679.85,1683.70,60908
1738586339,1679.86,1683.65,61099
1738586399,1679.87,1682.00,61145
1738586458,1679.87,1683.25,61146
1738586519,1679.88,1683.05,61458
1738586579,1679.89,1682.40,61796
1738586638,1679.89,1682.40,61796
1738586699,1679.89,1682.40,61803
1738586759,1679.91,1683.00,62209
1738586819,1679.91,1680.40,62223
1738586879,1679.91,1681.25,62293
1738586939,1679.91,1681.95,62298
1738586998,1679.93,1681.95,62920
1738587059,1679.93,1681.85,62922
1738587119,1679.93,1680.90,62953
1738587178,1679.93,1680.90,62954
1738587239,1679.93,1680.90,62956
