t,ap,cp,v
1738573635,380.00,380.00,592
1738573740,380.00,380.00,592
1738574159,378.58,378.90,2660
1738574218,378.31,375.80,3341
1738574279,378.21,377.25,3506
1738574339,378.12,376.65,3781
1738574394,378.12,378.30,3782
1738574459,378.09,376.10,3856
1738574518,378.04,375.40,3950
1738574579,377.79,375.60,4536
1738574639,377.71,377.15,4856
1738574699,377.60,376.95,5404
1738574757,377.58,376.10,5469
1738574819,377.81,382.00,5898
1738574879,378.68,381.60,7334
1738574937,378.71,379.25,7475
1738574998,378.71,379.10,7604
1738575058,378.66,376.75,7873
1738575119,378.58,376.75,8283
1738575179,378.47,375.55,8681
1738575239,377.64,373.90,10974
1738575299,377.63,372.65,10994
1738575359,376.79,372.00,12928
1738575419,376.27,371.10,14229
1738575478,376.27,371.10,14229
1738575539,376.26,371.95,14259
1738575598,376.24,370.85,14315
1738575658,376.24,371.90,14325
1738575719,375.84,370.00,15457
1738575779,375.83,371.00,15499
1738575839,375.82,370.85,15524
1738575899,375.82,372.50,15535
1738575958,375.78,370.85,15657
1738576017,375.74,371.50,15792
1738576079,375.74,371.00,15793
1738576139,375.73,371.70,15828
1738576198,375.72,371.35,15877
1738576257,375.57,371.90,16521
1738576318,375.57,371.90,16521
1738576378,375.54,371.95,16658
1738576439,375.54,371.95,16658
1738576498,375.53,372.45,16699
1738576559,375.50,371.65,16858
1738576619,375.50,371.65,16858
1738576679,375.50,371.65,16858
1738576739,375.48,371.25,16931
1738576799,375.46,371.35,17058
1738576859,375.39,371.65,17364
1738576919,375.36,373.00,17601
1738576979,375.21,372.05,18346
1738577038,375.21,372.05,18346
1738577099,375.20,372.35,18440
1738577158,375.16,371.90,18647
1738577219,375.07,372.00,19106
1738577279,375.06,372.20,19202
1738577339,375.03,370.65,19340
1738577399,374.61,369.00,21114
1738577459,374.60,369.05,21137
1738577518,374.54,368.90,21344
1738577579,374.53,368.90,21397
1738577639,374.53,368.90,21399
1738577698,374.53,368.90,21399
1738577759,374.52,368.60,21450
1738577818,374.48,369.05,21581
1738577877,374.48,369.05,21581
1738577935,374.34,368.35,22133
1738577999,374.34,368.35,22133
1738578059,374.33,368.65,22193
1738578118,374.33,368.65,22193
1738578179,374.33,369.75,22198
1738578239,374.33,369.75,22198
1738578299,374.33,369.10,22201
1738578358,374.33,369.10,22201
1738578419,374.19,366.50,22666
1738578478,374.19,367.55,22670
1738578539,374.13,366.25,22842
1738578599,374.13,366.00,22846
1738578659,374.10,365.95,22926
1738578719,374.05,365.95,23064
1738578779,374.03,365.80,23123
1738578839,374.02,366.35,23154
1738578899,374.02,367.10,23161
1738578959,374.02,367.10,23161
1738579019,373.93,367.30,23452
1738579079,373.87,367.85,23662
1738579137,373.87,367.85,23662
1738579196,373.86,367.25,23698
