t,ap,cp,v
1738573635,4439.80,4439.80,64
1738573682,4439.80,4439.80,64
1738573741,4439.80,4439.80,64
1738573825,4439.80,4439.80,64
1738574159,4384.87,4366.30,1874
1738574219,4384.33,4390.30,2229
1738574279,4383.78,4369.70,2569
1738574339,4383.19,4377.30,3104
1738574399,4382.49,4363.05,3328
1738574459,4381.14,4354.25,3569
1738574518,4378.94,4355.30,3910
1738574579,4377.36,4358.65,4256
1738574639,4376.17,4365.15,4535
1738574699,4375.96,4367.05,4656
1738574758,4375.85,4381.60,4883
1738574819,4376.67,4385.45,5272
1738574879,4377.42,4404.75,5461
1738574939,4381.03,4425.85,5984
1738574999,4382.32,4415.80,6191
1738575059,4383.58,4413.95,6448
1738575119,4383.84,4395.80,6555
1738575179,4383.95,4389.20,6719
1738575239,4383.81,4380.00,6934
1738575299,4383.69,4377.80,7045
1738575359,4383.25,4379.30,7409
1738575419,4383.22,4375.60,7449
1738575478,4383.17,4371.00,7540
1738575539,4382.75,4353.60,7682
1738575599,4382.40,4366.05,7806
1738575659,4382.23,4377.45,8016
1738575719,4382.26,4384.80,8136
1738575779,4382.26,4382.25,8148
1738575839,4382.22,4375.00,8197
1738575899,4382.21,4376.00,8222
1738575959,4382.18,4379.90,8257
1738576019,4382.13,4381.95,8474
1738576079,4382.18,4388.00,8559
1738576139,4382.18,4385.00,8621
1738576199,4382.15,4375.85,8730
1738576257,4382.15,4389.65,8743
1738576319,4382.38,4387.30,9005
1738576379,4382.51,4391.05,9201
1738576439,4382.56,4384.85,9263
1738576499,4383.20,4389.70,9840
1738576559,4383.25,4384.05,9954
1738576619,4383.27,4388.95,10013
1738576679,4383.28,4388.95,10059
1738576739,4383.30,4392.25,10090
1738576799,4383.57,4402.90,10321
1738576859,4383.69,4388.05,10437
1738576919,4383.69,4392.90,10444
1738576978,4383.70,4391.35,10473
1738577039,4383.73,4392.00,10504
1738577099,4383.73,4386.50,10514
1738577159,4383.74,4396.00,10525
1738577219,4383.85,4399.45,10596
1738577279,4383.87,4400.40,10615
1738577337,4383.91,4395.55,10644
1738577399,4383.97,4390.00,10726
1738577459,4384.00,4388.40,10785
1738577519,4384.00,4389.30,10789
1738577579,4383.99,4378.70,10807
1738577639,4383.94,4365.00,10837
1738577699,4383.93,4371.00,10844
1738577759,4383.85,4367.80,10961
1738577819,4383.81,4363.00,10985
1738577876,4383.75,4360.90,11011
1738577939,4383.66,4352.80,11048
1738577999,4383.35,4351.20,11153
1738578059,4382.28,4347.00,11483
1738578119,4382.15,4347.45,11521
1738578179,4381.89,4350.25,11621
1738578239,4381.85,4355.40,11639
1738578299,4381.16,4338.45,11866
1738578359,4381.01,4343.70,11911
1738578419,4380.96,4341.55,11927
1738578479,4380.81,4340.70,11970
1738578539,4380.61,4335.80,12027
1738578599,4380.37,4335.80,12091
1738578659,4380.28,4335.05,12119
1738578719,4379.93,4336.55,12222
1738578778,4379.34,4329.55,12382
1738578839,4378.08,4315.00,12653
1738578899,4377.93,4321.95,12687
1738578958,4377.63,4323.75,12752
1738579019,4377.42,4313.10,12798
1738579079,4376.87,4313.20,12904
1738579139,4376.76,4304.25,12924
1738579199,4376.55,4306.55,12964
1738579259,4376.32,4311.95,13008
1738579319,4375.89,4307.20,13090
1738579379,4375.81,4313.80,13106
1738579439,4375.18,4302.00,13221
1738579499,4374.87,4307.65,13282
1738579559,4373.82,4309.65,13493
1738579619,4373.63,4302.40,13530
1738579679,4373.51,4302.90,13552
1738579739,4373.38,4303.70,13578
1738579799,4372.70,4304.00,13721
1738579859,4372.17,4315.00,13832
1738579919,4371.84,4312.15,13910
1738579979,4371.68,4324.05,13953
1738580039,4371.05,4323.00,14162
1738580099,4370.87,4318.65,14212
1738580159,4370.14,4337.05,14415
1738580219,4370.03,4339.55,14466
1738580279,4369.47,4320.35,14685
1738580339,4369.43,4330.30,14700
1738580399,4369.37,4337.05,14725
1738580459,4369.35,4332.00,14730
1738580519,4369.32,4331.75,14741
1738580578,4369.30,4320.00,14748
1738580638,4369.09,4317.20,14810
1738580699,4368.92,4311.00,14852
1738580759,4368.90,4318.00,14858
1738580819,4368.89,4316.70,14863
1738580879,4368.80,4310.00,14885
1738580937,4368.26,4308.80,15030
1738580998,4367.97,4305.85,15103
1738581059,4367.78,4304.65,15147
1738581119,4367.75,4301.20,15155
1738581179,4366.88,4301.05,15352
1738581239,4366.75,4295.30,15381
1738581299,4366.61,4286.05,15409
1738581359,4366.34,4289.30,15464
