t,ap,cp,v
1738573658,104.27,104.27,5040
1738573722,104.27,104.27,5040
1738573740,104.27,104.27,5040
1738573825,104.27,104.27,5040
1738574026,104.27,104.27,5040
1738574159,103.93,103.95,57734
1738574219,104.19,103.21,125525
1738574279,103.91,103.55,192972
1738574339,103.82,102.78,221539
1738574399,103.77,103.24,237779
1738574459,103.72,103.08,249776
1738574518,103.70,102.76,258075
1738574579,103.68,103.70,269513
1738574639,103.67,103.29,280494
1738574699,103.67,103.75,285983
1738574758,103.66,103.58,299163
1738574819,103.66,104.30,302683
1738574879,103.70,104.79,319607
1738574939,103.72,104.01,327441
1738574999,103.71,103.39,341634
1738575059,103.66,103.21,389878
1738575119,103.65,103.28,394824
1738575179,103.64,103.14,405381
1738575239,103.63,102.54,411297
1738575299,103.62,102.51,413288
1738575359,103.55,102.05,435034
1738575419,103.54,102.00,437143
1738575479,103.51,101.75,444398
1738575539,103.49,101.90,450141
1738575599,103.47,101.35,453537
1738575659,103.44,101.66,460862
1738575719,103.40,101.66,473639
1738575779,103.37,102.01,481588
1738575839,103.36,101.90,484139
1738575899,103.35,101.88,488195
1738575959,103.33,101.90,493960
1738576019,103.32,102.24,498014
1738576079,103.32,102.28,498146
1738576139,103.32,102.00,498289
1738576199,103.32,101.74,499208
1738576257,103.31,101.82,501229
1738576319,103.31,101.88,501713
1738576379,103.31,101.80,503049
1738576439,103.30,102.08,505636
1738576499,103.30,101.90,506153
1738576559,103.29,101.80,509597
1738576619,103.29,102.05,510114
1738576679,103.26,101.61,519286
1738576739,103.26,101.58,521461
1738576799,103.25,101.87,522396
1738576859,103.24,101.95,527265
1738576919,103.24,102.27,528211
1738576979,103.23,102.09,531533
1738577039,103.23,101.79,532240
1738577099,103.23,101.95,532645
1738577159,103.23,101.85,534404
1738577219,103.22,101.67,536881
1738577279,103.19,101.90,547825
1738577339,103.19,102.08,548225
1738577399,103.18,101.82,553449
1738577459,103.18,102.25,554114
1738577519,103.18,102.33,556326
1738577579,103.17,102.31,557428
1738577639,103.17,102.21,559011
1738577699,103.17,102.16,561898
1738577759,103.16,101.67,563286
1738577819,103.16,101.50,563769
1738577876,103.16,101.52,565480
1738577939,103.15,101.32,567667
1738577999,103.15,101.60,568467
1738578059,103.14,101.62,570008
1738578119,103.14,101.81,570629
1738578179,103.14,101.83,571620
1738578239,103.14,102.04,572661
1738578299,103.14,101.95,573346
1738578359,103.13,101.88,574044
1738578419,103.12,101.55,578614
1738578479,103.12,101.50,579422
1738578539,103.12,101.41,580528
1738578599,103.11,101.37,584085
1738578659,103.10,101.66,584706
1738578719,103.10,101.66,584886
1738578779,103.10,101.55,587477
1738578839,103.10,101.54,587730
1738578899,103.10,101.62,588199
1738578959,103.10,101.91,588598
1738579019,103.09,101.80,588798
1738579079,103.09,101.85,590398
1738579139,103.09,101.77,590610
1738579199,103.08,101.68,594709
1738579259,103.08,101.80,594767
1738579319,103.08,101.86,594890
1738579379,103.07,102.35,602186
1738579439,103.07,102.45,603141
1738579499,103.07,102.45,604503
1738579559,103.07,102.65,605627
1738579619,103.07,102.77,605739
1738579679,103.07,102.57,607451
1738579739,103.07,102.56,607630
1738579799,103.06,102.60,609439
1738579859,103.06,102.53,609600
1738579919,103.06,102.51,609793
1738579979,103.06,102.51,609803
1738580039,103.06,102.23,610753
