t,ap,cp,v
1738573634,235.55,235.55,751
1738573740,235.55,235.55,751
1738573868,235.55,235.55,751
1738574159,233.62,232.10,8351
1738574219,233.40,232.65,10994
1738574279,233.34,232.00,13124
1738574339,233.08,232.30,15388
1738574399,233.07,232.20,15576
1738574459,233.06,232.20,15752
1738574519,232.81,232.45,18912
1738574579,232.68,231.95,22260
1738574639,232.58,231.75,24593
1738574697,232.55,231.50,25609
1738574759,232.46,232.30,27445
1738574819,232.50,234.15,29294
1738574879,232.54,233.85,30020
1738574939,232.59,234.45,30856
1738574999,232.67,234.40,32116
1738575059,232.70,234.40,32700
1738575119,232.77,234.75,34167
1738575179,232.87,234.15,36107
1738575239,233.09,233.60,45091
1738575299,233.10,233.95,45507
1738575359,233.10,233.00,46575
1738575419,233.09,232.85,47409
1738575479,233.07,232.45,48672
1738575539,233.06,232.00,49498
1738575599,233.03,231.10,50152
1738575659,233.00,231.00,51018
1738575719,232.83,229.55,54137
1738575779,232.80,230.15,54731
1738575839,232.78,230.50,55154
1738575899,232.73,230.25,56295
1738575959,232.68,230.95,57412
1738576017,232.67,231.05,57691
1738576079,232.67,230.85,57895
1738576139,232.65,230.70,58336
1738576199,232.62,230.25,59107
1738576259,232.46,231.20,63872
1738576319,232.45,230.85,63991
1738576379,232.43,230.50,64849
1738576438,232.37,230.40,66937
1738576499,232.36,230.75,67216
1738576559,232.36,231.05,67285
1738576619,232.36,231.30,67418
1738576679,232.36,230.95,67486
1738576739,232.35,230.50,67611
1738576799,232.35,231.00,67615
1738576859,232.35,230.50,67729
1738576919,232.34,231.40,68118
1738576979,232.31,230.95,70149
1738577039,232.29,230.80,70677
1738577099,232.29,230.95,70885
1738577159,232.29,231.10,70927
1738577219,232.27,231.30,71934
1738577279,232.27,231.60,72442
1738577338,232.26,231.60,73062
1738577399,232.25,231.25,73433
1738577459,232.25,232.15,74257
1738577519,232.25,233.00,81296
1738577579,232.27,233.05,82185
1738577639,232.27,233.05,82343
1738577699,232.27,232.95,82550
1738577759,232.27,232.50,82658
1738577819,232.27,232.35,82953
1738577879,232.27,232.15,83810
1738577938,232.27,232.10,84004
1738577999,232.26,232.75,85879
1738578059,232.26,232.40,86487
1738578118,232.27,233.00,87743
1738578179,232.27,232.50,88443
1738578239,232.28,232.95,89205
1738578299,232.28,232.60,89242
1738578359,232.28,232.80,89257
1738578419,232.28,232.40,89738
1738578479,232.28,232.30,89744
1738578539,232.28,232.25,90080
1738578599,232.28,232.30,90297
1738578659,232.28,232.20,91614
1738578719,232.28,233.00,92088
1738578779,232.29,232.80,92231
1738578839,232.29,233.05,92242
1738578898,232.29,232.85,92354
1738578959,232.29,233.45,92367
1738579019,232.29,233.60,92767
1738579079,232.29,233.55,92872
1738579139,232.29,233.25,92922
1738579199,232.29,232.95,93015
1738579259,232.30,232.70,93178
1738579319,232.30,233.10,93216
1738579379,232.30,233.45,93466
1738579439,232.30,233.60,93557
1738579499,232.30,233.80,93602
1738579559,232.30,233.80,93621
1738579619,232.30,233.65,93759
1738579679,232.30,233.60,93898
1738579739,232.31,233.50,94433
1738579799,232.32,233.15,95467
1738579859,232.32,233.30,95511
1738579919,232.32,232.85,95518
1738579979,232.32,232.50,95547
1738580039,232.32,232.90,95626
1738580099,232.32,232.60,95637
1738580159,232.32,232.60,95647
1738580219,232.32,233.50,95674
1738580279,232.33,233.75,96294
1738580335,232.34,234.20,97391
1738580399,232.34,233.85,97400
1738580459,232.34,234.15,97425
1738580519,232.36,234.05,98495
1738580579,232.37,234.50,98958
1738580639,232.37,234.30,98970
1738580699,232.37,234.20,98980
1738580759,232.37,233.70,99017
1738580819,232.37,234.10,99019
1738580879,232.37,234.00,99093
1738580939,232.37,233.30,99117
1738580999,232.37,233.45,99119
1738581059,232.38,233.55,99221
1738581119,232.38,234.00,99407
1738581179,232.39,233.60,99933
1738581239,232.39,233.60,99933
1738581298,232.39,233.80,99953
1738581359,232.39,233.80,99953
1738581419,232.39,234.05,100504
1738581479,232.40,234.35,100630
1738581539,232.40,234.00,100735
1738581599,232.40,234.00,100835
1738581659,232.40,234.10,101038
1738581719,232.41,234.10,101146
1738581779,232.41,233.50,101236
1738581839,232.41,233.00,101912
1738581899,232.41,232.80,102313
1738581959,232.41,233.00,102343
1738582019,232.41,232.90,102443
1738582079,232.42,232.90,103924
1738582139,232.42,232.60,104053
1738582198,232.42,232.65,104055
1738582259,232.42,232.35,104615
1738582319,232.42,232.40,104634
1738582379,232.42,232.70,104639
1738582439,232.42,232.55,104655
1738582499,232.42,232.30,104700
1738582559,232.42,232.70,104721
1738582619,232.42,232.60,104731
1738582679,232.42,232.20,104777
1738582739,232.42,232.60,105622
1738582796,232.42,232.60,105673
1738582859,232.42,232.60,105676
1738582919,232.42,232.40,105794
1738582979,232.42,232.60,106143
1738583039,232.42,232.30,106294
1738583099,232.42,232.55,106295
1738583159,232.42,232.55,106301
1738583219,232.42,232.50,106304
1738583279,232.42,232.30,106474
1738583339,232.42,232.60,106497
1738583399,232.42,232.50,106499
1738583458,232.42,232.50,106604
1738583519,232.42,232.50,106619
1738583578,232.42,232.60,106629
1738583639,232.42,232.00,107237
1738583697,232.42,232.30,107238
1738583759,232.42,232.40,107322
1738583819,232.42,232.30,107333
1738583877,232.42,232.35,107490
1738583939,232.42,232.40,107633
1738583999,232.42,232.50,107769
1738584057,232.42,232.55,107920
1738584119,232.42,232.30,107950
1738584179,232.42,232.40,108071
1738584237,232.42,232.15,108105
1738584299,232.42,232.40,108445
1738584357,232.42,232.65,109129
1738584418,232.42,232.85,109344
1738584479,232.42,232.45,109389
1738584539,232.42,232.75,109495
1738584599,232.42,232.40,109837
1738584659,232.42,232.10,109960
1738584719,232.42,232.40,110223
1738584778,232.42,232.40,110223
1738584839,232.42,232.50,110225
1738584899,232.42,232.40,110256
1738584959,232.42,232.45,112128
1738585019,232.42,232.30,112130
1738585078,232.42,232.50,112412
1738585138,232.42,232.60,112461
1738585199,232.42,232.05,112483
1738585259,232.42,232.00,113146
1738585319,232.42,232.30,113151
1738585378,232.42,232.15,113152
1738585439,232.42,232.35,113228
1738585499,232.42,232.15,113233
1738585559,232.42,232.35,113238
1738585619,232.41,232.50,113414
1738585679,232.41,232.20,113416
1738585739,232.41,232.20,113556
1738585799,232.41,232.20,113564
1738585858,232.41,232.45,113566
1738585919,232.41,232.45,113569
1738585979,232.41,232.25,113575
1738586038,232.41,232.35,113590
1738586099,232.41,232.20,113652
1738586159,232.41,232.20,113652
1738586219,232.41,231.55,113916
1738586279,232.41,231.05,114009
1738586339,232.41,230.75,114479
1738586399,232.41,231.15,114529
1738586459,232.37,230.90,118025
1738586519,232.37,230.60,118048
1738586579,232.36,230.60,118745
1738586639,232.34,230.25,119830
1738586699,232.33,230.35,119938
1738586759,232.33,230.30,119960
1738586819,232.33,230.30,120120
1738586879,232.30,230.05,121703
1738586939,232.30,230.00,121705
1738586999,232.30,229.85,121897
1738587059,232.29,229.80,122507
1738587119,232.28,230.05,122521
1738587179,232.28,230.00,122981
1738587239,232.27,230.00,123071
1738587299,232.27,230.30,123437
1738587359,232.27,230.20,123522
1738587419,232.23,230.40,125535
1738587479,232.23,230.60,125536
1738587538,232.23,230.55,125706
1738587599,232.22,230.05,125960
1738587659,232.22,230.60,125980
1738587719,232.22,230.35,126027
1738587779,232.22,230.35,126027
1738587839,232.22,230.95,126196
1738587899,232.22,230.95,126196
1738587959,232.22,230.85,126338
1738588019,232.22,230.40,126360
1738588079,232.21,230.80,127075
1738588137,232.21,231.00,127123
1738588199,232.21,231.05,127143
1738588259,232.21,231.40,127172
1738588319,232.21,231.40,127174
1738588379,232.21,231.40,127174
1738588439,232.21,231.65,127217
1738588499,232.21,231.60,127221
1738588559,232.21,231.60,127221
1738588619,232.21,231.60,127221
1738588679,232.21,231.65,127784
1738588739,232.20,230.90,127836
1738588798,232.20,230.70,127908
1738588859,232.14,231.00,132021
1738588919,232.14,231.00,132023
1738588979,232.14,231.00,132030
1738589037,232.14,231.20,132390
