t,ap,cp,v
1738573635,332.70,332.70,3173
1738573706,332.70,332.70,3173
1738573740,332.70,332.70,3173
1738574159,331.15,331.40,17228
1738574219,331.16,329.65,22535
1738574279,330.82,328.60,26541
1738574339,330.14,327.25,35060
1738574399,330.04,329.15,38547
1738574459,329.80,327.35,43666
1738574517,329.15,326.00,55950
1738574579,328.93,326.15,60713
1738574639,328.83,325.85,62702
1738574699,328.69,325.40,65416
1738574758,328.29,326.45,73947
1738574819,328.17,327.45,80497
1738574879,328.06,325.90,86601
1738574939,328.00,327.45,89017
1738574999,327.98,326.85,91419
1738575059,327.94,326.10,93394
1738575119,327.85,325.45,97764
1738575179,327.61,322.95,104967
1738575239,327.28,321.40,111561
1738575299,327.06,321.50,116137
1738575359,326.98,321.65,117766
1738575419,326.76,321.70,122671
1738575479,326.68,322.00,124910
1738575539,326.62,322.30,126529
1738575599,326.49,321.45,129779
1738575659,326.41,322.00,132130
1738575719,326.27,320.35,135496
1738575779,326.21,322.00,137048
1738575839,326.12,322.05,139794
1738575899,325.99,322.80,145347
1738575959,325.95,322.05,146897
1738576019,325.84,323.00,151952
1738576079,325.80,322.20,153721
1738576139,325.72,321.80,156875
1738576199,325.70,321.35,157880
1738576257,325.69,321.75,158179
1738576319,325.63,322.55,161275
1738576379,325.57,322.15,164365
1738576439,325.53,321.95,166485
1738576499,325.38,323.00,179015
1738576559,325.36,322.90,180087
1738576619,325.33,323.30,182664
1738576679,325.33,323.70,183316
1738576739,325.32,323.45,184058
1738576799,325.22,322.40,190496
1738576859,325.19,321.90,192487
1738576919,325.17,324.70,195074
1738576979,325.15,324.00,200335
1738577039,325.15,324.30,201504
1738577099,325.14,324.10,202809
1738577159,325.13,323.50,204906
1738577219,325.11,324.65,208969
1738577279,325.10,323.95,210120
1738577339,325.10,324.10,210930
1738577399,325.08,322.60,212571
1738577459,325.07,323.05,214290
1738577519,325.06,324.20,215726
1738577579,325.03,322.70,218896
1738577639,325.03,322.80,219664
1738577699,324.96,321.15,224370
1738577759,324.92,320.80,226694
1738577819,324.79,321.10,234336
1738577876,324.76,321.40,236326
1738577939,324.67,320.70,242184
1738577999,324.63,322.20,244351
1738578059,324.62,323.75,246722
1738578119,323.09,324.15,491846
1738578178,323.12,324.25,506391
1738578239,323.12,322.80,510477
1738578299,323.12,322.60,517409
1738578359,323.11,322.60,520308
1738578419,323.12,323.10,525282
1738578479,323.12,323.65,525769
1738578539,323.12,322.75,526072
1738578599,323.11,322.80,526921
1738578659,323.11,323.25,527449
1738578718,323.11,323.85,527462
1738578779,323.12,323.30,528965
1738578839,323.12,323.30,529622
1738578899,323.13,324.90,537804
1738578959,323.15,324.95,541566
1738579019,323.18,325.50,549748
1738579079,323.20,326.30,556102
1738579139,323.22,325.75,560065
1738579199,323.23,326.20,561635
1738579259,323.24,325.85,563008
1738579319,323.24,325.90,563879
1738579379,323.25,326.20,566272
1738579439,323.26,326.00,566593
1738579498,323.26,326.10,566776
1738579559,323.26,326.25,567444
1738579619,323.27,326.00,569631
1738579679,323.28,326.00,571323
1738579739,323.29,324.95,575971
1738579799,323.30,325.15,577741
1738579859,323.30,324.95,577953
1738579919,323.30,323.80,579495
1738579979,323.30,323.95,580147
1738580039,323.30,324.30,580581
1738580099,323.30,325.15,581458
1738580159,323.30,325.90,581799
1738580219,323.32,326.20,585622
1738580279,323.34,326.05,588548
1738580338,323.34,326.20,589582
1738580399,323.34,326.15,590225
1738580459,323.34,326.15,590642
1738580519,323.35,326.40,591167
1738580579,323.37,326.40,595482
1738580639,323.38,326.45,597812
1738580698,323.39,327.45,599625
1738580759,323.40,327.55,600734
1738580819,323.41,328.20,602004
1738580879,323.42,328.00,602680
1738580937,323.43,328.05,603821
1738580999,323.43,328.00,604078
1738581059,323.43,328.75,604450
1738581119,323.45,329.00,606968
1738581179,323.47,329.30,609108
1738581239,323.50,329.85,611878
1738581299,323.53,330.00,614255
1738581359,323.54,329.90,615850
1738581419,323.57,330.00,617890
1738581479,323.58,329.50,619611
1738581539,323.59,329.25,620018
1738581599,323.62,328.25,623861
1738581657,323.65,329.40,627747
1738581719,323.72,329.65,634862
1738581779,323.74,328.25,636946
1738581839,323.75,328.30,639482
