t,ap,cp,v
1738573634,445.70,445.70,411
1738573682,445.70,445.70,411
1738573740,445.70,445.70,411
1738574159,442.35,441.10,1476
1738574219,441.61,438.20,2316
1738574279,440.66,437.00,2944
1738574339,439.69,436.30,3798
1738574398,439.29,437.15,4276
1738574459,438.41,435.35,5452
1738574514,437.97,434.55,6232
1738574579,437.73,433.00,6711
1738574639,437.58,434.30,6997
1738574699,437.52,435.40,7194
1738574758,437.50,435.15,7250
1738574819,437.52,439.15,7465
1738574879,437.51,436.70,7563
1738574938,437.51,436.90,7606
1738574999,437.50,437.45,7947
1738575059,437.46,437.15,8468
1738575119,437.46,435.50,8544
1738575179,437.44,436.45,8682
1738575239,437.37,435.65,9043
1738575299,437.34,435.50,9228
1738575359,437.23,434.50,9650
1738575419,437.15,433.90,9891
1738575479,437.04,432.80,10173
1738575539,436.90,433.00,10547
1738575597,436.87,433.65,10662
1738575659,436.85,435.00,10744
1738575719,436.80,433.00,10916
1738575779,436.71,434.65,11299
1738575839,436.70,434.00,11318
1738575899,436.58,434.00,11852
1738575959,436.42,433.10,12439
1738576019,436.41,434.25,12504
1738576079,436.40,433.60,12521
1738576139,436.40,433.60,12523
1738576199,436.40,433.60,12523
1738576257,436.40,434.20,12528
1738576319,436.31,434.25,13144
1738576379,436.31,434.25,13144
1738576439,436.31,434.25,13151
1738576499,436.22,434.00,13749
1738576559,436.21,434.90,13757
1738576619,436.21,435.00,13772
1738576678,436.20,434.00,13906
1738576739,436.19,433.80,13940
1738576799,436.19,434.00,13946
1738576859,436.18,434.90,14057
1738576919,436.15,435.30,14497
1738576979,436.12,434.70,14720
1738577039,436.12,434.70,14720
1738577099,436.12,434.70,14752
1738577159,436.12,434.70,14758
1738577218,436.12,434.85,14800
1738577279,436.11,435.70,15035
1738577339,436.11,435.70,15035
1738577399,436.10,435.15,15068
1738577459,436.10,435.15,15068
1738577519,436.11,436.95,15243
1738577579,436.11,436.85,15298
1738577639,436.11,435.80,15320
1738577697,436.11,436.15,15323
1738577759,436.11,435.00,15324
1738577819,436.10,435.50,15574
1738577875,436.09,436.05,16084
1738577939,436.09,435.60,16087
1738577999,436.08,435.65,16558
1738578059,436.08,435.70,16568
1738578119,435.98,433.25,17882
1738578179,435.97,433.75,17932
1738578239,435.97,433.75,17932
1738578299,435.95,434.00,18125
1738578359,435.93,434.55,18451
1738578419,435.91,432.95,18600
1738578479,435.90,432.05,18639
1738578539,435.89,432.65,18663
1738578599,435.89,434.00,18728
1738578659,435.88,433.95,18780
1738578718,435.88,433.95,18780
1738578779,435.88,433.95,18781
1738578839,435.88,434.15,18816
1738578899,435.87,434.65,18902
1738578959,435.84,434.15,19292
1738579019,435.83,433.75,19400
1738579079,435.83,433.35,19405
1738579139,435.83,433.05,19414
1738579196,435.82,433.80,19441
1738579259,435.79,433.00,19686
1738579319,435.79,433.00,19712
1738579379,435.79,433.00,19712
