t,ap,cp,v
1738573635,68.95,68.95,47
1738573740,68.95,68.95,47
1738574158,68.95,68.95,47
1738574219,68.19,67.83,150
1738574278,68.19,67.83,150
1738574335,68.10,67.55,177
1738574396,68.07,67.35,183
1738574456,67.95,67.66,258
1738574514,67.95,67.66,258
1738574567,67.95,67.66,258
1738574621,67.95,67.66,258
1738574699,67.95,67.66,258
1738574746,67.95,67.66,258
1738574819,67.95,67.66,258
1738574878,67.95,67.66,258
1738574937,67.95,67.66,258
1738574991,67.95,67.66,258
1738575059,67.95,67.66,258
1738575119,67.95,67.72,260
1738575165,67.95,67.72,260
1738575238,67.95,67.72,260
1738575297,67.94,67.92,310
1738575354,67.82,67.43,416
1738575419,67.82,67.43,416
1738575478,67.82,67.43,416
1738575539,67.81,67.35,426
1738575597,67.80,67.34,435
1738575654,67.77,67.40,475
1738575713,67.65,67.28,625
1738575778,67.65,67.74,627
1738575839,67.65,67.74,627
1738575894,67.65,67.70,777
1738575959,67.65,67.70,777
1738576010,67.65,67.70,777
1738576073,67.65,67.29,778
1738576137,67.65,67.29,778
1738576194,67.65,67.29,778
1738576255,67.65,67.29,778
1738576317,67.65,67.15,783
1738576379,67.47,67.00,1074
1738576433,67.44,67.29,1274
1738576498,67.44,67.21,1275
1738576552,67.44,67.21,1275
1738576619,67.44,67.21,1275
1738576679,67.44,67.21,1275
1738576739,67.44,67.03,1278
1738576795,67.44,67.03,1278
1738576858,67.44,67.03,1278
1738576917,67.44,67.03,1278
1738576970,67.44,67.01,1287
1738577038,67.39,67.00,1439
1738577098,67.39,67.00,1439
1738577159,67.39,67.00,1439
1738577202,67.38,66.86,1483
1738577278,66.97,66.85,6528
1738577335,66.97,66.85,6528
1738577397,66.97,66.85,6528
1738577459,66.97,66.85,6528
1738577518,66.97,66.85,6528
1738577575,66.97,66.85,6528
1738577625,66.97,66.85,6528
1738577697,66.97,66.85,6528
1738577759,66.97,66.85,6528
1738577815,66.97,66.85,6528
1738577872,66.97,67.04,6529
1738577918,66.97,67.04,6529
1738577969,66.97,67.12,6530
1738578053,66.97,67.12,6530
1738578119,66.97,67.17,6580
1738578179,66.97,67.18,6600
