t,ap,cp,v
1738573674,214.80,214.80,4268
1738573738,214.80,214.80,4268
1738573772,214.80,214.80,4268
1738573827,214.80,214.80,4268
1738574159,212.71,211.60,16757
1738574219,212.15,210.00,33380
1738574279,211.64,209.90,45752
1738574339,211.56,210.25,48101
1738574399,211.38,209.85,52803
1738574459,211.04,208.40,61162
1738574519,210.72,207.85,66885
1738574579,210.53,207.50,70943
1738574639,210.41,207.35,73899
1738574699,210.33,207.80,76144
1738574759,210.31,208.10,76591
1738574819,210.25,208.90,79733
1738574879,210.16,209.15,88325
1738574939,209.98,207.45,96042
1738574999,209.71,206.80,105222
1738575059,209.51,206.35,111757
1738575119,209.39,207.00,116636
1738575179,209.21,205.80,123909
1738575239,209.00,204.90,130638
1738575299,208.52,204.50,146821
1738575359,208.25,203.30,156050
1738575419,207.73,202.10,171261
1738575479,207.59,202.00,175692
1738575539,207.51,201.55,178082
1738575599,207.24,200.85,186143
1738575659,206.93,202.10,197669
1738575719,206.51,201.95,216836
1738575779,206.33,202.15,225992
1738575839,206.18,202.15,234567
1738575899,205.87,200.55,250261
1738575959,205.69,200.75,259848
1738576019,205.66,201.65,261597
1738576079,205.64,201.70,263264
1738576139,205.56,201.80,268789
1738576199,205.42,201.90,279077
1738576259,205.37,202.15,283117
1738576319,205.34,202.05,285834
1738576379,205.01,199.00,306092
1738576439,204.78,199.60,320518
1738576499,204.72,200.15,324835
1738576559,204.56,199.00,335294
1738576619,204.50,199.75,338943
1738576679,204.34,199.85,351672
1738576739,204.26,199.35,357344
1738576799,204.23,199.15,359156
1738576859,204.19,199.70,362019
1738576919,204.16,200.10,364818
1738576979,204.13,199.50,367251
1738577039,204.00,199.45,377676
1738577099,203.89,199.00,386308
1738577159,203.80,198.45,392389
1738577219,203.78,199.10,393440
1738577279,203.66,199.25,403616
1738577339,203.58,200.00,411810
1738577399,203.48,200.00,422189
1738577459,203.46,199.90,425151
1738577519,203.39,200.40,433357
1738577579,203.36,200.50,438116
1738577639,203.34,200.30,441640
1738577699,203.24,199.25,453582
1738577759,203.19,199.20,459518
1738577819,203.12,198.40,466637
1738577879,203.08,199.05,470514
1738577939,203.08,199.20,470973
1738577999,203.05,199.15,473835
1738578059,203.01,198.25,478007
1738578119,202.90,198.35,489137
1738578179,202.88,198.75,490940
1738578239,202.86,198.80,492788
1738578299,202.85,198.75,494857
1738578359,202.84,198.90,495419
1738578419,202.82,198.95,498239
1738578479,202.81,198.40,499308
1738578539,202.76,198.20,505039
1738578599,202.74,198.50,507296
1738578659,202.72,198.65,508814
1738578719,202.67,198.75,515508
1738578779,202.60,198.10,524197
1738578839,202.59,198.40,525182
1738578899,202.59,198.85,525360
1738578959,202.59,198.95,525899
1738579019,202.57,199.10,528098
1738579079,202.55,198.35,531931
1738579139,202.52,198.40,535085
1738579199,202.44,198.00,544613
1738579259,202.44,198.05,545440
1738579319,202.41,198.35,548481
1738579379,202.39,198.40,551763
1738579439,202.36,198.55,555272
1738579499,202.35,198.60,557105
1738579559,202.32,198.85,562304
1738579618,202.28,198.90,570217
1738579679,202.25,198.60,575134
1738579739,202.20,198.05,582401
1738579799,202.15,197.95,588460
1738579859,201.99,196.10,608965
1738579919,201.56,196.55,660507
1738579979,201.47,196.45,671424
1738580039,201.09,195.45,721881
1738580098,201.04,195.45,728361
1738580159,201.02,195.45,730557
1738580219,200.98,195.45,735260
1738580277,200.94,195.45,740942
1738580339,200.90,195.45,746339
1738580398,200.83,195.45,756111
1738580459,200.57,195.45,794574
1738580519,200.53,195.45,800431
1738580577,200.52,195.45,802159
1738580639,200.50,195.45,805826
1738580699,200.47,195.45,810875
1738580759,200.09,195.45,875638
1738580819,199.85,195.60,923806
1738580879,199.28,194.70,1031215
