t,ap,cp,v
1738573639,1249.30,1249.30,1066
1738573682,1249.30,1249.30,1066
1738573741,1249.30,1249.30,1066
1738574093,1249.30,1249.30,1066
1738574159,1245.57,1244.70,3344
1738574219,1244.96,1243.95,4246
1738574279,1244.76,1243.25,4668
1738574339,1244.60,1241.75,4890
1738574399,1244.56,1242.45,4964
1738574459,1244.53,1241.85,5027
1738574519,1244.53,1242.45,5044
1738574579,1244.46,1242.90,5216
1738574639,1244.27,1243.05,5786
1738574699,1244.18,1241.55,6036
1738574759,1244.12,1242.05,6233
1738574819,1244.07,1241.85,6363
1738574879,1242.96,1240.00,8898
1738574939,1242.91,1240.85,9041
1738574999,1242.78,1242.30,9422
1738575059,1242.92,1244.70,10531
1738575119,1243.01,1245.80,11026
1738575179,1243.03,1246.90,11078
1738575239,1243.33,1247.65,11929
1738575299,1243.39,1247.35,12092
1738575359,1243.41,1246.95,12150
1738575419,1243.41,1246.00,12168
1738575479,1243.41,1245.55,12173
1738575539,1243.50,1246.85,12585
1738575599,1243.50,1246.85,12585
1738575659,1243.52,1245.00,12699
1738575719,1243.58,1246.05,12997
1738575779,1243.59,1245.70,13067
1738575839,1243.59,1243.90,13232
1738575899,1243.59,1242.40,13248
1738575959,1243.49,1241.50,13941
1738576016,1243.48,1241.55,13992
1738576079,1243.35,1242.60,15297
1738576139,1243.27,1242.25,16641
1738576199,1243.23,1242.50,17390
1738576259,1243.19,1241.50,17865
1738576319,1243.19,1241.65,17872
1738576379,1243.16,1240.80,18305
1738576439,1243.13,1240.30,18498
1738576499,1243.12,1240.45,18513
1738576559,1243.11,1240.75,18610
1738576619,1243.08,1239.65,18759
1738576679,1243.07,1240.15,18776
1738576739,1243.03,1239.60,18997
1738576799,1243.01,1238.75,19104
1738576859,1242.98,1238.05,19228
1738576919,1242.97,1238.55,19257
1738576978,1242.97,1238.65,19283
1738577039,1242.92,1238.45,19463
1738577099,1242.91,1238.55,19492
1738577159,1242.86,1238.60,19694
1738577219,1242.85,1240.95,19755
1738577279,1242.85,1241.40,19783
1738577338,1242.85,1241.35,19800
1738577399,1242.85,1240.75,19810
1738577459,1242.85,1240.60,19843
1738577519,1242.85,1240.55,19855
1738577579,1242.84,1240.50,19858
1738577639,1242.76,1239.05,20426
1738577699,1242.75,1239.95,20530
1738577759,1242.72,1239.25,20701
1738577819,1242.48,1239.00,22226
1738577879,1242.29,1238.80,23396
1738577939,1242.24,1240.00,23889
1738577999,1242.22,1239.85,24107
1738578059,1242.14,1239.40,24804
1738578119,1242.12,1240.40,25077
1738578179,1242.12,1239.85,25128
1738578239,1242.11,1239.85,25257
1738578299,1242.11,1241.75,25262
1738578359,1242.11,1242.75,25265
1738578419,1242.11,1242.40,25332
1738578479,1242.11,1242.40,25333
1738578539,1242.11,1241.55,25337
1738578599,1242.11,1241.90,25351
1738578659,1242.11,1241.55,25356
1738578719,1242.10,1241.75,25507
1738578778,1242.10,1241.60,25508
1738578839,1242.10,1240.85,25531
1738578898,1242.10,1241.45,25613
1738578959,1242.10,1241.55,25619
1738579019,1242.10,1241.60,25638
1738579079,1242.10,1241.50,25757
1738579139,1242.10,1241.70,25761
1738579198,1242.10,1241.45,25763
1738579259,1242.09,1241.20,25893
1738579319,1242.09,1242.85,26180
1738579379,1242.09,1244.90,26228
1738579439,1242.10,1244.65,26254
1738579499,1242.10,1243.85,26324
1738579559,1242.10,1244.40,26351
1738579619,1242.10,1243.80,26366
1738579679,1242.10,1244.05,26393
1738579739,1242.17,1244.35,27133
1738579799,1242.18,1243.60,27197
1738579859,1242.18,1243.50,27266
1738579919,1242.18,1242.50,27321
1738579979,1242.18,1242.00,27368
1738580039,1242.18,1242.75,27370
1738580099,1242.18,1242.75,27370
1738580159,1242.24,1244.60,28173
1738580219,1242.27,1243.80,28624
1738580279,1242.27,1243.80,28624
1738580339,1242.27,1243.80,28624
1738580399,1242.27,1243.80,28624
1738580459,1242.27,1245.40,28627
1738580519,1242.27,1244.25,28633
1738580578,1242.27,1244.25,28633
1738580639,1242.27,1243.65,28634
1738580699,1242.27,1243.55,28657
1738580759,1242.30,1245.00,29044
1738580819,1242.30,1244.60,29045
1738580879,1242.30,1245.00,29055
1738580939,1242.30,1246.00,29086
1738580999,1242.31,1246.15,29119
1738581059,1242.31,1245.80,29120
1738581119,1242.31,1246.10,29143
1738581179,1242.31,1246.50,29158
1738581239,1242.31,1246.70,29168
1738581299,1242.32,1247.00,29180
1738581359,1242.33,1247.00,29274
1738581419,1242.34,1246.40,29306
1738581479,1242.35,1247.35,29377
1738581539,1242.38,1247.05,29602
1738581599,1242.39,1247.85,29654
1738581659,1242.39,1247.60,29655
1738581719,1242.39,1246.90,29657
1738581779,1242.40,1246.05,29687
1738581839,1242.40,1246.30,29710
1738581899,1242.42,1245.60,29923
1738581959,1242.43,1245.00,29981
1738582019,1242.43,1244.70,30001
1738582079,1242.43,1245.05,30036
1738582139,1242.44,1243.65,30117
1738582197,1242.45,1243.65,30413
1738582258,1242.45,1243.55,30461
1738582319,1242.45,1242.75,30505
1738582379,1242.45,1244.05,30537
1738582439,1242.45,1244.10,30548
1738582499,1242.45,1244.10,30558
1738582559,1242.45,1243.05,30565
1738582619,1242.45,1243.80,30567
1738582679,1242.45,1243.80,30569
1738582739,1242.45,1243.80,30569
1738582799,1242.45,1243.80,30569
1738582859,1242.45,1243.30,30587
1738582919,1242.46,1243.15,30688
