t,ap,cp,v
1738573635,1882.05,1882.05,28
1738573740,1882.05,1882.05,28
1738574159,1880.86,1875.30,499
1738574219,1880.71,1876.55,517
1738574279,1880.54,1878.25,538
1738574339,1881.25,1886.05,593
1738574399,1881.41,1891.05,603
1738574459,1881.83,1888.15,631
1738574519,1881.91,1889.05,638
1738574578,1883.74,1895.90,768
1738574639,1884.18,1886.50,905
1738574699,1884.30,1887.90,934
1738574759,1884.34,1886.85,966
1738574819,1884.59,1889.25,1022
1738574879,1885.36,1891.45,1154
1738574939,1885.47,1894.20,1167
1738574999,1885.61,1895.65,1186
1738575059,1885.76,1890.30,1222
1738575119,1885.91,1891.25,1256
1738575179,1886.00,1888.70,1293
1738575239,1886.00,1888.70,1293
1738575299,1886.11,1887.10,1377
1738575359,1886.10,1882.95,1381
1738575419,1886.09,1884.80,1386
1738575478,1886.09,1884.80,1386
1738575539,1886.09,1884.80,1386
1738575599,1886.08,1880.40,1388
1738575659,1886.08,1882.70,1390
1738575719,1885.91,1881.50,1448
1738575779,1885.85,1877.30,1458
1738575839,1885.60,1876.85,1494
1738575899,1885.56,1876.90,1500
1738575959,1885.38,1871.55,1520
1738576019,1885.18,1870.00,1540
1738576079,1884.83,1868.20,1570
1738576139,1884.71,1865.90,1581
1738576199,1883.85,1865.10,1654
1738576259,1883.84,1867.05,1655
1738576319,1883.78,1867.05,1660
1738576379,1883.72,1866.00,1667
1738576439,1883.06,1863.00,1722
1738576499,1882.89,1867.30,1740
1738576559,1882.88,1864.80,1741
1738576619,1882.79,1866.40,1751
1738576679,1882.75,1870.00,1756
1738576739,1882.72,1871.30,1761
1738576799,1882.72,1871.30,1761
1738576859,1882.72,1871.30,1761
1738576919,1882.69,1873.60,1766
1738576979,1882.28,1873.55,1853
1738577039,1882.28,1873.55,1853
1738577099,1882.28,1873.55,1853
1738577159,1882.19,1869.15,1865
1738577219,1882.13,1866.40,1872
1738577279,1882.12,1865.60,1873
1738577339,1882.03,1865.75,1883
1738577399,1881.77,1866.80,1915
1738577459,1881.77,1866.80,1915
1738577519,1881.75,1866.60,1918
1738577579,1881.75,1866.60,1918
1738577639,1881.73,1867.55,1920
1738577699,1881.73,1867.55,1920
1738577759,1881.71,1865.70,1922
1738577819,1881.71,1865.70,1922
1738577879,1881.71,1865.70,1922
1738577939,1881.68,1867.45,1926
1738577999,1881.68,1865.00,1927
1738578059,1881.50,1865.55,1948
1738578119,1881.50,1865.55,1948
1738578179,1881.50,1865.55,1948
1738578239,1881.50,1865.55,1948
1738578299,1881.43,1865.55,1957
