t,ap,cp,v
1738573634,61.68,61.68,10040
1738573708,61.68,61.68,10040
1738573740,61.68,61.68,10040
1738573856,61.68,61.68,10040
1738574159,61.40,61.13,35353
1738574219,61.35,61.12,42780
1738574279,61.33,61.21,49226
1738574339,61.28,61.10,63930
1738574399,61.26,61.05,69698
1738574458,61.22,60.98,83503
1738574519,61.19,60.97,92441
1738574579,61.09,61.04,192986
1738574639,61.09,61.02,208897
1738574697,61.09,61.07,218263
1738574758,61.09,61.30,222525
1738574819,61.10,61.37,230630
1738574879,61.12,61.54,240183
1738574939,61.14,61.72,250474
1738574999,61.15,61.91,256434
1738575059,61.16,61.73,260188
1738575119,61.20,61.95,275392
1738575179,61.21,61.90,278229
1738575239,61.22,61.80,282208
1738575297,61.23,61.97,285041
1738575359,61.25,61.80,293933
1738575419,61.26,61.88,300427
1738575479,61.27,61.83,305122
1738575539,61.28,61.92,309496
1738575599,61.29,61.95,313695
1738575659,61.31,62.10,320806
1738575719,61.39,62.07,357999
1738575779,61.43,62.10,383878
1738575839,61.45,62.04,393848
1738575899,61.46,62.10,397836
1738575959,61.46,62.14,399855
1738576017,61.49,62.16,418942
1738576079,61.54,62.04,454511
1738576139,61.55,62.04,466228
1738576199,61.55,61.97,468804
1738576258,61.58,62.05,495425
1738576319,61.60,62.21,509360
1738576379,61.63,62.21,537832
1738576439,61.65,62.22,556466
1738576499,61.65,62.22,560732
1738576559,61.67,62.29,583987
1738576619,61.68,62.21,587905
1738576679,61.68,62.12,591168
1738576739,61.69,61.98,608367
1738576799,61.69,62.09,614388
1738576859,61.70,62.12,616401
1738576919,61.70,62.17,619403
1738576979,61.70,62.15,621816
1738577039,61.71,62.17,630856
1738577099,61.71,62.20,639841
1738577159,61.72,62.30,644961
1738577219,61.72,62.34,648557
1738577279,61.72,62.32,652117
1738577338,61.73,62.32,655785
1738577399,61.74,62.34,666724
1738577459,61.74,62.50,675421
1738577519,61.75,62.51,683512
1738577579,61.77,62.42,703290
1738577639,61.77,62.34,705002
1738577699,61.78,62.25,715192
1738577759,61.78,62.10,722336
1738577819,61.79,62.20,727027
1738577879,61.79,62.16,735173
1738577939,61.79,62.14,736636
1738577999,61.79,62.21,738958
1738578059,61.79,62.27,740994
1738578119,61.79,62.28,743166
1738578179,61.79,62.23,743629
1738578239,61.80,62.20,746408
1738578299,61.80,62.26,758051
1738578359,61.83,62.30,798624
1738578419,61.83,62.22,804422
1738578479,61.83,62.23,809023
1738578539,61.83,62.12,811118
1738578599,61.83,62.17,811668
1738578659,61.84,62.19,815670
1738578719,61.84,62.22,816815
1738578779,61.84,62.19,818414
1738578839,61.84,62.14,829245
1738578898,61.85,62.30,838450
1738578959,61.85,62.30,841614
1738579019,61.85,62.33,842485
1738579079,61.85,62.30,844814
1738579139,61.85,62.33,847481
1738579199,61.85,62.32,849568
1738579259,61.85,62.29,852158
1738579319,61.85,62.33,853592
1738579379,61.85,62.35,856798
1738579438,61.86,62.40,862960
1738579498,61.86,62.38,876407
1738579559,61.87,62.39,877196
1738579619,61.87,62.44,881056
1738579679,61.88,62.40,893147
1738579739,61.88,62.38,893591
1738579799,61.88,62.31,895786
1738579859,61.88,62.37,897716
1738579919,61.88,62.32,898397
1738579979,61.89,62.38,912038
1738580039,61.89,62.36,913810
1738580099,61.89,62.33,917304
1738580159,61.89,62.33,920259
1738580219,61.89,62.34,930836
1738580279,61.90,62.26,934403
1738580339,61.90,62.43,944651
1738580399,61.90,62.59,950312
1738580459,61.90,62.56,951466
1738580519,61.91,62.56,953199
1738580579,61.91,62.52,953705
1738580639,61.91,62.52,955097
1738580699,61.92,62.52,976112
1738580759,61.92,62.56,977879
1738580819,61.99,62.60,1092508
1738580879,61.99,62.64,1094508
1738580939,61.99,62.61,1097941
1738580999,61.99,62.67,1100186
1738581059,61.99,62.65,1101557
1738581119,62.00,62.69,1106748
1738581179,62.00,62.64,1107464
1738581239,62.00,62.70,1107653
1738581299,62.00,62.64,1110331
1738581359,62.00,62.65,1110540
1738581419,62.00,62.62,1115102
1738581479,62.01,62.69,1123625
1738581539,62.01,62.70,1128035
1738581599,62.01,62.72,1129213
1738581659,62.01,62.69,1129524
1738581719,62.01,62.66,1130618
1738581779,62.01,62.59,1133209
1738581839,62.01,62.57,1134854
1738581899,62.01,62.60,1135961
1738581959,62.01,62.59,1136574
1738582019,62.02,62.55,1146406
1738582079,62.02,62.58,1147203
1738582139,62.02,62.44,1152065
1738582198,62.02,62.52,1155164
1738582259,62.02,62.50,1157802
1738582319,62.02,62.44,1158282
1738582379,62.02,62.43,1158890
