t,ap,cp,v
1738573661,801.95,801.95,1060
1738573682,801.95,801.95,1060
1738573740,801.95,801.95,1060
1738574159,797.97,794.30,5229
1738574219,795.88,786.35,6572
1738574279,794.14,789.70,8951
1738574339,793.96,792.25,9581
1738574399,793.73,792.80,11157
1738574459,793.55,790.05,12301
1738574519,793.47,792.90,12780
1738574579,793.39,793.70,14097
1738574639,792.90,796.30,20104
1738574699,793.10,796.75,21179
1738574759,793.47,800.25,22778
1738574819,794.03,804.60,24223
1738574879,794.67,807.00,25628
1738574939,795.79,804.45,28532
1738574999,796.30,806.00,30454
1738575059,796.51,804.80,31240
1738575119,797.11,801.70,34069
1738575179,797.16,803.85,34406
1738575239,797.25,803.15,34889
1738575299,797.29,803.30,35144
1738575359,797.35,801.25,35538
1738575419,797.58,802.00,37058
1738575479,797.66,800.60,37904
1738575539,797.70,801.45,38333
1738575599,797.76,802.80,38814
1738575659,798.01,803.80,40478
1738575719,798.10,802.10,41262
1738575779,798.33,805.50,42772
1738575839,798.38,804.60,43146
1738575899,798.43,805.00,43505
1738575959,798.54,805.50,44246
1738576019,798.61,805.00,44651
1738576079,798.83,805.55,46176
1738576139,798.86,805.60,46436
1738576199,798.89,804.60,46661
1738576259,799.00,805.20,47609
1738576319,799.04,805.95,47913
1738576379,799.08,805.05,48177
1738576439,799.12,806.20,48441
1738576499,799.43,806.50,50532
1738576559,799.61,808.50,51532
1738576619,799.75,808.00,52444
1738576679,799.87,808.15,53171
1738576739,799.94,809.80,53575
1738576799,800.16,810.10,54793
1738576859,800.23,808.35,55218
1738576919,800.31,810.00,55670
1738576979,800.41,809.70,56255
1738577039,800.49,808.45,56793
1738577099,800.57,808.65,57339
1738577159,800.58,809.50,57437
1738577219,800.79,811.80,58697
1738577279,800.95,812.85,59521
1738577339,801.00,812.45,59805
1738577399,801.35,811.70,61801
1738577459,801.51,814.00,62704
1738577519,801.54,814.30,62862
1738577579,802.34,814.15,66901
1738577639,802.42,814.00,67364
1738577699,802.46,813.95,67596
1738577759,802.56,811.55,68310
1738577819,802.58,811.20,68478
1738577879,802.72,807.80,70007
1738577939,802.74,806.15,70305
1738577999,802.77,807.00,70926
1738578059,802.80,807.15,71310
1738578119,802.90,808.15,72663
1738578179,802.90,807.00,72698
1738578239,802.93,808.80,73156
1738578299,802.95,808.15,73469
1738578359,802.97,807.70,73704
1738578419,803.00,808.65,74067
1738578479,803.00,808.30,74123
1738578538,803.03,808.60,74459
1738578599,803.04,808.60,74589
1738578659,803.04,808.30,74665
1738578719,803.06,808.15,74880
1738578779,803.07,807.20,75040
1738578839,803.07,807.35,75094
1738578899,803.07,807.95,75130
1738578959,803.08,809.10,75164
1738579019,803.12,808.50,75722
1738579079,803.13,808.35,75834
1738579139,803.13,807.65,75882
1738579199,803.14,808.15,75977
1738579259,803.14,808.60,76088
1738579319,803.15,808.90,76121
