t,ap,cp,v
1738573723,985.15,985.15,562
1738573740,985.15,985.15,562
1738573866,985.15,985.15,562
1738573996,985.15,985.15,562
1738574159,991.48,994.55,3331
1738574219,991.69,990.65,4981
1738574279,991.93,991.90,6498
1738574339,992.18,993.65,7570
1738574399,992.53,996.40,8382
1738574459,992.57,992.10,8656
1738574519,992.40,991.75,9828
1738574578,992.52,995.25,10350
1738574639,992.95,996.90,11524
1738574699,993.09,995.75,12199
1738574759,993.32,998.00,13081
1738574819,993.86,1000.05,14321
1738574879,995.26,1002.25,16598
1738574939,995.91,1001.80,18713
1738574999,996.54,1003.40,20726
1738575059,997.44,1004.20,24373
1738575119,997.66,1003.55,25361
1738575179,997.68,1001.55,25467
1738575239,997.72,999.80,25879
1738575299,997.73,998.85,26072
1738575359,997.93,999.70,28676
1738575419,998.03,1000.60,30079
1738575478,998.04,998.90,30302
1738575539,998.02,997.45,31814
1738575599,998.01,996.80,32001
1738575659,997.92,997.85,34233
1738575719,997.89,997.35,36647
1738575779,997.90,999.20,38515
1738575839,997.93,998.85,39574
1738575899,997.94,998.20,40400
1738575959,998.05,1001.70,43194
1738576019,998.21,1003.15,44649
1738576079,998.26,1002.40,45115
1738576139,998.61,1003.15,48625
1738576199,998.86,1001.50,51815
1738576259,998.88,1001.50,52179
1738576319,998.94,1002.70,53211
1738576379,998.95,999.15,53434
1738576439,998.96,1001.00,54500
1738576499,998.97,1002.10,54714
1738576559,998.98,1003.00,54902
1738576619,999.00,1002.95,55259
1738576679,999.19,1005.10,57267
1738576739,999.31,1005.00,58400
1738576799,999.43,1007.30,59434
1738576859,999.49,1007.35,59847
1738576919,999.60,1006.90,60824
1738576979,999.68,1006.00,61580
1738577039,999.92,1003.80,64502
1738577099,999.93,1004.65,64656
1738577159,999.99,1005.60,65459
1738577219,1000.04,1009.00,65919
1738577279,1000.18,1011.15,66874
1738577339,1000.51,1012.10,68942
1738577399,1000.60,1013.00,69496
1738577459,1000.64,1012.90,69690
1738577519,1000.64,1013.45,69740
1738577579,1000.82,1013.40,70671
1738577639,1000.88,1011.85,71060
1738577699,1000.92,1012.35,71281
1738577759,1000.93,1009.55,71353
1738577819,1000.94,1011.85,71491
1738577879,1001.04,1011.60,72183
1738577939,1001.12,1011.85,72715
1738577999,1001.14,1011.15,72857
1738578059,1001.21,1012.00,73356
1738578119,1001.23,1012.30,73522
1738578179,1001.30,1011.90,74024
1738578239,1001.55,1015.00,75482
1738578299,1001.72,1016.75,76405
1738578359,1001.81,1015.15,76856
1738578419,1001.90,1016.25,77367
1738578479,1002.04,1016.60,78117
1738578539,1002.09,1016.60,78375
1738578599,1002.30,1017.45,79530
1738578659,1003.57,1017.90,85917
1738578719,1003.63,1018.95,86240
1738578779,1003.68,1017.80,86564
1738578839,1003.77,1018.00,87120
1738578899,1003.83,1017.80,87494
1738578959,1003.89,1015.95,87958
1738579018,1003.91,1016.40,88064
1738579079,1003.97,1015.65,88518
1738579139,1004.02,1015.85,88860
1738579199,1004.03,1016.25,88928
1738579259,1004.04,1014.65,89064
1738579319,1004.33,1015.55,91528
1738579379,1004.42,1018.00,92233
1738579439,1004.48,1017.85,92585
1738579499,1004.61,1018.60,93516
1738579559,1004.63,1017.30,93670
1738579618,1004.69,1019.45,94096
1738579679,1005.02,1019.90,96169
1738579739,1005.21,1021.50,97326
1738579799,1005.64,1022.00,99895
1738579859,1005.99,1023.55,101954
1738579919,1006.09,1022.75,102572
1738579979,1006.18,1020.10,103197
1738580039,1006.20,1021.55,103335
1738580099,1006.29,1018.85,104024
1738580159,1006.32,1019.40,104225
1738580219,1006.34,1020.25,104358
1738580279,1006.36,1019.80,104542
1738580339,1006.45,1019.25,105247
1738580399,1006.46,1018.90,105346
1738580459,1006.49,1019.50,105571
1738580519,1006.84,1020.00,108384
1738580578,1006.88,1019.20,108715
1738580639,1006.88,1018.20,108777
1738580699,1006.94,1020.30,109304
1738580759,1006.96,1020.00,109418
1738580819,1007.06,1020.85,110258
1738580879,1007.07,1021.00,110349
1738580939,1007.08,1018.70,110431
1738580999,1007.11,1016.85,110674
1738581059,1007.15,1016.60,111194
1738581119,1007.20,1017.60,111827
1738581179,1007.22,1018.85,111997
1738581239,1007.29,1019.15,112638
1738581299,1007.32,1019.70,112965
1738581359,1007.45,1017.55,114172
1738581419,1007.45,1017.60,114182
1738581479,1007.47,1018.50,114355
1738581537,1007.49,1018.55,114554
1738581599,1007.51,1019.00,114735
1738581659,1007.61,1019.00,115763
1738581719,1007.61,1017.50,115786
1738581779,1007.80,1017.30,117932
1738581839,1007.80,1017.40,117971
1738581899,1007.81,1017.60,118123
1738581959,1007.82,1017.70,118249
1738582019,1007.83,1017.90,118294
1738582079,1007.84,1016.75,118410
1738582139,1007.85,1015.10,118667
1738582199,1007.88,1015.30,119080
1738582259,1007.88,1015.30,119139
1738582319,1007.89,1015.30,119190
1738582379,1007.89,1016.40,119253
1738582439,1008.10,1016.20,122402
1738582499,1008.10,1015.15,122473
1738582559,1008.11,1015.05,122495
1738582619,1008.13,1015.60,122876
1738582679,1008.13,1015.25,122913
1738582739,1008.14,1015.25,123020
1738582799,1008.17,1014.60,123671
1738582859,1008.21,1016.00,124296
1738582919,1008.21,1016.05,124403
1738582979,1008.23,1017.00,124720
1738583039,1008.24,1016.40,124816
1738583099,1008.26,1017.75,125068
1738583159,1008.31,1016.45,125847
1738583219,1008.37,1016.75,126797
1738583279,1008.38,1018.50,126969
1738583339,1008.40,1019.45,127225
1738583399,1008.43,1018.45,127504
1738583459,1008.43,1018.10,127513
1738583519,1008.43,1018.70,127516
1738583579,1008.43,1018.55,127517
1738583639,1008.44,1017.40,127748
1738583699,1008.47,1017.90,128055
1738583759,1008.53,1018.00,128973
1738583819,1008.55,1018.50,129183
1738583879,1008.55,1017.50,129259
1738583938,1008.55,1017.35,129310
1738583999,1008.56,1018.20,129387
1738584059,1008.57,1018.35,129501
1738584119,1008.58,1018.25,129682
1738584179,1008.59,1018.15,129767
1738584239,1008.60,1018.10,129860
1738584299,1008.60,1018.50,129955
