t,ap,cp,v
1738573635,7775.50,7775.50,13
1738573682,7775.50,7775.50,13
1738573741,7775.50,7775.50,13
1738574159,7738.30,7728.85,44
1738574219,7735.80,7725.05,88
1738574279,7736.60,7742.45,100
1738574339,7736.25,7732.25,203
1738574399,7734.68,7719.40,226
1738574459,7732.44,7716.00,257
1738574519,7732.44,7716.00,257
1738574579,7732.44,7716.00,257
1738574639,7732.42,7729.90,259
1738574699,7732.41,7733.95,262
1738574759,7729.08,7767.10,838
1738574819,7729.08,7767.10,838
1738574879,7729.08,7767.10,838
1738574939,7729.08,7767.10,838
1738574999,7729.08,7767.10,838
1738575059,7729.49,7815.50,842
1738575119,7729.59,7821.50,843
1738575179,7729.59,7821.50,843
1738575239,7729.59,7821.50,843
1738575299,7730.01,7800.00,848
1738575359,7730.01,7800.00,848
1738575419,7730.01,7800.00,848
1738575479,7734.70,7815.50,898
1738575539,7734.70,7815.50,898
1738575599,7734.95,7811.10,901
1738575659,7735.06,7834.85,902
1738575719,7735.06,7834.85,902
1738575779,7735.06,7834.85,902
1738575839,7735.40,7812.05,906
1738575899,7735.40,7812.05,906
1738575959,7735.40,7812.05,906
1738576016,7740.01,7823.95,956
1738576079,7740.75,7812.05,966
1738576139,7740.75,7812.05,966
1738576199,7740.75,7812.05,966
1738576259,7740.75,7812.05,966
1738576319,7740.75,7812.05,966
1738576379,7740.75,7812.05,966
1738576439,7740.75,7812.05,966
1738576499,7740.75,7812.05,966
1738576559,7740.75,7812.05,966
1738576619,7740.75,7812.05,966
1738576679,7740.75,7812.05,966
1738576739,7740.75,7812.05,966
1738576799,7740.75,7812.05,966
1738576856,7740.75,7812.05,966
1738576919,7743.26,7823.65,996
1738576979,7743.26,7823.65,996
1738577039,7743.64,7820.00,1001
1738577099,7743.64,7820.00,1001
1738577159,7743.64,7820.00,1001
1738577219,7743.64,7820.00,1001
1738577279,7744.08,7831.65,1006
1738577337,7744.08,7831.65,1006
1738577399,7744.08,7831.65,1006
1738577459,7744.08,7831.65,1006
1738577518,7744.08,7831.65,1006
1738577579,7744.08,7831.65,1006
1738577639,7744.08,7831.65,1006
1738577699,7744.18,7842.90,1007
1738577759,7744.29,7856.00,1008
1738577819,7745.61,7863.30,1020
1738577879,7746.16,7860.25,1025
1738577939,7746.69,7854.65,1030
1738577999,7746.93,7828.85,1033
1738578059,7748.21,7853.95,1046
1738578119,7748.21,7853.95,1046
1738578179,7748.21,7853.95,1046
1738578239,7748.21,7853.95,1046
1738578299,7748.21,7853.95,1046
1738578359,7748.21,7853.95,1046
1738578419,7748.21,7853.95,1046
1738578479,7748.21,7853.95,1046
1738578539,7748.21,7853.95,1046
1738578599,7748.21,7853.95,1046
1738578659,7748.31,7854.35,1047
1738578719,7748.31,7854.35,1047
1738578779,7748.31,7854.35,1047
1738578839,7748.31,7854.35,1047
1738578898,7749.90,7842.35,1065
1738578959,7749.90,7842.35,1065
1738579019,7749.90,7842.35,1065
1738579079,7749.90,7842.35,1065
1738579139,7749.90,7842.35,1065
1738579199,7750.05,7828.40,1067
1738579259,7750.05,7828.40,1067
1738579319,7750.05,7828.40,1067
1738579379,7750.05,7828.40,1067
1738579439,7750.64,7828.85,1075
1738579499,7750.64,7828.85,1075
1738579559,7750.64,7828.85,1075
1738579619,7750.64,7828.85,1075
1738579679,7752.46,7845.55,1096
1738579739,7752.46,7845.55,1096
1738579799,7752.46,7845.55,1096
1738579859,7752.46,7845.55,1096
1738579919,7752.46,7845.55,1096
1738579978,7752.46,7845.55,1096
1738580039,7752.75,7816.00,1101
1738580099,7752.79,7799.50,1102
1738580159,7752.79,7799.50,1102
1738580219,7752.79,7799.50,1102
1738580279,7752.79,7799.50,1102
1738580339,7752.79,7799.50,1102
1738580399,7753.32,7806.65,1114
1738580459,7753.32,7806.65,1114
1738580519,7753.32,7806.65,1114
1738580578,7753.32,7806.65,1114
1738580639,7753.32,7806.65,1114
1738580699,7753.32,7806.65,1114
1738580759,7753.32,7806.65,1114
1738580819,7753.56,7806.65,1119
1738580879,7753.56,7806.65,1119
1738580939,7753.56,7806.65,1119
1738580999,7753.56,7806.65,1119
1738581059,7753.56,7806.65,1119
1738581119,7753.56,7806.65,1119
1738581179,7753.56,7806.65,1119
1738581239,7753.56,7806.65,1119
1738581299,7753.56,7806.65,1119
1738581359,7753.56,7806.65,1119
1738581419,7753.56,7806.65,1119
1738581479,7753.56,7806.65,1119
1738581538,7753.56,7806.65,1119
1738581599,7753.56,7806.65,1119
1738581659,7753.56,7806.65,1119
1738581719,7753.56,7806.65,1119
1738581779,7753.56,7806.65,1119
