t,ap,cp,v
1738573634,1839.95,1839.95,459
1738573711,1839.95,1839.95,459
1738573740,1839.95,1839.95,459
1738574159,1846.73,1843.00,6357
1738574219,1845.31,1842.20,8289
1738574279,1843.76,1838.15,12459
1738574339,1843.13,1834.25,13547
1738574399,1842.91,1836.80,14003
1738574459,1842.70,1833.00,14368
1738574518,1842.24,1834.35,15140
1738574579,1842.05,1836.85,15604
1738574639,1841.84,1841.95,16797
1738574699,1841.86,1843.60,17304
1738574758,1841.75,1840.00,18380
1738574819,1841.78,1841.50,19057
1738574879,1841.75,1842.40,19491
1738574939,1841.77,1841.75,19925
1738574999,1841.84,1845.05,21053
1738575059,1842.42,1850.10,23038
1738575119,1842.64,1844.75,24052
1738575179,1842.66,1845.80,24261
1738575239,1842.70,1845.95,24509
1738575299,1842.71,1842.05,24818
1738575359,1842.71,1845.00,25426
1738575419,1842.72,1842.60,26399
1738575479,1843.03,1850.75,27851
1738575539,1843.18,1851.55,28366
1738575599,1843.23,1857.15,28498
1738575659,1843.51,1859.25,29034
1738575719,1843.76,1856.60,29549
1738575779,1844.01,1858.05,30042
1738575839,1844.30,1857.35,30660
1738575899,1844.73,1856.50,31930
1738575959,1845.16,1853.30,33488
1738576019,1845.26,1851.20,34063
1738576079,1845.32,1847.30,34694
1738576139,1845.44,1849.20,36889
1738576199,1845.49,1849.10,37557
1738576257,1845.54,1848.15,38732
1738576319,1845.55,1846.00,38975
1738576379,1845.54,1843.95,39545
1738576439,1845.54,1844.20,39576
1738576499,1845.53,1843.00,39807
1738576559,1845.50,1844.35,40483
1738576619,1845.50,1845.00,40724
1738576679,1845.50,1845.35,40878
1738576739,1845.50,1845.25,40984
1738576799,1845.50,1845.45,41104
1738576859,1845.50,1846.50,41266
1738576919,1845.50,1845.60,41362
1738576979,1845.49,1844.15,41593
1738577039,1845.48,1843.15,41739
1738577099,1845.42,1843.65,42809
1738577159,1845.41,1842.65,43030
1738577219,1845.38,1842.65,43433
1738577279,1845.37,1844.00,43724
1738577339,1845.36,1843.65,43763
1738577399,1845.36,1843.75,43828
1738577459,1845.36,1844.45,43948
1738577519,1845.35,1843.20,44115
1738577579,1845.35,1842.15,44181
1738577639,1845.32,1842.10,44664
1738577699,1845.30,1842.60,44987
1738577759,1845.26,1841.90,45474
1738577819,1845.26,1844.45,45888
1738577876,1845.24,1843.00,46283
1738577939,1845.24,1843.35,46439
1738577999,1845.18,1843.60,47308
1738578059,1845.15,1845.25,48574
1738578119,1845.17,1847.05,49134
1738578178,1845.17,1847.05,49270
1738578239,1845.19,1847.45,49927
1738578299,1845.19,1847.55,49986
1738578359,1845.20,1846.95,50047
1738578419,1845.20,1847.45,50156
1738578479,1845.20,1847.05,50185
1738578539,1845.21,1846.10,50285
1738578599,1845.21,1845.55,50361
1738578659,1845.20,1844.80,50683
1738578719,1845.21,1846.40,50858
1738578779,1845.21,1845.75,50909
1738578839,1845.21,1845.00,51309
1738578899,1845.21,1844.05,51376
1738578959,1845.21,1844.70,51484
1738579019,1845.21,1845.65,51558
1738579079,1845.20,1844.00,51711
1738579139,1845.20,1844.05,51787
1738579196,1845.20,1843.25,51920
1738579259,1845.20,1846.10,52002
1738579319,1845.21,1845.05,52362
1738579379,1845.21,1846.55,52582
1738579439,1845.21,1846.05,52596
1738579499,1845.22,1845.60,52707
1738579559,1845.22,1846.05,52741
1738579619,1845.22,1846.15,52768
1738579679,1845.22,1845.45,52873
1738579739,1845.22,1848.00,52900
1738579798,1845.24,1847.60,53379
1738579859,1845.26,1848.45,53712
1738579919,1845.26,1845.80,53735
1738579979,1845.26,1846.85,53803
1738580039,1845.27,1847.25,54083
1738580099,1845.27,1846.20,54227
1738580159,1845.28,1846.10,54302
1738580219,1845.28,1845.15,54349
