t,ap,cp,v
1738573740,807.25,807.25,546
1738574159,808.17,810.95,1451
1738574219,809.68,805.50,2297
1738574279,809.67,804.35,2302
1738574339,809.61,801.00,2322
1738574399,808.18,805.95,3102
1738574459,807.55,800.55,3394
1738574518,806.99,799.40,3685
1738574579,806.69,799.95,3869
1738574638,806.56,798.45,3928
1738574699,806.07,801.55,4331
1738574758,805.99,804.65,4481
1738574819,806.10,811.85,4617
1738574879,806.13,816.75,4631
1738574939,806.53,814.80,4833
1738574999,806.85,814.55,5029
1738575059,806.93,813.55,5095
1738575119,807.09,812.05,5255
1738575179,807.09,812.05,5255
1738575239,807.10,808.70,5275
1738575299,807.07,805.95,5426
1738575359,807.01,802.55,5495
1738575419,806.87,801.00,5629
1738575479,806.80,797.35,5682
1738575539,806.63,795.00,5786
1738575598,806.58,794.60,5811
1738575658,806.58,794.60,5811
1738575719,806.56,799.35,5823
1738575778,806.36,797.70,5963
1738575839,806.34,798.90,5978
1738575898,805.83,797.60,6398
1738575958,805.82,796.50,6400
1738576019,805.56,796.40,6588
1738576079,805.56,796.40,6588
1738576138,805.30,796.70,6781
1738576198,805.16,794.55,6872
1738576257,805.14,796.60,6885
1738576319,805.14,796.60,6885
1738576379,805.12,799.55,6904
1738576439,805.11,799.15,6914
1738576499,805.11,797.65,6915
1738576558,805.06,797.65,6968
1738576619,804.98,797.65,7038
1738576679,804.98,797.65,7038
1738576738,804.96,795.05,7050
1738576799,804.96,795.05,7050
1738576858,804.94,796.55,7062
1738576918,804.92,797.20,7083
1738576979,804.92,797.20,7083
1738577038,804.92,797.20,7083
1738577097,804.92,797.20,7083
1738577157,804.92,797.20,7083
1738577219,804.92,797.20,7083
1738577278,804.92,797.20,7083
1738577339,804.92,797.20,7083
1738577398,804.92,797.20,7083
1738577458,804.92,799.65,7091
1738577519,804.92,799.65,7091
1738577579,804.87,800.75,7162
1738577638,804.80,799.15,7259
1738577697,804.80,799.15,7259
1738577759,804.80,797.00,7260
1738577817,804.80,797.00,7260
1738577875,804.80,797.00,7260
1738577938,804.80,797.00,7260
