t,ap,cp,v
1738574159,1414.48,1405.05,79
1738574219,1410.84,1404.35,109
1738574279,1407.94,1397.90,146
1738574337,1405.25,1400.80,227
1738574399,1404.01,1395.15,263
1738574459,1403.06,1396.00,291
1738574519,1403.06,1396.00,291
1738574579,1402.83,1394.30,299
1738574639,1402.83,1394.30,299
1738574698,1402.19,1396.95,355
1738574759,1401.57,1399.40,405
1738574819,1401.88,1407.65,435
1738574879,1402.04,1408.50,447
1738574939,1402.18,1413.65,453
1738574999,1402.42,1414.55,462
1738575059,1402.48,1416.20,464
1738575119,1402.71,1420.35,470
1738575179,1404.00,1418.40,511
1738575239,1404.89,1422.15,540
1738575299,1405.05,1426.05,544
1738575359,1407.56,1427.10,609
1738575419,1407.56,1427.10,609
1738575479,1407.70,1427.70,613
1738575539,1410.93,1423.90,749
1738575599,1411.67,1430.05,788
1738575659,1411.76,1434.85,791
1738575719,1412.10,1429.45,805
1738575779,1412.49,1431.50,824
1738575839,1412.61,1433.55,829
1738575899,1412.61,1433.55,829
1738575959,1413.04,1430.15,850
1738576019,1413.10,1431.05,853
1738576079,1413.15,1427.20,856
1738576139,1413.15,1427.20,856
1738576195,1413.16,1422.10,857
1738576259,1413.25,1422.95,865
1738576319,1413.61,1427.80,887
1738576379,1413.69,1423.80,894
1738576439,1413.71,1426.85,895
1738576499,1413.71,1426.85,895
1738576559,1414.03,1425.65,917
1738576619,1414.05,1428.05,918
1738576679,1414.23,1430.60,928
1738576739,1414.23,1430.60,928
1738576799,1414.23,1430.60,928
1738576859,1414.23,1430.60,928
1738576919,1414.79,1431.05,960
1738576979,1415.94,1423.35,1061
1738577039,1415.94,1423.35,1061
1738577099,1415.94,1419.25,1064
1738577159,1416.12,1417.50,1180
1738577219,1415.99,1414.70,1279
1738577279,1415.99,1414.65,1280
1738577339,1415.98,1415.40,1289
1738577399,1415.98,1415.90,1356
1738577457,1415.99,1418.50,1365
1738577519,1415.99,1418.50,1365
1738577579,1415.99,1413.80,1368
1738577639,1415.99,1413.80,1368
1738577699,1415.99,1413.80,1368
1738577759,1415.99,1413.80,1368
1738577819,1415.99,1413.80,1368
1738577879,1415.99,1413.80,1368
1738577939,1415.98,1414.00,1374
1738577999,1415.98,1412.90,1376
1738578059,1415.98,1412.90,1376
1738578119,1415.98,1414.40,1379
1738578178,1415.98,1414.40,1379
1738578239,1415.97,1413.05,1380
1738578299,1415.97,1415.55,1392
1738578359,1415.97,1413.60,1394
1738578417,1415.97,1413.60,1394
1738578479,1415.97,1413.60,1394
1738578539,1415.97,1413.60,1394
1738578599,1415.96,1415.00,1399
1738578659,1415.96,1415.00,1399
1738578719,1415.96,1415.00,1399
1738578779,1415.96,1415.00,1399
1738578839,1415.96,1415.00,1399
1738578899,1415.96,1411.95,1400
1738578959,1415.96,1411.95,1400
1738579017,1415.96,1411.95,1400
1738579079,1415.96,1411.95,1400
1738579139,1415.86,1410.00,1422
1738579199,1415.77,1411.70,1453
1738579259,1415.77,1411.70,1453
1738579319,1415.73,1408.70,1463
1738579379,1415.73,1408.70,1463
1738579439,1415.69,1410.70,1473
1738579499,1415.69,1410.70,1473
1738579559,1415.69,1410.70,1473
1738579619,1415.69,1410.70,1473
1738579679,1415.69,1410.70,1473
1738579739,1415.69,1412.70,1475
1738579799,1415.33,1409.85,1595
1738579859,1415.33,1409.85,1595
1738579919,1415.33,1412.25,1599
1738579979,1415.32,1412.50,1603
1738580039,1415.32,1418.30,1604
1738580099,1415.33,1416.15,1615
1738580159,1415.33,1416.15,1615
1738580219,1415.32,1414.65,1627
1738580279,1415.32,1414.65,1627
1738580335,1415.32,1414.65,1627
1738580399,1415.31,1414.80,1634
1738580459,1415.31,1414.80,1634
1738580519,1415.31,1414.80,1634
1738580576,1415.31,1414.80,1634
1738580639,1415.31,1415.35,1635
1738580699,1415.31,1415.35,1635
1738580759,1415.31,1415.35,1635
1738580819,1415.31,1415.85,1636
1738580879,1415.31,1415.85,1636
1738580939,1415.31,1415.25,1647
1738580999,1415.31,1415.25,1647
1738581059,1415.31,1415.25,1647
1738581119,1415.33,1417.05,1663
1738581179,1415.33,1417.05,1663
1738581239,1415.33,1417.05,1664
1738581299,1415.33,1417.05,1664
1738581359,1415.33,1417.05,1664
1738581419,1415.33,1417.05,1664
1738581467,1415.33,1416.85,1665
1738581537,1415.33,1416.85,1665
1738581599,1415.33,1416.85,1665
1738581659,1415.33,1416.85,1665
1738581719,1415.33,1416.85,1665
1738581779,1415.34,1416.75,1672
1738581839,1415.34,1416.30,1673
1738581899,1415.34,1416.30,1673
1738581959,1415.34,1416.30,1673
1738582019,1415.34,1416.30,1673
1738582079,1415.34,1416.30,1673
1738582139,1415.34,1416.30,1673
1738582197,1415.34,1416.30,1673
1738582259,1415.34,1413.80,1674
1738582313,1415.34,1413.80,1674
1738582379,1415.33,1411.40,1675
1738582438,1415.33,1411.40,1675
1738582498,1415.33,1411.40,1675
1738582558,1415.33,1411.40,1675
1738582619,1415.33,1411.40,1675
1738582679,1415.33,1411.40,1675
1738582738,1415.33,1411.40,1675
1738582797,1415.33,1411.40,1675
1738582858,1415.33,1411.40,1675
1738582916,1415.33,1411.40,1675
1738582979,1415.33,1414.70,1676
1738583039,1415.33,1414.70,1676
1738583099,1415.33,1414.70,1676
1738583159,1415.33,1414.70,1676
1738583218,1415.33,1414.70,1676
1738583276,1415.33,1414.70,1676
1738583338,1415.33,1414.70,1676
1738583399,1415.33,1414.05,1677
1738583459,1415.33,1414.05,1677
1738583519,1415.33,1414.05,1677
1738583579,1415.33,1414.05,1677
1738583639,1415.33,1414.05,1677
1738583697,1415.33,1414.05,1677
1738583759,1415.33,1414.05,1677
1738583819,1415.33,1414.05,1677
1738583879,1415.33,1414.05,1677
1738583937,1415.33,1414.05,1677
1738583999,1415.33,1414.05,1682
1738584059,1415.33,1414.05,1682
1738584119,1415.33,1414.05,1682
1738584179,1415.33,1414.05,1682
1738584237,1415.33,1415.65,1694
1738584299,1415.33,1415.65,1694
1738584359,1415.33,1415.65,1694
1738584419,1415.33,1415.65,1694
1738584479,1415.33,1415.65,1694
1738584539,1415.49,1420.00,1754
1738584599,1415.49,1420.00,1754
1738584659,1415.50,1419.65,1758
1738584719,1415.50,1419.65,1758
1738584779,1415.51,1420.85,1761
1738584838,1416.13,1425.15,1883
1738584899,1416.13,1425.15,1883
1738584959,1416.14,1425.15,1886
1738585019,1416.58,1424.50,1987
1738585079,1416.58,1424.50,1987
1738585139,1416.58,1424.50,1987
1738585199,1416.58,1424.50,1987
1738585259,1416.58,1424.50,1987
1738585319,1416.58,1418.00,1988
1738585379,1416.58,1418.00,1988
1738585439,1416.58,1418.00,1988
1738585499,1416.58,1415.90,2003
1738585559,1416.68,1419.75,2067
1738585619,1416.68,1419.75,2067
