t,ap,cp,v
1738573642,462.95,462.95,13658
1738573715,462.95,462.95,13658
1738573740,462.95,462.95,13658
1738573925,462.95,462.95,13658
1738574159,460.83,461.80,41110
1738574219,460.85,460.00,47044
1738574279,460.74,461.70,59907
1738574339,461.09,464.25,70836
1738574399,461.59,464.75,84497
1738574459,461.74,464.45,89775
1738574519,461.92,464.00,96681
1738574579,461.98,465.00,99418
1738574639,462.08,464.85,103398
1738574698,462.89,465.00,149011
1738574759,463.23,464.15,186565
1738574819,463.25,464.75,189626
1738574879,463.26,463.45,194649
1738574939,463.26,463.20,196897
1738574999,463.26,463.50,201458
1738575059,463.24,462.20,204357
1738575119,463.23,463.45,207267
1738575179,463.23,462.65,209398
1738575239,463.23,462.95,210360
1738575298,463.23,463.20,214744
1738575359,463.22,461.05,217793
1738575419,463.21,461.30,218288
1738575479,463.20,462.55,219700
1738575539,463.20,462.10,221458
1738575599,463.19,462.90,222637
1738575659,463.21,465.00,226513
1738575719,463.21,462.75,228213
1738575779,463.21,463.30,228977
1738575839,463.21,463.50,229891
1738575899,463.21,463.05,230633
1738575959,463.22,463.25,234325
1738576017,463.22,463.40,234844
1738576079,463.21,462.05,237269
1738576139,463.20,462.05,238524
1738576199,463.20,462.95,239077
1738576259,463.20,463.45,239424
1738576319,463.19,462.30,241804
1738576379,463.19,462.50,243050
1738576439,463.18,462.60,243894
1738576499,463.18,463.15,245148
1738576559,463.17,461.60,247666
1738576619,463.17,462.35,248703
1738576679,463.17,461.85,248958
1738576739,463.16,462.60,250955
1738576799,463.16,462.85,252475
1738576859,463.16,463.50,253655
1738576919,463.16,462.35,253995
1738576979,463.13,462.05,259484
1738577039,463.13,462.30,260722
1738577099,463.10,461.80,266600
1738577159,463.10,462.00,266856
1738577219,463.09,461.40,269399
1738577279,463.08,461.85,270553
1738577339,463.08,461.50,271140
1738577399,463.06,461.45,274217
1738577459,463.05,460.70,275188
1738577519,462.99,460.85,281930
1738577579,462.98,461.00,283131
1738577639,462.97,460.95,285561
1738577699,462.96,461.15,286469
1738577759,462.96,460.65,286654
1738577819,462.95,460.50,287461
1738577879,462.91,459.90,291364
1738577939,462.91,460.05,291968
1738577999,462.90,460.05,293174
1738578059,462.88,460.00,294948
1738578119,462.87,459.75,296013
1738578179,462.86,459.80,296369
1738578239,462.86,459.40,296822
1738578299,462.86,459.50,297101
1738578359,462.85,459.40,297754
1738578419,462.81,459.00,300893
1738578479,462.81,459.30,301194
1738578539,462.80,459.25,302175
1738578599,462.76,459.05,304746
1738578659,462.72,458.70,308106
1738578719,462.71,459.35,308807
1738578779,462.71,459.75,308893
1738578839,462.71,459.45,309082
1738578898,462.71,459.10,309288
1738578959,462.70,459.25,310325
