t,ap,cp,v
1738573646,317.00,317.00,4737
1738573768,317.00,317.00,4737
1738574085,317.00,317.00,4737
1738574157,315.65,311.30,7057
1738574217,315.06,308.35,8589
1738574278,314.20,308.35,9997
1738574339,313.92,308.35,10500
1738574399,313.65,308.35,11025
1738574459,313.10,308.35,12298
1738574515,312.79,308.35,13174
1738574575,312.35,308.35,14612
1738574637,312.20,308.35,15172
1738574698,312.06,309.00,15758
1738574759,311.97,308.35,16253
1738574818,311.88,312.70,17431
1738574879,311.87,308.50,18144
1738574939,311.76,308.35,19101
1738574996,311.71,309.00,19434
1738575054,311.70,312.85,19797
1738575118,311.70,312.90,20065
1738575178,311.70,311.80,20174
1738575238,311.67,311.45,20826
1738575293,311.65,312.00,21056
1738575359,311.49,311.00,22292
1738575414,311.49,308.35,22397
1738575479,311.47,310.80,22781
1738575537,311.45,310.80,22941
1738575596,311.42,310.80,23528
1738575656,311.41,308.35,23632
1738575718,311.37,309.00,24342
1738575779,311.35,309.00,24540
1738575838,311.33,308.35,24702
1738575890,311.29,308.50,25032
1738575959,311.26,308.35,25259
1738576016,311.21,308.50,25752
1738576077,311.17,308.50,26113
1738576131,311.15,308.40,26327
1738576198,311.12,308.50,26627
1738576256,311.11,308.50,26713
1738576313,311.08,308.40,26990
1738576372,311.05,308.50,27293
1738576439,310.99,308.40,27929
1738576496,310.98,308.40,28070
1738576559,310.97,308.40,28199
1738576617,310.97,308.40,28210
1738576673,310.97,308.40,28223
1738576729,310.96,308.40,28232
1738576780,310.96,308.40,28304
1738576858,310.95,308.40,28433
1738576919,310.95,308.40,28437
1738576977,310.90,308.35,28953
1738577036,310.90,308.35,28953
1738577095,310.89,308.35,29052
1738577156,310.89,308.35,29089
1738577184,310.89,308.35,29101
1738577267,310.87,308.35,29332
1738577318,310.87,308.35,29332
1738577399,310.86,308.35,29466
1738577459,310.85,308.35,29529
1738577512,310.85,308.35,29549
1738577552,310.85,308.35,29558
1738577616,310.84,308.35,29675
1738577697,310.84,308.35,29681
1738577758,310.84,308.35,29698
1738577796,310.84,308.35,29705
1738577867,310.83,308.35,29755
1738577939,310.82,308.35,29857
1738577992,310.82,308.35,29859
1738578057,310.81,308.35,29967
1738578101,310.81,308.35,29980
1738578147,310.81,308.35,29980
1738578231,310.80,308.35,30087
1738578294,310.80,308.35,30137
1738578354,310.80,308.35,30142
1738578415,310.80,308.35,30143
1738578437,310.80,308.35,30143
1738578497,310.80,308.35,30160
1738578594,310.80,308.35,30178
1738578648,310.80,308.35,30179
1738578695,310.80,308.35,30179
1738578753,310.80,308.35,30180
1738578791,310.80,308.35,30184
1738578845,310.80,308.35,30194
1738578950,310.79,308.35,30295
1738579017,310.75,308.35,30801
1738579079,310.75,308.35,30820
1738579136,310.74,308.35,30901
1738579228,310.74,308.35,30906
1738579318,310.73,308.35,31012
1738579372,310.73,308.35,31013
1738579427,310.73,308.35,31032
1738579499,310.73,308.35,31060
1738579552,310.73,308.35,31065
1738579609,310.73,308.35,31066
1738579653,310.73,308.35,31075
1738579680,310.73,308.35,31076
1738579775,310.73,308.35,31076
1738579977,310.73,308.35,31076
1738580023,310.73,308.35,31076
1738580207,310.72,308.35,31107
1738580270,310.72,308.35,31107
1738580392,310.72,308.35,31192
1738580454,310.71,308.35,31225
1738580519,310.71,308.35,31225
1738580568,310.71,308.35,31225
1738580602,310.71,308.35,31241
1738580670,310.71,308.35,31248
1738580749,310.71,308.35,31255
1738580819,310.71,308.35,31262
1738580868,310.70,308.35,31368
1738580939,310.69,308.35,31513
1738580997,310.69,308.35,31563
1738581050,310.69,308.35,31600
