t,ap,cp,v
1738573635,779.40,779.40,199
1738573682,779.40,779.40,199
1738573740,779.40,779.40,199
1738574159,768.00,769.50,670
1738574219,768.72,776.40,795
1738574279,770.78,779.40,1029
1738574339,771.12,775.10,1077
1738574399,771.12,771.00,1084
1738574458,770.81,765.65,1510
1738574519,769.74,766.75,1854
1738574578,769.55,767.05,1952
1738574639,769.51,766.25,1975
1738574699,769.49,767.20,1997
1738574758,769.42,768.25,2095
1738574819,769.78,773.55,2518
1738574879,769.80,773.00,2533
1738574939,769.79,769.00,2602
1738574997,769.77,769.00,2652
1738575059,769.63,765.00,2766
1738575119,769.11,763.10,3016
1738575179,769.04,763.00,3057
1738575239,768.80,759.35,3142
1738575296,768.77,760.00,3155
1738575359,768.75,758.20,3159
1738575418,768.30,756.05,3287
1738575478,767.81,756.25,3416
1738575539,767.68,756.05,3453
1738575598,767.68,756.05,3453
1738575658,766.80,756.20,3740
1738575719,766.26,757.70,3978
1738575777,765.94,758.25,4145
1738575838,765.90,759.45,4170
1738575899,765.90,759.45,4170
1738575959,765.54,757.85,4372
1738576016,765.37,757.70,4473
1738576079,765.28,757.10,4522
1738576139,765.20,757.85,4566
1738576198,765.06,758.75,4666
1738576259,765.04,757.50,4677
1738576319,765.02,755.70,4691
1738576379,764.89,756.45,4763
1738576438,764.89,756.45,4763
1738576499,764.79,756.15,4817
1738576559,764.69,755.00,4870
1738576619,764.44,752.55,4985
1738576679,764.32,752.00,5039
1738576739,763.61,750.00,5305
1738576799,763.47,752.30,5360
1738576858,763.29,751.95,5444
1738576919,763.18,752.55,5499
1738576979,763.17,752.70,5503
1738577039,763.17,752.70,5503
1738577099,763.16,754.50,5510
1738577158,763.16,754.10,5511
1738577218,763.10,754.75,5551
1738577279,763.06,755.90,5581
1738577336,762.99,753.65,5621
1738577399,762.99,753.65,5621
1738577459,762.97,753.65,5636
1738577518,762.97,753.65,5636
1738577577,762.94,754.45,5651
1738577639,761.78,753.50,6441
1738577697,761.78,753.50,6441
1738577757,761.73,750.45,6474
1738577817,761.59,748.50,6550
1738577879,761.50,747.00,6594
1738577939,761.50,747.00,6594
1738577998,761.50,747.00,6594
1738578059,761.48,745.00,6600
1738578119,761.48,745.00,6600
1738578179,761.41,748.30,6636
1738578238,761.41,748.30,6636
1738578299,761.41,748.30,6636
1738578359,761.41,748.30,6636
1738578419,761.41,748.30,6636
1738578479,761.41,748.30,6636
1738578539,761.32,744.00,6671
1738578599,761.17,743.85,6727
1738578659,761.07,743.85,6769
1738578718,761.07,743.85,6769
1738578779,761.01,743.15,6791
1738578839,760.93,743.95,6820
1738578898,760.93,743.95,6820
1738578959,760.93,743.95,6820
1738579018,760.93,743.95,6821
1738579079,760.93,743.95,6821
1738579139,760.93,743.95,6821
1738579199,760.93,743.95,6821
1738579259,760.89,741.25,6835
1738579319,760.62,742.35,6935
1738579374,760.62,742.35,6935
1738579439,760.62,741.65,6936
1738579498,760.53,742.50,6971
1738579558,760.49,743.85,6986
1738579619,760.49,743.85,6986
1738579678,760.49,742.00,6987
1738579739,760.49,742.00,6987
1738579799,760.45,743.30,7002
1738579857,760.45,743.30,7002
1738579918,760.40,742.00,7022
1738579977,760.40,743.30,7023
1738580037,760.39,744.25,7026
1738580099,760.38,743.95,7031
1738580157,760.35,743.95,7045
1738580218,760.34,744.75,7050
1738580279,760.34,744.75,7050
1738580335,760.34,744.75,7050
1738580399,760.33,746.35,7051
1738580459,760.33,746.35,7051
1738580519,760.33,747.00,7052
1738580579,760.33,747.00,7052
1738580638,760.33,747.00,7052
1738580699,760.32,745.65,7059
1738580756,760.20,744.55,7111
1738580817,760.20,745.15,7113
1738580878,760.13,743.95,7143
1738580938,760.13,743.95,7143
1738580998,760.13,743.95,7143
1738581057,760.13,743.95,7143
1738581118,760.13,743.95,7143
1738581177,759.91,744.35,7243
1738581239,759.91,743.85,7244
1738581293,759.91,743.85,7244
1738581359,759.87,743.40,7259
1738581418,759.87,743.40,7259
1738581479,759.87,746.15,7261
1738581536,759.87,746.15,7261
1738581598,759.86,745.90,7265
1738581655,759.86,745.90,7265
1738581719,759.86,743.70,7268
1738581778,759.85,744.70,7272
1738581839,759.78,742.50,7302
1738581899,759.72,742.50,7324
1738581959,759.72,742.50,7324
1738582019,759.62,743.15,7371
1738582077,759.50,742.20,7421
1738582139,759.47,742.60,7435
1738582197,759.47,742.60,7435
1738582258,759.47,742.60,7435
1738582319,759.47,742.60,7435
1738582378,759.47,742.60,7435
1738582434,759.47,743.15,7436
1738582499,759.47,743.15,7436
1738582547,759.40,742.35,7466
1738582619,759.40,742.35,7466
1738582679,759.40,742.35,7466
1738582738,759.34,742.35,7490
1738582799,758.68,741.00,7771
1738582859,758.68,741.00,7771
