t,ap,cp,v
1738573659,774.80,774.80,575
1738573682,774.80,774.80,575
1738573741,774.80,774.80,575
1738574159,761.48,759.85,4512
1738574219,759.98,755.35,5992
1738574279,758.48,756.55,8563
1738574339,757.99,757.10,10294
1738574399,757.89,757.50,12421
1738574459,757.90,758.25,12973
1738574519,758.05,761.65,13684
1738574579,758.13,762.85,14024
1738574639,758.96,765.10,16053
1738574699,759.05,766.10,16284
1738574759,760.02,771.05,18140
1738574819,760.88,774.45,19283
1738574879,761.40,775.30,19986
1738574939,762.70,777.10,21825
1738574999,763.05,777.80,22321
1738575059,763.70,776.20,23267
1738575119,763.99,777.50,23793
1738575179,764.02,778.20,23853
1738575239,764.20,776.50,24180
1738575299,764.42,776.90,24610
1738575359,764.54,777.00,24861
1738575419,766.72,778.70,29990
1738575479,766.83,776.30,30290
1738575539,766.89,773.35,30503
1738575599,767.35,776.00,32204
1738575659,768.04,778.75,34795
1738575719,768.17,774.75,35426
1738575779,768.35,770.30,37001
1738575839,768.42,770.75,38126
1738575899,768.45,772.35,38558
1738575959,768.47,768.50,39310
1738576019,768.47,769.00,39478
1738576079,768.47,768.20,39616
1738576139,768.43,765.25,46016
1738576199,768.39,765.05,46924
1738576259,768.33,767.90,48155
1738576319,768.46,771.35,50357
1738576379,768.57,771.85,51886
1738576439,768.60,773.85,52162
1738576499,768.74,776.35,53501
1738576559,769.10,778.60,55436
1738576619,769.31,780.05,56535
1738576679,769.55,779.30,57798
1738576739,769.64,778.50,58501
1738576799,769.95,781.00,60299
1738576859,769.99,780.45,60496
1738576919,770.15,783.00,61322
1738576979,770.30,782.40,62077
1738577039,770.44,786.00,62744
1738577099,770.71,786.70,63859
1738577159,770.74,787.60,63983
1738577219,770.84,788.25,64386
1738577279,770.96,789.00,64793
1738577339,771.07,789.00,65222
1738577399,771.29,790.00,66009
1738577459,771.93,790.90,68117
1738577519,772.55,795.55,70145
1738577579,773.08,790.35,71982
1738577639,773.33,791.80,72957
1738577699,773.35,793.60,73043
1738577759,773.55,789.65,73944
1738577819,773.75,788.10,74966
1738577879,773.83,786.65,75407
1738577939,773.91,790.95,75849
1738577999,773.94,791.05,75976
1738578059,774.04,790.55,76403
1738578119,774.05,790.30,76465
1738578179,774.19,790.30,77121
1738578239,774.24,791.30,77384
1738578299,774.31,792.00,77685
1738578359,775.04,792.35,81098
1738578419,775.07,791.45,81270
1738578479,775.15,790.55,81680
1738578539,775.17,791.95,81784
1738578599,775.22,791.50,82024
1738578659,776.44,793.00,88049
1738578719,776.50,793.05,88376
1738578779,776.55,788.85,88722
1738578839,776.57,789.15,88854
1738578899,776.58,788.95,88958
1738578959,776.64,788.25,89409
1738579019,776.65,788.10,89469
1738579079,776.90,788.00,91477
1738579139,776.91,788.65,91550
1738579198,776.91,788.00,91584
1738579258,776.94,788.95,91786
1738579319,776.95,789.75,91857
1738579379,776.95,789.50,91887
1738579439,777.01,789.35,92356
1738579499,777.02,789.55,92395
1738579559,777.05,789.10,92677
1738579618,777.06,788.00,92760
1738579679,777.07,787.90,92780
1738579739,777.07,787.85,92805
1738579799,777.08,786.60,92862
1738579859,777.08,786.15,92937
1738579919,777.10,786.65,93052
1738579979,777.11,786.65,93208
1738580039,777.12,787.25,93272
1738580099,777.13,786.85,93407
1738580159,777.23,787.45,94320
1738580218,777.23,788.25,94326
1738580279,777.24,788.80,94466
1738580339,777.25,788.45,94479
1738580399,777.26,788.90,94605
1738580459,777.26,789.20,94638
1738580519,777.29,788.90,94837
1738580576,777.29,788.90,94837
1738580639,777.36,789.15,95485
1738580699,777.36,789.00,95501
1738580759,777.36,788.00,95511
1738580819,777.38,789.50,95676
1738580879,777.39,789.45,95740
1738580939,777.40,787.00,95830
1738580998,777.50,787.00,96818
1738581059,777.50,787.00,96818
1738581119,777.50,787.50,96838
1738581179,777.50,787.35,96842
1738581239,777.60,786.65,97846
1738581299,777.61,788.00,97931
1738581359,777.62,787.80,98031
1738581419,777.64,787.10,98308
1738581479,777.65,785.85,98411
1738581537,777.69,787.05,98833
1738581599,777.69,787.05,98843
1738581659,777.69,787.00,98848
1738581719,777.69,786.10,98858
1738581779,777.70,786.60,98910
1738581839,777.70,786.50,98914
1738581898,777.70,786.50,98914
1738581959,777.73,785.00,99350
1738582019,777.74,785.40,99476
1738582079,777.74,785.40,99476
1738582139,777.74,783.10,99491
1738582199,777.76,786.20,99767
1738582259,777.87,788.35,101080
1738582318,777.89,790.00,101220
1738582379,777.93,789.90,101608
1738582439,777.95,789.60,101773
1738582499,777.95,790.30,101792
1738582559,777.96,789.60,101834
1738582619,777.96,789.20,101859
1738582679,777.97,789.85,101899
1738582739,777.97,789.05,101959
1738582799,777.97,789.95,101979
1738582859,777.97,789.95,101979
1738582919,777.97,789.95,101979
1738582979,777.99,789.55,102107
1738583039,778.06,792.90,102667
1738583099,778.09,791.45,102838
1738583159,778.09,793.00,102889
1738583218,778.09,792.15,102897
1738583279,778.11,791.45,103042
1738583339,778.11,791.45,103042
1738583399,778.13,790.85,103188
1738583458,778.13,790.85,103191
1738583519,778.17,793.95,103416
1738583579,778.19,793.05,103600
1738583637,778.20,793.05,103626
1738583699,778.36,793.55,104678
1738583759,778.46,794.90,105348
1738583819,778.48,793.70,105467
1738583879,778.49,793.85,105536
1738583939,778.51,793.55,105689
1738583999,778.54,793.90,105856
1738584058,778.55,794.20,105955
1738584119,778.55,794.00,105961
1738584179,778.68,794.55,106836
1738584239,778.70,793.10,106937
1738584299,778.73,792.40,107199
1738584359,778.77,793.65,107514
1738584419,778.79,793.50,107627
1738584478,778.79,793.15,107631
1738584539,779.60,797.15,112968
1738584599,779.87,797.45,114664
1738584659,779.98,797.50,115365
1738584719,780.01,795.80,115587
1738584779,780.02,794.80,115694
1738584838,780.05,794.10,115910
1738584899,780.05,794.10,115910
1738584959,780.08,795.45,116134
1738585019,780.08,795.05,116165
1738585079,780.08,795.05,116180
1738585139,780.09,795.65,116257
