t,ap,cp,v
1738573635,412.40,412.40,85
1738573765,412.40,412.40,85
1738574158,411.31,408.90,293
1738574219,410.15,411.20,900
1738574276,410.41,410.25,1206
1738574331,410.41,411.15,1215
1738574398,410.48,412.35,1656
1738574458,411.30,413.30,2327
1738574518,411.43,417.00,2434
1738574579,412.42,419.60,2856
1738574639,414.81,420.60,4338
1738574698,419.17,424.45,7735
1738574758,419.30,423.10,7998
1738574819,419.64,425.10,8551
1738574879,420.82,426.75,10552
1738574939,421.06,423.90,11123
1738574999,422.00,426.10,14345
1738575059,422.32,425.00,15802
1738575119,422.36,423.60,16505
1738575179,422.38,423.70,17004
1738575238,422.80,425.60,20123
1738575299,423.28,429.00,22062
1738575359,423.54,427.50,23507
1738575419,423.58,427.05,23712
1738575479,423.59,426.50,23797
1738575539,423.68,423.10,24941
1738575599,423.68,423.00,25596
1738575659,423.68,425.20,25651
1738575719,423.79,425.75,27106
1738575779,423.83,427.20,27544
1738575838,423.84,425.65,27693
1738575899,423.89,425.00,29569
1738575959,423.87,422.85,30348
1738576019,423.71,422.30,33306
1738576079,423.71,424.90,33767
1738576138,423.74,425.75,34356
1738576199,423.75,425.60,34556
1738576257,423.76,426.25,34641
1738576318,423.76,427.80,34674
1738576379,423.89,429.40,35601
1738576439,424.36,431.05,38092
1738576499,424.41,431.60,38417
1738576559,424.47,428.80,38801
1738576618,424.56,426.75,40258
1738576679,424.57,426.50,40439
1738576739,424.66,425.85,42762
1738576799,424.66,425.00,44132
1738576859,424.66,427.00,44199
1738576918,424.69,429.70,44557
1738576979,424.70,429.95,44664
1738577039,424.79,428.90,45562
1738577099,424.85,428.40,46252
1738577159,424.88,429.00,46683
1738577219,424.89,427.80,46757
1738577279,424.89,427.85,46807
1738577339,424.91,428.30,47059
1738577399,424.93,428.25,47379
1738577459,424.95,427.95,47754
1738577519,424.96,429.85,47819
1738577579,425.00,428.75,48299
1738577637,425.00,427.40,48363
1738577699,425.01,428.00,48507
1738577759,425.01,427.45,48511
1738577819,425.02,427.80,48728
1738577877,425.02,427.80,48728
1738577939,425.02,425.95,49863
1738577999,425.02,425.80,49899
1738578059,425.02,425.80,49899
1738578116,425.03,426.20,50136
1738578179,425.04,426.45,50664
1738578238,425.06,427.55,50977
1738578299,425.07,427.75,51132
1738578359,425.11,426.90,51896
1738578419,425.12,426.90,52135
1738578479,425.12,425.70,52245
1738578539,425.12,425.00,52440
1738578594,425.12,425.20,52711
1738578652,425.12,425.15,52722
1738578719,425.12,425.15,52722
1738578778,425.11,423.85,52903
1738578834,425.11,423.85,52990
1738578897,425.11,424.05,53040
1738578955,425.10,424.80,53579
1738579017,425.10,425.10,53580
1738579074,425.10,425.00,53689
1738579132,425.10,424.95,53856
1738579194,425.10,425.50,54046
1738579259,425.11,427.80,54301
1738579319,425.11,427.85,54353
1738579379,425.16,429.00,55136
1738579437,425.31,430.35,56964
1738579498,425.33,430.45,57143
1738579559,425.35,430.15,57400
1738579619,425.35,429.20,57402
1738579679,425.52,431.95,58857
1738579737,425.53,431.95,58957
1738579799,425.54,430.05,59147
1738579856,425.55,430.25,59267
1738579918,425.56,431.00,59296
1738579978,425.56,429.80,59425
1738580036,425.58,428.80,59656
1738580099,425.58,430.70,59657
1738580159,425.58,430.65,59714
1738580219,425.59,430.30,59730
1738580275,425.59,431.00,59791
1738580339,425.59,431.10,59816
1738580396,425.63,431.40,60146
1738580455,425.65,430.55,60472
1738580516,425.66,430.05,60563
1738580574,425.66,429.35,60617
1738580639,425.66,429.10,60643
1738580699,425.66,429.10,60643
1738580757,425.66,429.10,60643
1738580819,425.66,429.00,60656
1738580875,425.66,428.20,60660
1738580937,425.67,428.95,60778
1738580999,425.67,427.85,60780
1738581059,425.67,427.85,60780
1738581119,425.67,429.00,60805
1738581179,425.68,429.00,60918
1738581239,425.68,429.00,60918
1738581299,425.68,429.00,60918
1738581359,425.89,434.05,62666
1738581416,425.94,432.65,63049
1738581479,426.01,435.85,63542
1738581539,426.04,435.00,63743
1738581599,426.08,434.30,64047
1738581657,426.09,433.30,64159
1738581717,426.09,432.15,64170
1738581779,426.14,434.85,64588
1738581839,426.14,435.00,64591
1738581897,426.18,435.00,64863
1738581959,426.22,437.20,65136
1738582019,426.29,435.20,65622
1738582079,426.32,434.05,65856
1738582138,426.32,434.00,65857
1738582199,426.34,434.30,66045
1738582259,426.34,434.40,66046
1738582319,426.34,434.40,66049
1738582379,426.34,434.00,66054
1738582438,426.36,433.70,66197
1738582498,426.42,433.35,66747
1738582556,426.53,434.45,67835
1738582619,426.53,434.45,67835
1738582676,426.61,433.95,68599
1738582739,426.61,433.95,68599
1738582798,426.61,430.10,68643
1738582859,426.66,432.00,69345
1738582918,426.66,432.00,69345
1738582978,426.71,428.60,72186
1738583039,426.72,429.05,72276
1738583099,426.72,429.05,72276
1738583158,426.72,429.45,72337
1738583213,426.72,429.05,72348
1738583278,426.72,429.05,72348
1738583339,426.72,428.00,72351
1738583399,426.72,427.40,72499
1738583459,426.72,428.70,72501
1738583516,426.72,426.90,72551
1738583578,426.72,428.25,72686
1738583638,426.72,427.10,72688
1738583699,426.72,427.10,72688
1738583759,426.72,427.65,72888
1738583817,426.72,427.65,72888
1738583878,426.72,427.40,72898
1738583939,426.72,428.35,72937
