t,ap,cp,v
1738574390,72.00,72.00,100
1738574446,71.99,71.90,103
1738574485,71.80,71.00,133
1738574550,71.80,71.00,133
1738574690,70.32,69.00,282
1738574747,70.04,69.00,357
1738574762,70.04,69.00,357
1738574845,69.97,69.00,382
1738574892,69.80,69.00,467
1738574982,69.80,69.00,467
1738575097,69.62,68.80,567
1738575201,69.62,68.80,567
1738575292,69.56,68.70,607
1738575348,69.28,74.00,875
1738575415,69.28,74.00,875
1738575471,69.28,74.00,875
1738575526,69.28,74.00,875
1738575540,69.28,74.00,875
1738575652,69.32,73.48,885
1738575707,69.32,73.48,885
1738575776,69.32,73.48,885
1738575796,69.33,73.36,886
1738575899,69.33,73.36,886
1738575929,69.33,73.36,886
1738575994,69.33,73.36,886
1738576103,69.33,73.36,886
1738576146,69.33,73.36,886
1738576259,69.33,73.36,886
1738576376,69.33,73.36,886
1738576556,69.33,73.36,886
1738576621,69.33,73.36,886
1738576726,71.27,73.00,1896
1738576767,71.27,73.00,1896
1738576855,71.29,73.00,1917
1738576872,71.29,73.00,1917
1738576968,71.29,73.00,1917
1738577026,71.29,73.00,1917
1738577100,71.29,73.00,1917
1738577294,71.29,73.00,1917
1738577349,71.29,73.00,1917
1738577474,71.29,73.00,1917
1738577675,71.29,73.00,1917
1738577860,71.29,73.00,1917
1738577948,71.29,72.97,1920
1738578046,71.29,72.97,1920
1738578607,71.33,72.94,1965
1738578689,71.33,72.94,1965
1738578792,71.34,72.90,1980
1738578951,71.34,72.90,1980
1738579623,71.34,72.90,1980
1738579737,71.34,72.90,1980
1738579781,71.34,72.90,1980
1738579887,71.34,72.90,1980
1738580001,71.60,72.87,2380
1738580156,71.60,72.87,2380
1738580519,71.61,72.77,2400
1738580526,71.61,72.77,2400
1738580673,71.61,72.77,2400
1738580716,71.61,72.77,2400
1738580936,71.66,72.77,2502
1738580946,71.67,72.77,2540
1738581030,71.67,72.77,2540
1738581069,71.67,72.77,2540
1738581603,71.67,72.77,2540
1738581888,71.67,72.77,2541
1738581973,71.67,72.77,2541
1738582179,71.67,72.77,2542
1738582216,71.68,72.77,2550
1738582263,71.69,72.00,2624
1738582765,71.69,72.00,2624
1738582918,71.97,74.00,3056
1738582920,71.97,74.00,3056
1738583086,71.97,74.00,3056
1738583569,71.97,74.00,3056
1738583876,71.97,74.00,3056
1738583927,71.97,74.00,3056
1738584229,71.97,74.00,3056
1738584332,71.97,73.89,3058
1738584524,71.97,73.89,3058
1738584827,71.97,72.00,3234
1738584912,71.97,72.00,3234
1738585361,71.97,71.77,3235
1738585437,71.97,71.77,3235
1738585474,71.92,70.00,3373
1738585537,71.52,69.21,3958
1738585676,71.52,69.21,3958
1738585701,71.52,69.21,3958
1738585767,71.52,69.21,3958
1738585830,71.52,69.21,3958
1738585906,71.52,69.21,3958
1738585956,71.52,69.30,3961
1738586003,71.51,69.31,3968
1738586091,71.51,69.31,3968
1738586133,71.51,69.31,3968
1738586331,71.51,69.31,3968
1738586394,71.51,69.31,3968
1738586464,71.51,69.31,3968
1738586548,71.51,69.31,3968
1738586697,71.62,72.99,4263
1738586733,71.62,72.99,4268
1738586807,71.62,72.99,4269
1738586862,71.62,72.99,4269
1738587085,71.62,72.99,4271
1738587166,71.62,72.99,4271
1738587182,71.62,72.99,4271
1738587281,71.62,72.99,4271
1738587304,71.62,72.99,4271
1738587438,71.62,72.99,4271
1738587603,71.62,72.99,4271
1738587747,71.62,72.99,4271
1738587872,71.62,72.99,4271
1738587984,71.62,72.99,4271
1738588718,71.62,72.99,4271
1738589149,71.62,72.99,4271
1738589183,71.62,73.40,4273
1738589318,71.62,73.40,4273
1738589438,71.63,72.99,4300
1738589663,71.63,72.99,4301
1738589991,71.63,72.99,4301
1738590299,71.63,72.99,4301
1738590445,71.63,72.99,4309
1738590579,71.63,72.99,4309
1738590775,71.63,72.99,4309
1738591133,71.63,72.99,4309
1738591163,71.63,72.99,4309
1738591200,71.63,72.99,4309
1738591354,71.63,72.99,4309
1738591679,71.63,72.99,4309
1738591726,71.63,72.99,4309
1738591882,71.63,72.99,4309
1738592707,71.63,72.99,4309
1738592874,71.63,72.99,4309
1738592943,71.63,72.94,4312
1738593216,71.63,72.94,4312
1738593439,71.63,72.94,4312
1738593836,71.63,72.94,4312
1738593983,71.63,72.94,4312
1738594256,71.62,70.25,4368
1738594319,71.62,70.25,4368
1738594635,71.62,70.25,4368
1738594873,71.62,70.25,4368
1738595169,71.62,70.25,4368
1738595329,71.62,72.94,4370
1738595369,71.62,72.94,4370
1738595419,71.64,72.94,4436
1738595505,71.64,72.94,4436
1738595865,71.64,72.94,4446
1738595928,71.64,72.94,4446
1738596036,71.64,72.94,4446
1738596101,71.64,72.94,4446
1738596199,71.64,72.94,4446
1738596263,71.64,72.94,4446
1738596344,71.64,72.94,4446
1738596368,71.64,72.94,4446
1738596525,71.64,72.89,4456
1738596577,71.64,72.89,4456
1738596601,71.64,72.89,4456
1738596674,71.64,72.89,4456
1738597200,71.64,72.89,4456
1738598401,71.64,72.89,4456
1738598477,71.64,72.89,4456
t,ap,cp,v
1738574390,72.00,72.00,100
1738574446,71.99,71.90,103
1738574485,71.80,71.00,133
1738574550,71.80,71.00,133
1738574690,70.32,69.00,282
1738574747,70.04,69.00,357
1738574762,70.04,69.00,357
1738574845,69.97,69.00,382
1738574892,69.80,69.00,467
1738574982,69.80,69.00,467
1738575097,69.62,68.80,567
1738575201,69.62,68.80,567
1738575292,69.56,68.70,607
1738575348,69.28,74.00,875
1738575415,69.28,74.00,875
1738575471,69.28,74.00,875
1738575526,69.28,74.00,875
1738575540,69.28,74.00,875
1738575652,69.32,73.48,885
