t,ap,cp,v
1738573682,737.85,737.85,151
1738573740,737.85,737.85,151
1738574159,733.50,737.00,2546
1738574219,734.14,733.40,3075
1738574279,733.51,730.45,3850
1738574339,733.65,736.00,4624
1738574399,733.68,732.15,5359
1738574459,733.46,732.45,6329
1738574518,733.44,734.00,6638
1738574579,733.45,735.95,6716
1738574639,733.51,737.40,6854
1738574699,733.60,739.10,6981
1738574758,733.90,742.65,7359
1738574819,738.36,748.00,10668
1738574879,739.09,748.25,11506
1738574939,740.22,749.15,12967
1738574999,740.29,744.70,13148
1738575059,740.35,743.65,13347
1738575119,740.39,744.05,13523
1738575179,740.39,745.00,13528
1738575239,740.46,744.75,13711
1738575299,740.49,744.05,13858
1738575359,740.64,742.35,14517
1738575419,740.66,743.75,14615
1738575479,740.44,736.20,17932
1738575539,740.33,737.70,18450
1738575599,740.31,739.10,18807
1738575659,740.31,741.10,18854
1738575719,740.31,739.00,18875
1738575779,740.30,738.50,18930
1738575839,740.31,742.65,18994
1738575899,740.32,742.25,19170
1738575959,740.33,743.05,19333
1738576019,740.36,741.90,19609
1738576079,740.36,740.00,19681
1738576139,740.36,741.05,19692
1738576199,740.36,741.05,19692
1738576257,740.36,741.05,19692
1738576319,740.37,740.80,19704
1738576379,740.37,740.25,20218
1738576439,740.37,742.45,20263
1738576499,740.37,742.45,20263
1738576559,740.38,742.95,20294
1738576619,740.40,742.60,20456
1738576679,740.40,742.60,20456
1738576739,740.40,742.60,20456
1738576799,740.41,744.00,20534
1738576859,740.41,745.10,20535
1738576919,740.43,743.20,20646
1738576979,740.43,745.20,20653
1738577039,740.51,745.20,21040
1738577099,740.54,744.15,21169
1738577159,740.59,741.25,21898
1738577219,740.59,740.20,21942
1738577279,740.59,740.20,21942
1738577339,740.59,741.50,21953
1738577399,740.63,742.95,22336
1738577459,740.63,744.20,22369
1738577519,740.63,744.20,22369
1738577579,740.64,744.70,22421
1738577639,740.66,743.00,22558
1738577699,740.66,743.00,22558
1738577759,740.66,741.15,22623
1738577819,740.66,741.15,22722
1738577877,740.66,742.40,22764
1738577938,740.66,742.40,22764
1738577999,740.66,742.40,22764
1738578059,740.66,739.60,22864
1738578119,740.66,740.70,22872
1738578178,740.66,740.70,22872
1738578239,740.66,740.70,22872
1738578299,740.66,739.25,22902
1738578359,740.66,740.20,22954
1738578419,740.66,740.25,22968
1738578479,740.66,740.35,23038
1738578539,740.66,742.65,23045
1738578599,740.67,743.25,23214
1738578659,740.67,743.20,23239
1738578719,740.68,743.55,23246
1738578779,740.68,743.55,23246
1738578839,740.68,743.55,23246
1738578899,740.68,744.60,23251
1738578959,740.68,745.30,23252
1738579019,740.68,745.30,23252
1738579079,740.68,746.65,23269
1738579139,740.78,746.65,23669
1738579196,740.78,746.00,23684
1738579259,740.81,746.00,23815
1738579319,740.82,744.35,23838
1738579379,740.82,743.00,23888
1738579439,740.82,744.00,23901
1738579499,740.83,745.70,23936
1738579559,740.84,747.65,23961
1738579619,740.84,747.35,23967
1738579679,740.84,746.95,23968
1738579739,740.86,746.15,24072
1738579799,740.87,745.40,24099
1738579859,740.87,747.80,24114
1738579919,740.87,746.75,24120
1738579979,741.03,748.55,24598
1738580039,741.04,747.95,24648
1738580099,741.52,750.00,26064
1738580159,741.52,748.95,26077
1738580219,741.53,750.05,26107
1738580279,741.54,750.05,26138
1738580339,741.54,751.00,26139
1738580399,741.58,751.80,26239
1738580459,742.55,754.85,28800
1738580519,742.58,754.10,28883
1738580579,742.69,751.25,29252
1738580639,742.69,751.25,29252
1738580699,742.70,751.55,29272
1738580759,742.70,751.55,29272
1738580819,742.73,751.65,29363
1738580879,742.76,750.85,29465
1738580937,742.78,750.00,29556
1738580999,742.78,751.90,29566
1738581059,742.95,753.00,30087
1738581119,742.95,753.00,30087
1738581179,742.95,753.00,30087
1738581239,742.95,753.00,30087
1738581298,742.95,753.00,30087
1738581359,742.95,751.50,30097
1738581419,742.95,751.55,30109
1738581479,742.95,751.55,30109
1738581539,742.96,752.80,30121
1738581599,743.05,752.35,30408
1738581657,743.05,752.35,30408
1738581719,743.06,752.55,30425
1738581779,743.07,752.65,30464
1738581839,743.07,752.65,30464
1738581899,743.07,752.65,30464
1738581959,743.07,752.65,30464
1738582019,743.07,752.65,30464
1738582079,743.07,751.85,30476
1738582138,743.30,751.35,31258
1738582199,743.31,750.70,31285
1738582259,743.31,750.95,31291
1738582319,743.31,750.95,31291
1738582379,743.31,750.95,31291
1738582439,743.31,750.95,31291
1738582499,743.31,750.95,31291
1738582555,743.31,751.00,31294
1738582619,743.35,753.50,31450
1738582679,743.35,753.50,31450
1738582739,743.36,751.10,31474
1738582799,743.38,752.95,31551
1738582859,743.39,754.00,31578
1738582919,743.39,753.15,31588
1738582979,743.43,753.90,31703
1738583039,743.43,753.90,31703
1738583099,743.43,753.90,31703
1738583159,743.52,755.00,31953
1738583219,743.52,756.00,31955
1738583279,743.52,755.40,31959
1738583339,743.55,756.00,32046
1738583399,743.59,754.95,32146
1738583459,743.69,756.70,32422
1738583519,743.79,755.50,32672
1738583579,743.82,756.95,32761
1738583639,743.83,757.35,32773
1738583699,744.20,757.50,33688
1738583759,744.22,756.05,33738
1738583819,744.22,756.60,33745
1738583879,744.31,756.60,33969
1738583938,744.31,756.60,33969
1738583999,744.34,756.80,34065
1738584059,744.34,756.80,34065
1738584119,744.40,756.80,34216
1738584179,744.41,756.65,34236
1738584239,744.86,758.15,35347
1738584299,744.86,757.95,35353
1738584359,744.87,757.40,35384
1738584419,745.03,758.90,35799
1738584479,745.04,759.65,35824
1738584539,745.04,759.65,35824
1738584599,745.05,759.65,35838
1738584659,745.05,759.65,35838
1738584719,745.09,758.95,35950
1738584776,745.10,758.95,35976
1738584839,745.12,760.55,36019
1738584899,745.14,759.40,36055
1738584959,745.14,759.40,36055
1738585019,745.14,759.30,36056
1738585079,745.14,759.30,36056
1738585139,745.14,759.20,36065
1738585199,745.22,759.95,36265
1738585259,745.22,759.95,36265
1738585319,745.65,760.50,37328
1738585378,745.65,760.50,37328
1738585439,745.78,755.50,37737
1738585499,746.07,756.50,38933
1738585559,746.12,757.55,39070
1738585619,746.12,758.60,39092
1738585679,746.12,758.60,39093
