t,ap,cp,v
1738577700,24.33,24.33,1719
1738577760,24.33,24.33,1719
1738578450,24.33,24.33,1719
1738578643,24.33,24.69,1719
1738578683,24.33,24.33,1719
1738578772,24.33,24.33,1719
1738578810,24.33,24.33,1719
1738579312,24.33,24.33,1719
1738579501,24.33,24.33,1719
1738579601,24.33,24.33,1719
1738579686,24.33,24.33,1719
1738579772,24.33,24.33,1719
1738580184,24.33,24.34,1719
1738580455,24.33,24.34,1719
1738580482,24.33,24.34,1719
1738580656,24.33,24.34,1719
1738580956,24.33,24.34,1719
1738581119,24.33,24.40,1719
1738581150,24.33,24.33,1719
1738581221,24.33,24.33,1719
1738581251,24.33,24.33,1719
1738581300,24.33,24.33,2035
1738581360,24.33,24.33,2035
1738581611,24.33,24.33,2035
1738582249,24.33,24.69,2035
1738582264,24.33,24.69,2035
1738582336,24.33,24.33,2035
1738582446,24.33,24.33,2035
1738582528,24.33,24.33,2035
1738582951,24.33,24.33,2035
1738583150,24.33,24.33,2035
1738583298,24.33,24.33,2035
1738583372,24.33,24.33,2035
1738583450,24.33,24.33,2035
1738583660,24.33,24.33,2035
1738583751,24.33,24.33,2035
1738583976,24.33,24.33,2035
1738584099,24.33,24.33,2035
1738584412,24.33,24.33,2035
1738584431,24.33,24.33,2035
1738584708,24.33,24.33,2035
1738584846,24.33,24.33,2035
1738584900,24.33,24.33,2800
1738584960,24.33,24.33,2800
1738586147,24.33,24.69,2800
1738586277,24.33,24.70,2800
1738586382,24.33,24.70,2800
1738586618,24.33,24.69,2800
1738586680,24.33,24.69,2800
1738586729,24.33,24.69,2800
1738586805,24.33,24.70,2800
1738586984,24.33,24.70,2800
1738587026,24.33,24.70,2800
1738587651,24.33,24.70,2800
1738588000,24.33,24.70,2800
1738588045,24.33,24.70,2800
1738588116,24.33,24.70,2800
1738588447,24.33,24.70,2800
1738588501,24.51,24.70,5520
1738588561,24.51,24.70,5520
1738589012,24.51,24.70,5520
1738589455,24.51,24.70,5520
1738589550,24.51,24.70,5520
1738589756,24.51,24.70,5520
1738590165,24.51,24.70,5520
1738590254,24.51,24.70,5520
1738590305,24.51,24.70,5520
1738590632,24.51,24.70,5520
1738590792,24.51,24.65,5520
1738591068,24.51,24.65,5520
1738591249,24.51,24.65,5520
1738591492,24.51,24.65,5520
1738591527,24.51,24.65,5520
1738591780,24.51,24.65,5520
1738591836,24.51,24.65,5520
1738591911,24.51,24.65,5520
1738591956,24.51,24.65,5520
1738591985,24.51,24.65,5520
1738592042,24.51,24.65,5520
1738592100,24.55,24.65,7760
1738592160,24.55,24.65,7760
1738592452,24.55,24.65,7760
1738593411,24.55,24.33,7760
1738593421,24.55,24.33,7760
1738593627,24.55,24.65,7760
1738593827,24.55,24.65,7760
1738593924,24.55,24.65,7760
1738594121,24.55,24.65,7760
1738594542,24.55,24.65,7760
1738594668,24.55,24.65,7760
1738594689,24.55,24.65,7760
1738594769,24.55,24.65,7760
1738595004,24.55,24.65,7760
1738595096,24.55,24.65,7760
1738595115,24.55,24.65,7760
1738595202,24.55,24.65,7760
1738595303,24.55,24.65,7760
1738595393,24.55,24.65,7760
1738595404,24.55,24.65,7760
1738595513,24.55,24.65,7760
1738595568,24.55,24.65,7760
1738595673,24.55,24.65,7760
