t,ap,cp,v
1738573634,415.70,415.70,648
1738573740,415.70,415.70,648
1738574159,411.50,410.00,3969
1738574219,411.86,414.10,5062
1738574278,412.25,413.65,6225
1738574337,412.28,412.10,6514
1738574398,412.30,413.05,6772
1738574458,412.29,410.50,6947
1738574519,412.22,411.30,7636
1738574578,412.21,412.35,8099
1738574639,412.19,411.85,8719
1738574698,412.23,413.05,9500
1738574758,412.33,413.95,10437
1738574819,412.33,412.90,10536
1738574879,412.43,415.00,11165
1738574939,413.17,418.40,12720
1738574999,413.41,415.00,13668
1738575059,413.41,413.80,13770
1738575119,413.41,412.60,13799
1738575179,413.34,411.10,14196
1738575238,413.31,411.55,14446
1738575299,413.30,411.50,14534
1738575359,413.21,411.75,15251
1738575419,413.21,412.50,15573
1738575478,413.20,411.55,15656
1738575539,413.16,409.10,15862
1738575599,413.13,409.45,16022
1738575659,413.13,409.45,16022
1738575719,413.10,410.65,16252
1738575778,413.07,413.85,16744
1738575839,413.07,413.65,17008
1738575899,413.07,412.75,17018
1738575959,413.07,413.80,17108
1738576017,413.07,412.60,17211
1738576077,413.06,412.15,17311
1738576139,413.07,413.50,17604
1738576197,413.07,413.20,17606
1738576257,413.07,413.15,17608
1738576319,413.06,412.90,17862
1738576378,413.06,412.15,17898
1738576438,413.05,412.70,18191
1738576499,413.05,412.70,18224
1738576559,413.04,412.25,18329
1738576618,413.04,412.45,18635
1738576679,413.04,412.90,18640
1738576739,413.03,411.90,18799
1738576799,413.02,412.70,18830
1738576859,413.02,412.15,18860
1738576919,413.02,411.85,18992
1738576979,412.98,411.85,19522
1738577039,412.98,412.25,19557
1738577098,412.98,411.35,19677
1738577158,412.97,411.50,19756
1738577219,412.96,412.05,19885
1738577278,412.96,412.45,19936
1738577339,412.96,412.85,20449
1738577398,412.95,412.20,20516
1738577459,412.95,413.00,20937
1738577519,412.94,412.60,21461
1738577579,412.94,412.40,21627
1738577639,412.91,411.30,21991
1738577699,412.91,411.70,21994
1738577759,412.91,412.10,21996
1738577819,412.87,409.50,22337
1738577876,412.83,409.00,22581
1738577939,412.75,409.45,23176
1738577999,412.73,410.25,23316
1738578058,412.70,408.65,23546
1738578119,412.67,409.90,23749
1738578179,412.52,409.45,24662
1738578239,412.52,409.55,24663
1738578297,412.51,409.30,24715
1738578359,412.51,409.00,24720
1738578417,412.50,409.10,24781
1738578479,412.49,408.70,24848
1738578539,412.47,409.05,25011
1738578597,412.46,409.85,25106
1738578658,412.39,409.85,25709
1738578718,412.35,409.60,26149
1738578778,412.35,409.15,26153
1738578838,412.34,409.15,26203
1738578899,412.34,409.85,26213
1738578959,412.27,409.70,27045
1738579019,412.26,409.55,27066
1738579078,412.26,409.50,27067
1738579139,412.21,408.95,27421
1738579199,412.15,407.80,27822
1738579259,412.15,408.45,27847
1738579319,412.13,409.85,28014
1738579379,412.11,409.20,28159
1738579435,412.11,409.20,28199
1738579499,412.09,409.15,28390
1738579559,412.08,409.45,28489
1738579617,412.08,409.25,28499
1738579678,412.08,409.35,28519
1738579739,412.08,409.35,28519
1738579799,412.07,409.10,28619
1738579859,412.07,408.90,28629
1738579918,412.03,408.45,28926
1738579978,412.03,408.45,28926
1738580038,412.03,408.45,28926
1738580099,412.03,408.75,28946
1738580159,412.03,408.75,28946
1738580219,412.03,408.75,28956
1738580279,412.03,409.40,28959
1738580338,412.00,409.30,29243
1738580399,412.00,409.30,29243
1738580458,412.00,410.00,29288
1738580519,412.00,409.75,29319
1738580579,412.00,409.75,29331
1738580639,411.99,409.55,29446
1738580696,411.98,409.75,29464
1738580759,411.98,409.90,29467
1738580818,411.96,409.50,29717
1738580879,411.96,409.60,29806
1738580937,411.96,409.85,29807
1738580999,411.95,409.10,29877
1738581056,411.95,409.60,29878
1738581119,411.95,409.60,29878
1738581179,411.94,409.10,29940
1738581239,411.94,409.60,29991
1738581299,411.94,409.60,29992
1738581358,411.93,409.70,30091
1738581413,411.93,409.10,30105
1738581478,411.93,409.90,30123
1738581536,411.93,409.80,30170
1738581599,411.92,409.45,30192
1738581654,411.92,409.35,30214
1738581717,411.92,409.10,30217
1738581778,411.92,409.00,30282
1738581839,411.92,409.35,30283
1738581899,411.91,408.85,30333
1738581959,411.91,408.85,30333
1738582019,411.91,408.85,30333
1738582078,411.91,408.05,30345
1738582139,411.90,407.95,30452
1738582199,411.89,408.00,30478
1738582259,411.89,408.50,30483
1738582319,411.89,408.60,30487
1738582378,411.89,408.60,30487
1738582439,411.89,407.80,30510
1738582498,411.89,407.80,30510
1738582558,411.89,407.80,30511
1738582619,411.89,407.55,30535
1738582675,411.88,407.55,30538
1738582735,411.87,407.85,30682
1738582799,411.87,407.60,30687
1738582857,411.86,408.05,30693
1738582919,411.86,407.80,30699
1738582974,411.73,407.05,31606
1738583038,411.72,406.00,31621
1738583098,411.69,405.05,31771
1738583159,411.66,406.45,31978
1738583215,411.65,407.90,32082
1738583279,411.62,407.90,32284
1738583338,411.62,407.30,32338
1738583399,411.62,407.75,32343
1738583459,411.59,407.50,32548
1738583519,411.59,407.50,32548
1738583578,411.59,407.50,32548
1738583638,411.59,408.00,32598
1738583697,411.59,408.00,32598
