t,ap,cp,v
1738573729,3851.25,3851.25,10
1738573741,3851.25,3851.25,10
1738574159,3890.63,3898.55,145
1738574219,3885.11,3854.80,262
1738574279,3881.20,3878.45,356
1738574339,3876.57,3860.20,453
1738574399,3875.52,3856.50,535
1738574459,3876.43,3884.80,564
1738574519,3876.46,3877.65,566
1738574578,3877.34,3894.15,609
1738574639,3877.82,3884.55,639
1738574699,3878.67,3885.00,693
1738574759,3878.74,3893.90,718
1738574819,3881.14,3907.25,783
1738574879,3881.39,3911.35,790
1738574939,3881.49,3918.80,792
1738574999,3883.60,3920.00,837
1738575059,3884.14,3894.20,864
1738575119,3884.35,3903.75,889
1738575179,3884.36,3887.00,891
1738575239,3884.32,3880.00,925
1738575299,3884.33,3880.00,948
1738575359,3884.19,3874.00,973
1738575419,3884.14,3879.35,984
1738575479,3881.81,3859.45,1126
1738575539,3878.33,3844.00,1263
1738575599,3877.94,3843.80,1279
1738575659,3877.41,3857.50,1312
1738575719,3877.29,3861.15,1319
1738575779,3877.29,3861.15,1319
1738575839,3877.03,3861.15,1341
1738575899,3877.10,3880.00,1373
1738575959,3877.11,3883.90,1378
1738576019,3877.18,3890.00,1409
1738576079,3877.27,3882.70,1430
1738576139,3877.53,3895.00,1451
1738576199,3877.53,3895.00,1451
1738576259,3877.53,3895.00,1451
1738576319,3877.53,3895.00,1451
1738576379,3877.63,3885.00,1467
1738576439,3877.78,3885.40,1499
1738576499,3877.78,3885.40,1499
1738576559,3877.85,3882.30,1534
1738576619,3877.85,3882.30,1534
1738576679,3877.90,3875.05,1573
1738576739,3877.90,3872.40,1576
1738576799,3877.88,3877.00,1596
1738576859,3877.59,3867.60,1695
1738576919,3877.56,3879.15,1708
1738576979,3877.53,3876.25,1730
1738577039,3877.52,3872.60,1736
1738577099,3877.51,3873.85,1738
1738577159,3877.50,3873.85,1743
1738577219,3877.50,3873.85,1743
1738577279,3877.50,3879.90,1748
1738577339,3877.49,3868.65,1753
1738577399,3877.38,3855.20,1765
1738577459,3877.37,3877.55,1770
1738577519,3877.37,3880.30,1771
1738577579,3877.35,3869.50,1777
1738577639,3877.32,3877.80,1791
1738577699,3877.24,3869.00,1809
1738577759,3875.15,3850.60,1972
1738577819,3874.81,3847.00,2001
1738577879,3874.46,3858.20,2031
1738577939,3874.45,3856.95,2032
1738577998,3874.31,3856.95,2048
1738578059,3874.31,3856.95,2048
1738578119,3874.21,3863.15,2065
1738578179,3874.20,3862.30,2067
1738578239,3874.16,3855.80,2073
1738578299,3874.15,3860.90,2074
1738578359,3873.72,3860.00,2126
1738578419,3873.60,3860.90,2146
1738578479,3873.60,3860.90,2146
1738578539,3873.59,3859.10,2147
1738578599,3873.48,3848.05,2157
1738578659,3873.46,3862.15,2159
1738578719,3873.46,3868.30,2160
1738578779,3873.46,3864.60,2161
1738578839,3873.00,3862.60,2261
1738578899,3872.99,3867.70,2267
1738578959,3873.41,3883.15,2383
1738579018,3873.41,3883.15,2383
1738579078,3873.42,3879.45,2385
1738579139,3873.42,3879.45,2385
1738579199,3873.37,3872.00,2460
1738579259,3873.37,3872.00,2460
1738579319,3873.67,3885.00,2525
1738579379,3873.68,3891.00,2526
1738579438,3874.12,3894.85,2592
1738579499,3874.14,3895.00,2595
1738579559,3874.41,3907.60,2615
1738579618,3874.76,3906.70,2644
1738579679,3874.76,3906.70,2644
1738579739,3874.86,3906.70,2652
1738579799,3875.02,3897.35,2671
1738579859,3875.02,3897.35,2671
1738579919,3875.02,3897.35,2671
1738579979,3875.35,3902.50,2710
1738580039,3875.35,3902.50,2710
