t,ap,cp,v
1738573635,331.90,331.90,40
1738573740,331.90,331.90,40
1738574158,331.81,330.00,43
1738574219,329.42,326.50,87
1738574279,326.19,325.90,397
1738574338,326.19,326.20,422
1738574397,326.19,325.35,424
1738574459,326.08,323.65,446
1738574519,326.08,323.65,446
1738574573,326.08,323.65,446
1738574638,326.08,323.65,446
1738574699,324.97,322.80,698
1738574759,324.80,323.75,795
1738574814,324.78,325.00,1356
1738574878,324.79,326.85,1361
1738574939,324.81,326.75,1377
1738574996,324.81,326.75,1377
1738575059,324.81,324.45,1390
1738575118,324.81,324.45,1390
1738575170,324.73,323.65,1493
1738575235,324.73,323.65,1493
1738575299,324.73,321.95,1494
1738575357,324.73,321.95,1494
1738575419,324.73,321.95,1494
1738575477,324.36,321.90,1635
1738575539,324.36,321.10,1636
1738575598,323.86,320.80,1846
1738575659,323.86,320.80,1846
1738575719,323.86,320.80,1846
1738575779,323.86,320.80,1846
1738575837,323.86,320.80,1846
1738575899,323.75,323.55,1965
1738575959,323.68,321.00,2056
1738576011,323.68,321.00,2056
1738576077,323.67,321.20,2066
1738576138,323.67,321.20,2066
1738576199,323.53,320.05,2146
1738576258,323.53,320.05,2146
1738576319,323.52,322.25,2163
1738576375,323.52,322.25,2163
1738576438,323.52,322.25,2163
1738576499,323.52,322.25,2163
1738576559,323.52,322.25,2163
1738576613,323.52,322.25,2163
1738576679,323.39,320.55,2263
1738576737,322.90,320.00,2702
1738576798,322.88,320.55,2724
1738576856,322.88,320.55,2724
1738576900,322.48,320.50,3275
1738576978,322.48,320.50,3275
1738577038,322.48,320.50,3275
1738577098,322.48,320.50,3275
1738577158,322.48,320.50,3275
1738577219,322.48,320.50,3275
1738577279,322.48,320.50,3275
1738577335,322.48,320.50,3275
1738577397,322.48,320.50,3275
1738577459,322.48,322.75,3295
1738577519,322.48,322.75,3295
1738577578,322.48,322.75,3295
1738577639,322.48,323.05,3306
1738577698,322.48,323.05,3306
1738577758,322.46,322.05,3443
1738577818,322.46,322.05,3443
1738577879,322.46,321.25,3468
1738577939,322.46,321.25,3468
1738577999,322.46,321.25,3468
1738578059,322.46,321.25,3468
1738578118,322.46,321.25,3468
1738578177,322.46,322.20,3469
1738578239,322.46,322.20,3469
1738578299,322.46,322.20,3469
1738578356,322.46,322.20,3469
1738578419,322.46,322.20,3469
1738578475,322.40,320.30,3580
1738578539,322.40,319.50,3590
1738578599,322.34,318.00,3640
1738578659,322.07,320.20,4037
1738578719,322.07,320.20,4037
1738578779,322.06,319.55,4056
1738578832,322.06,319.55,4056
1738578897,322.06,319.55,4056
1738578959,322.06,319.55,4056
1738579018,322.06,319.55,4056
1738579079,322.06,319.55,4056
1738579138,322.05,320.30,4072
1738579181,322.04,320.05,4097
1738579259,321.97,319.45,4209
1738579318,321.97,320.45,4219
1738579378,321.97,320.45,4219
1738579439,321.95,320.75,4258
1738579492,321.95,320.75,4258
1738579559,321.95,320.75,4258
1738579618,321.95,320.75,4258
1738579677,321.95,320.75,4258
1738579739,321.95,320.75,4258
1738579798,321.93,320.85,4359
1738579854,321.93,320.85,4359
1738579910,321.93,320.85,4359
1738579976,321.93,320.85,4359
1738580037,321.93,320.85,4359
1738580099,321.93,320.85,4359
1738580159,321.93,320.85,4359
1738580218,321.93,320.85,4359
1738580279,321.93,320.85,4359
1738580335,321.93,320.85,4359
1738580394,321.93,320.85,4359
1738580458,321.93,320.85,4359
1738580516,321.93,320.85,4359
1738580572,321.93,320.85,4359
1738580639,321.93,320.85,4359
1738580699,321.93,320.50,4361
1738580758,321.93,320.50,4361
1738580817,321.93,320.50,4361
1738580873,321.93,320.50,4361
1738580930,321.93,320.50,4361
1738580998,321.87,320.45,4531
1738581059,321.87,320.45,4531
1738581117,321.87,321.40,4532
1738581179,321.87,321.40,4532
1738581237,321.87,321.40,4532
1738581297,321.87,321.40,4532
1738581358,321.87,321.40,4532
1738581416,321.87,321.40,4532
1738581472,321.89,322.45,4669
1738581539,321.89,322.45,4669
1738581599,321.90,323.35,4699
1738581655,321.90,323.35,4699
1738581715,321.90,323.35,4699
1738581779,321.90,323.35,4699
1738581839,321.90,323.35,4699
1738581898,321.90,323.35,4699
1738581956,321.90,323.35,4699
1738582019,321.90,323.35,4699
1738582079,321.90,323.35,4699
1738582139,321.90,321.10,4701
1738582183,321.90,321.10,4701
1738582258,321.90,321.80,4702
1738582319,321.90,321.80,4702
1738582379,321.90,321.80,4702
1738582437,321.90,321.80,4702
1738582486,321.90,321.80,4702
1738582557,321.90,321.80,4702
1738582619,321.90,321.80,4702
1738582675,321.90,321.80,4702
1738582738,321.90,321.80,4702
1738582799,321.90,321.80,4702
1738582858,321.88,319.95,4732
1738582918,321.88,319.95,4732
1738582979,321.88,319.95,4732
1738583039,321.85,319.50,4795
1738583097,321.85,319.50,4795
1738583159,321.85,319.50,4795
1738583219,321.85,319.50,4795
1738583278,321.85,319.50,4795
1738583339,321.85,319.50,4795
1738583397,321.85,319.50,4795
1738583459,321.85,319.50,4795
1738583516,321.85,319.50,4795
1738583579,321.85,319.50,4795
1738583639,321.85,319.50,4795
1738583699,321.85,319.50,4801
1738583757,321.85,319.50,4803
1738583812,321.85,319.50,4803
1738583878,321.85,319.50,4803
1738583937,321.85,319.50,4803
1738583997,321.85,319.50,4803
1738584058,321.85,319.50,4803
1738584119,321.85,319.50,4803
1738584161,321.85,319.50,4803
1738584233,321.85,319.50,4803
1738584298,321.85,319.50,4803
1738584358,321.84,319.55,4814
1738584419,321.84,319.55,4814
