t,ap,cp,v
1738573635,1424.80,1424.80,194
1738573682,1424.80,1424.80,194
1738573766,1424.80,1424.80,194
1738573927,1424.80,1424.80,194
1738574159,1411.99,1402.15,2299
1738574219,1409.22,1408.20,3737
1738574279,1409.95,1414.55,4336
1738574339,1410.05,1411.90,4582
1738574399,1410.02,1407.50,4645
1738574459,1409.64,1402.85,4939
1738574518,1409.19,1404.65,5204
1738574578,1409.12,1406.25,5291
1738574639,1409.07,1407.15,5346
1738574698,1409.07,1408.05,5365
1738574758,1409.10,1417.40,5586
1738574819,1409.33,1424.80,5694
1738574879,1411.41,1430.00,6405
1738574939,1411.90,1427.30,6586
1738574999,1415.86,1427.05,9912
1738575059,1415.99,1422.60,10123
1738575119,1415.99,1422.95,10127
1738575179,1416.02,1422.35,10177
1738575239,1416.19,1422.40,10591
1738575299,1416.21,1422.40,10626
1738575359,1416.21,1422.40,10626
1738575419,1416.29,1422.95,10752
1738575479,1416.35,1423.90,10854
1738575539,1416.36,1422.00,10864
1738575599,1416.39,1425.20,10918
1738575659,1416.47,1427.95,10998
1738575719,1416.51,1427.00,11027
1738575779,1416.92,1431.85,11363
1738575839,1416.95,1431.05,11387
1738575899,1416.97,1428.00,11399
1738575959,1417.04,1427.75,11493
1738576019,1417.40,1421.60,12172
1738576079,1417.42,1420.00,12272
1738576139,1417.45,1421.10,12366
1738576199,1417.49,1421.90,12466
1738576257,1417.54,1423.10,12589
1738576316,1417.67,1426.75,12780
1738576379,1417.69,1421.60,12823
1738576439,1417.73,1420.40,13025
1738576499,1417.77,1421.65,13140
1738576558,1417.77,1422.40,13147
1738576619,1417.78,1424.00,13173
1738576679,1417.92,1424.15,13477
1738576739,1417.94,1420.40,13538
1738576799,1417.94,1418.05,13586
1738576859,1417.94,1418.10,13608
1738576919,1417.94,1418.10,13608
1738576979,1417.94,1418.00,13629
1738577039,1417.93,1417.80,13696
1738577099,1417.87,1414.00,14173
1738577159,1417.75,1416.70,14556
1738577219,1417.75,1416.45,14558
1738577279,1417.75,1416.50,14583
1738577339,1417.75,1416.50,14583
1738577399,1417.75,1415.30,14611
1738577459,1417.75,1419.15,14814
1738577519,1417.75,1418.25,14847
1738577579,1417.74,1416.00,14978
1738577639,1417.74,1415.75,15011
1738577699,1417.74,1415.75,15011
1738577759,1417.74,1415.75,15011
1738577819,1417.74,1419.20,15027
1738577877,1417.74,1420.25,15034
1738577939,1417.71,1415.15,15179
1738577999,1417.71,1414.50,15209
1738578059,1417.71,1414.50,15209
1738578119,1417.70,1416.45,15280
1738578179,1417.70,1416.50,15282
1738578239,1417.70,1416.50,15282
1738578299,1417.70,1416.50,15282
1738578359,1417.70,1416.45,15288
