t,ap,cp,v
1738573646,3447.50,3447.50,1839
1738573685,3447.50,3447.50,1839
1738573740,3447.50,3447.50,1839
1738574159,3393.71,3363.00,5284
1738574219,3389.79,3341.00,6011
1738574279,3369.54,3321.00,9793
1738574339,3366.18,3335.90,10580
1738574399,3363.12,3338.10,11755
1738574459,3360.46,3337.75,12681
1738574519,3359.71,3326.40,13039
1738574579,3359.08,3325.15,13337
1738574639,3357.68,3328.95,13912
1738574698,3355.94,3323.15,14754
1738574759,3355.07,3331.05,15202
1738574819,3354.86,3335.00,15346
1738574879,3354.57,3338.55,15594
1738574939,3354.35,3341.00,15847
1738574999,3353.79,3336.00,16436
1738575059,3352.46,3324.60,17247
1738575119,3350.88,3315.40,18069
1738575179,3349.93,3320.45,18605
1738575239,3348.58,3309.00,19351
1738575298,3347.08,3309.50,20114
1738575359,3346.19,3302.75,20537
1738575419,3343.88,3299.95,21653
1738575479,3343.24,3297.60,21967
1738575539,3342.80,3301.10,22191
1738575599,3341.58,3301.00,22813
1738575659,3340.61,3300.00,23347
1738575719,3339.69,3299.60,23872
1738575779,3339.23,3300.00,24150
1738575839,3338.96,3302.00,24327
1738575899,3338.35,3301.05,24714
1738575959,3336.36,3300.00,25964
1738576017,3334.86,3300.00,27043
1738576079,3334.36,3300.25,27421
1738576139,3333.72,3301.10,27905
1738576199,3333.27,3298.20,28266
1738576259,3332.16,3301.55,29189
1738576319,3331.72,3300.95,29603
1738576379,3331.51,3302.40,29812
1738576439,3331.31,3304.45,30019
1738576499,3331.07,3312.80,30361
1738576559,3330.97,3322.85,30700
1738576619,3330.72,3325.00,32248
1738576679,3330.48,3320.10,33395
1738576739,3330.29,3318.00,34099
1738576799,3330.25,3322.45,34224
1738576859,3330.22,3325.95,34387
1738576919,3330.17,3326.55,34800
1738576979,3330.16,3325.00,34878
1738577039,3330.14,3325.50,35186
1738577099,3330.13,3327.20,35266
1738577159,3330.06,3320.00,35732
1738577219,3330.05,3320.00,35766
1738577279,3330.05,3319.95,35769
1738577339,3330.01,3315.45,35873
1738577399,3329.91,3310.65,36093
1738577459,3329.56,3310.40,36875
1738577519,3329.48,3314.50,37050
1738577579,3329.41,3315.20,37227
1738577639,3329.26,3312.55,37565
1738577699,3329.24,3313.75,37613
1738577759,3329.15,3305.00,37774
1738577819,3328.28,3301.55,38953
1738577879,3327.39,3293.45,40024
1738577939,3326.64,3291.00,40855
1738577999,3326.30,3293.60,41247
1738578059,3325.98,3287.70,41626
1738578119,3325.88,3295.75,41755
1738578179,3325.78,3293.50,41893
1738578239,3325.69,3296.45,42016
1738578299,3325.57,3291.90,42169
1738578359,3325.55,3295.25,42204
1738578419,3325.49,3294.85,42287
1738578479,3325.34,3295.55,42491
1738578539,3325.10,3298.30,42861
1738578599,3324.99,3298.65,43014
1738578659,3324.88,3300.45,43210
1738578719,3324.83,3303.15,43310
1738578779,3324.69,3295.00,43529
1738578839,3324.68,3301.20,43557
1738578898,3324.67,3301.20,43568
1738578959,3324.60,3301.45,43707
1738579019,3324.55,3300.55,43809
1738579079,3324.42,3299.00,44015
1738579139,3324.32,3299.05,44172
1738579199,3324.32,3299.05,44176
1738579259,3324.23,3299.70,44338
1738579319,3323.73,3293.00,45173
1738579379,3323.71,3302.85,45220
1738579439,3323.68,3300.00,45276
1738579499,3323.60,3301.50,45441
1738579559,3323.54,3299.00,45569
1738579619,3322.59,3300.05,47475
1738579679,3317.59,3298.70,60978
1738579739,3317.54,3301.20,61136
1738579799,3317.53,3300.50,61172
1738579859,3317.51,3299.00,61237
1738579919,3317.45,3295.30,61406
1738579979,3317.44,3296.80,61450
1738580039,3317.22,3290.00,61960
1738580099,3317.18,3296.00,62033
