t,ap,cp,v
1738573654,578.15,578.15,294
1738573682,578.15,578.15,294
1738573740,578.15,578.15,294
1738574159,573.06,569.75,1630
1738574219,572.57,569.05,2559
1738574279,571.94,567.00,3020
1738574339,571.18,567.95,3608
1738574399,570.93,567.10,3875
1738574459,570.58,568.00,4629
1738574519,569.72,567.50,6104
1738574579,569.57,568.10,6697
1738574639,569.57,568.65,6708
1738574697,569.27,567.15,7769
1738574759,568.44,568.45,9777
1738574819,568.61,570.00,11027
1738574879,568.65,572.00,11215
1738574939,568.67,571.90,11286
1738574999,568.70,572.25,11392
1738575059,568.72,570.80,11516
1738575119,568.72,571.45,11543
1738575179,568.76,571.10,11710
1738575239,568.81,571.00,11922
1738575297,568.81,571.05,11925
1738575359,568.83,570.00,12051
1738575419,568.85,567.75,12580
1738575479,568.84,566.75,12677
1738575539,568.83,567.30,12799
1738575599,568.48,562.40,13601
1738575659,568.08,561.20,14430
1738575719,567.33,559.50,16094
1738575779,567.26,558.40,16216
1738575839,566.38,560.00,17992
1738575899,566.38,560.05,18000
1738575959,566.36,560.95,18063
1738576017,566.33,562.70,18197
1738576079,566.30,564.85,18371
1738576139,566.27,563.00,18530
1738576199,566.14,561.50,19058
1738576259,566.07,561.65,19305
1738576319,566.00,561.65,19649
1738576379,565.93,560.00,19905
1738576439,565.89,560.70,20064
1738576499,565.86,562.00,20220
1738576559,565.84,561.70,20312
1738576619,565.84,562.05,20325
1738576679,565.81,563.00,20518
1738576739,565.80,561.80,20580
1738576799,565.78,564.00,20800
1738576859,565.78,563.60,20809
1738576919,565.77,564.05,20830
1738576979,565.77,563.05,20876
1738577039,565.75,562.65,20978
1738577099,565.75,562.50,20988
1738577159,565.75,562.50,20988
1738577219,565.75,565.05,21074
1738577279,565.72,564.30,21782
1738577338,565.72,565.10,21794
1738577399,565.72,565.35,21805
1738577459,565.71,565.50,22080
1738577519,565.71,565.50,22080
1738577579,565.71,565.85,22102
1738577639,565.71,565.70,22180
1738577699,565.71,565.00,22197
1738577759,565.69,565.00,22583
1738577819,565.69,565.00,22583
1738577879,565.69,565.00,22583
1738577939,565.69,565.00,22583
1738577999,565.69,565.80,22584
