t,ap,cp,v
1738573660,847.00,847.00,858
1738573682,847.00,847.00,858
1738573740,847.00,847.00,858
1738574159,840.21,835.50,2307
1738574219,839.13,835.30,3723
1738574279,832.45,835.50,8097
1738574337,832.66,834.00,9200
1738574399,832.67,835.10,9247
1738574459,832.86,836.35,9620
1738574519,832.95,836.10,9902
1738574579,832.95,836.95,9915
1738574639,833.16,836.05,10513
1738574699,833.30,838.00,10890
1738574759,833.47,839.65,11224
1738574819,833.62,839.65,11489
1738574879,833.65,841.80,11548
1738574939,833.68,840.50,11592
1738574999,833.73,839.90,11687
1738575059,833.91,839.20,12100
1738575119,834.11,840.90,12529
1738575179,834.14,839.90,12576
1738575239,834.16,836.40,12661
1738575299,834.17,836.30,12682
1738575359,834.19,833.50,13088
1738575419,834.17,832.45,13269
1738575479,834.16,831.00,13326
1738575539,834.09,831.15,13674
1738575599,833.97,831.75,14143
1738575659,833.96,832.30,14186
1738575719,833.73,832.90,16201
1738575779,833.73,833.55,16215
1738575839,833.73,833.55,16215
1738575899,833.73,833.55,16216
1738575959,833.73,831.05,16219
1738576019,833.73,831.05,16219
1738576079,833.72,831.45,16283
1738576139,833.71,832.20,16394
1738576199,833.70,830.50,16410
1738576258,833.69,831.35,16476
1738576319,833.60,830.40,17117
1738576379,833.59,829.50,17173
1738576439,833.58,829.40,17215
1738576499,833.58,829.95,17236
1738576559,833.57,830.55,17282
1738576619,833.56,830.40,17294
1738576679,833.56,830.40,17294
1738576739,833.56,828.65,17319
1738576799,833.55,827.90,17350
1738576859,833.55,827.40,17353
1738576919,833.50,828.55,17489
1738576979,833.40,829.20,17852
1738577039,833.32,827.00,18126
1738577099,833.32,827.00,18126
1738577159,833.30,827.60,18179
1738577219,833.26,826.70,18267
1738577279,833.19,827.60,18580
1738577339,833.19,827.60,18580
1738577399,833.17,828.85,18692
1738577459,833.15,830.65,18748
1738577519,833.15,830.00,18759
1738577579,833.15,830.55,18783
1738577639,833.14,829.35,18841
1738577699,833.09,832.00,19201
1738577759,833.09,831.30,19276
1738577818,833.09,831.30,19276
1738577879,833.09,831.30,19276
1738577939,833.08,830.90,19301
1738577999,833.08,830.00,19337
1738578059,833.08,830.00,19337
1738578119,833.08,830.00,19337
