t,ap,cp,v
1738573682,6239.75,6239.75,20
1738573741,6239.75,6239.75,20
1738574159,6232.36,6188.30,27
1738574219,6210.00,6177.25,62
1738574278,6205.94,6172.60,71
1738574339,6204.33,6188.05,78
1738574399,6204.33,6188.05,78
1738574459,6203.37,6166.00,80
1738574518,6195.64,6145.05,94
1738574579,6192.50,6152.55,101
1738574639,6192.50,6152.55,101
1738574694,6192.21,6184.30,108
1738574759,6192.33,6194.95,113
1738574819,6196.27,6226.15,141
1738574879,6196.27,6226.15,141
1738574939,6197.32,6205.05,154
1738574999,6197.33,6197.55,156
1738575058,6197.19,6190.05,159
1738575119,6197.25,6206.25,160
1738575178,6197.25,6206.25,160
1738575238,6193.86,6162.60,187
1738575299,6191.98,6155.05,197
1738575359,6191.98,6155.05,197
1738575419,6189.72,6168.85,211
1738575478,6187.22,6152.90,227
1738575539,6175.41,6161.40,338
1738575599,6175.02,6161.05,345
1738575659,6175.19,6182.45,356
1738575719,6175.10,6160.90,359
1738575779,6175.21,6179.95,367
1738575839,6175.21,6179.95,367
1738575899,6175.21,6179.95,367
1738575959,6174.88,6158.35,376
1738576019,6172.28,6158.30,446
1738576079,6172.28,6158.30,446
1738576138,6172.26,6166.00,447
1738576199,6172.26,6166.00,447
1738576257,6172.26,6166.00,447
1738576319,6172.26,6166.00,447
1738576379,6172.26,6166.00,447
1738576439,6172.13,6141.70,449
1738576498,6172.13,6141.70,449
1738576559,6172.13,6141.70,449
1738576616,6172.13,6141.70,449
1738576675,6172.13,6141.70,449
1738576736,6172.06,6143.00,450
1738576799,6171.67,6145.50,458
1738576858,6171.11,6150.00,470
1738576918,6168.47,6150.00,533
1738576978,6168.47,6150.00,533
1738577038,6168.40,6148.95,535
1738577098,6168.05,6152.45,547
1738577158,6168.05,6152.45,547
1738577217,6168.04,6162.40,548
1738577278,6168.04,6162.40,548
1738577339,6167.97,6150.10,550
1738577399,6167.97,6150.10,550
1738577456,6167.97,6150.10,550
1738577519,6167.97,6150.10,550
1738577579,6167.80,6162.25,564
1738577638,6167.80,6162.25,564
1738577699,6167.80,6162.25,564
1738577759,6167.70,6145.80,569
1738577817,6167.70,6145.80,569
1738577876,6167.70,6145.80,569
1738577920,6167.70,6145.80,569
1738577994,6167.70,6145.80,569
1738578058,6167.21,6143.15,581
1738578119,6167.21,6143.15,581
1738578179,6167.21,6143.15,581
1738578239,6167.21,6143.15,581
1738578299,6167.21,6143.15,581
1738578356,6167.21,6143.15,581
1738578418,6167.21,6166.05,582
1738578479,6167.21,6166.05,582
1738578539,6167.21,6166.05,582
1738578599,6166.80,6142.55,592
1738578659,6166.80,6142.55,592
1738578719,6166.80,6142.55,592
1738578778,6166.80,6142.55,592
1738578838,6166.80,6142.55,592
1738578899,6166.69,6163.35,607
1738578957,6166.69,6163.35,607
1738579017,6166.59,6162.45,619
1738579079,6166.55,6145.10,620
1738579139,6166.45,6145.15,623
1738579199,6166.45,6145.15,623
1738579258,6166.45,6145.15,623
1738579318,6166.45,6145.15,623
1738579375,6166.30,6156.10,632
1738579437,6166.29,6162.45,633
1738579499,6166.29,6162.45,633
1738579559,6166.29,6162.45,633
1738579617,6166.29,6162.45,633
1738579678,6166.28,6160.95,634
1738579733,6166.28,6163.60,635
1738579799,6166.22,6164.25,650
1738579858,6166.22,6164.25,650
1738579919,6166.20,6152.60,652
1738579979,6166.20,6152.60,652
1738580037,6166.20,6152.60,652
1738580098,6166.20,6152.60,652
1738580155,6166.07,6157.55,662
1738580217,6166.07,6157.55,662
1738580275,6166.07,6157.55,662
1738580333,6166.07,6157.55,662
1738580398,6166.07,6157.55,662
1738580459,6166.06,6159.10,663
1738580519,6166.06,6159.10,663
1738580578,6166.06,6159.10,663
1738580639,6166.06,6159.10,663
1738580698,6166.06,6167.25,664
1738580757,6166.06,6167.25,664
1738580817,6166.06,6167.25,664
1738580876,6166.01,6157.55,668
1738580939,6165.72,6147.55,679
1738580999,6165.72,6147.55,679
1738581058,6165.72,6147.55,679
1738581101,6165.72,6147.55,679
1738581179,6165.72,6147.55,679
1738581239,6165.72,6147.55,679
1738581299,6165.72,6147.55,679
1738581359,6165.55,6159.75,694
1738581419,6165.55,6159.75,694
1738581478,6165.54,6155.80,695
1738581537,6165.54,6155.80,695
1738581598,6165.54,6155.80,695
1738581658,6165.42,6157.50,706
1738581719,6165.42,6157.50,706
1738581772,6165.42,6157.50,706
1738581837,6165.42,6157.50,706
1738581898,6165.42,6157.50,706
1738581957,6165.42,6157.50,706
1738582018,6165.42,6157.50,706
1738582078,6165.42,6157.50,706
1738582139,6165.42,6157.50,706
1738582199,6165.19,6142.00,713
1738582254,6165.19,6142.00,713
1738582318,6165.19,6142.00,713
1738582379,6165.09,6140.00,716
1738582437,6165.09,6140.00,716
1738582497,6165.09,6140.00,716
1738582558,6165.09,6140.00,716
1738582619,6165.09,6140.00,716
1738582679,6164.50,6136.00,731
1738582738,6164.50,6136.00,731
1738582797,6164.46,6135.50,732
1738582859,6164.42,6135.50,733
1738582919,6163.57,6132.55,753
1738582974,6163.53,6130.00,754
1738583035,6163.48,6130.00,755
1738583099,6163.48,6130.00,755
1738583159,6163.48,6130.00,755
1738583217,6163.48,6130.00,755
1738583277,6163.48,6130.00,755
1738583333,6163.43,6125.00,756
1738583399,6163.43,6125.00,756
1738583451,6163.28,6125.00,759
1738583515,6162.86,6132.45,769
1738583576,6162.86,6132.45,769
1738583637,6162.86,6132.45,769
1738583691,6162.86,6132.45,769
1738583753,6162.86,6132.45,769
1738583795,6162.86,6132.45,769
1738583874,6162.68,6134.60,774
1738583938,6162.68,6134.60,774
1738583999,6162.68,6134.60,774
1738584058,6162.55,6130.30,777
1738584119,6162.55,6130.30,777
1738584179,6162.55,6130.30,777
1738584235,6162.52,6141.50,778
1738584299,6162.52,6141.50,778
1738584358,6162.52,6141.50,778
1738584419,6162.52,6141.50,778
1738584478,6162.52,6141.50,778
1738584539,6162.52,6141.50,778
1738584599,6162.52,6141.50,778
1738584659,6162.52,6141.50,778
1738584719,6162.52,6141.50,778
1738584779,6162.52,6141.50,778
1738584837,6162.52,6141.50,778
1738584893,6162.52,6141.50,778
1738584959,6162.52,6141.50,778
1738585019,6162.52,6141.50,778
1738585078,6162.52,6141.50,778
1738585139,6162.52,6141.50,778
1738585199,6162.52,6141.50,778
1738585259,6162.52,6141.50,778
1738585317,6162.52,6141.50,778
1738585379,6162.52,6141.50,778
1738585439,6162.52,6141.50,778
