t,ap,cp,v
1738573682,14689.05,14689.05,34
1738573740,14689.05,14689.05,34
1738574157,14840.75,15469.00,52
1738574217,14864.89,15492.55,54
1738574277,14876.60,15509.00,55
1738574337,14876.60,15509.00,55
1738574397,14901.63,15590.00,57
1738574459,14901.63,15590.00,57
1738574517,14901.63,15590.00,57
1738574578,14965.41,15580.00,63
1738574638,14965.41,15580.00,63
1738574698,14965.41,15580.00,63
1738574758,15059.04,15603.75,74
1738574819,15059.04,15603.75,74
1738574878,15059.04,15603.75,74
1738574939,15059.04,15603.75,74
1738574996,15059.04,15603.75,74
1738575046,15059.04,15603.75,74
1738575116,15059.04,15603.75,74
1738575179,15059.04,15603.75,74
1738575239,15059.04,15603.75,74
1738575299,15059.04,15603.75,74
1738575359,15059.04,15603.75,74
1738575419,15059.04,15603.75,74
1738575479,15059.04,15603.75,74
1738575539,15059.04,15603.75,74
1738575599,15059.04,15603.75,74
1738575658,15059.04,15603.75,74
1738575719,15059.04,15603.75,74
1738575779,15059.04,15603.75,74
1738575838,15059.04,15603.75,74
1738575895,15059.04,15603.75,74
1738575959,15059.04,15603.75,74
1738576010,15059.04,15603.75,74
1738576079,15059.04,15603.75,74
1738576139,15059.04,15603.75,74
1738576199,15059.04,15603.75,74
1738576257,15059.04,15603.75,74
1738576319,15059.04,15603.75,74
1738576379,15090.12,15550.00,79
1738576439,15090.12,15550.00,79
1738576498,15090.12,15550.00,79
1738576559,15161.91,15540.00,94
1738576619,15161.91,15540.00,94
1738576679,15161.91,15540.00,94
1738576739,15161.91,15540.00,94
1738576788,15161.91,15540.00,94
1738576858,15161.91,15540.00,94
1738576919,15166.17,15566.75,95
1738576978,15166.17,15566.75,95
1738577037,15166.17,15566.75,95
1738577099,15166.17,15566.75,95
1738577158,15166.17,15566.75,95
1738577218,15166.17,15566.75,95
1738577277,15166.17,15566.75,95
1738577337,15166.17,15566.75,95
1738577399,15233.36,15619.45,112
1738577457,15236.61,15600.00,113
1738577510,15236.61,15600.00,113
1738577577,15236.61,15600.00,113
1738577639,15236.61,15600.00,113
1738577698,15236.61,15600.00,113
1738577759,15239.45,15561.10,114
1738577803,15239.45,15561.10,114
1738577870,15239.45,15561.10,114
1738577939,15239.45,15561.10,114
1738577998,15239.45,15561.10,114
1738578059,15239.45,15561.10,114
1738578119,15239.45,15561.10,114
1738578179,15239.45,15561.10,114
1738578238,15278.63,15593.60,127
1738578299,15278.63,15593.60,127
1738578359,15278.63,15593.60,127
1738578418,15278.63,15593.60,127
1738578477,15301.11,15651.55,135
1738578538,15301.11,15651.55,135
1738578591,15301.11,15651.55,135
1738578658,15301.11,15651.55,135
1738578719,15301.11,15651.55,135
1738578771,15301.11,15651.55,135
1738578838,15301.11,15651.55,135
1738578896,15301.11,15651.55,135
1738578956,15301.11,15651.55,135
1738579001,15301.11,15651.55,135
1738579075,15301.11,15651.55,135
1738579122,15301.11,15651.55,135
1738579195,15301.11,15651.55,135
1738579244,15301.11,15651.55,135
1738579319,15301.11,15651.55,135
1738579378,15301.11,15651.55,135
1738579439,15301.11,15651.55,135
1738579493,15301.11,15651.55,135
1738579559,15301.11,15651.55,135
1738579619,15301.11,15651.55,135
1738579679,15301.11,15651.55,135
1738579711,15301.11,15651.55,135
1738579798,15301.11,15651.55,135
1738579856,15301.11,15651.55,135
1738579918,15301.11,15651.55,135
1738579978,15301.11,15651.55,135
1738580035,15320.92,15553.20,146
1738580099,15320.92,15553.20,146
1738580158,15320.92,15553.20,146
1738580219,15320.92,15553.20,146
1738580279,15320.92,15553.20,146
1738580328,15320.92,15553.20,146
1738580399,15320.92,15553.20,146
1738580459,15320.92,15553.20,146
1738580495,15320.92,15553.20,146
1738580564,15320.92,15553.20,146
1738580604,15320.92,15553.20,146
1738580685,15320.92,15553.20,146
1738580750,15320.92,15553.20,146
1738580819,15320.92,15553.20,146
1738580864,15320.92,15553.20,146
1738580908,15320.92,15553.20,146
1738580991,15320.92,15553.20,146
1738581059,15327.89,15531.00,151
1738581119,15342.76,15528.00,163
1738581170,15355.40,15527.00,175
1738581221,15363.71,15509.00,185
1738581299,15363.71,15509.00,185
1738581354,15363.71,15509.00,185
1738581419,15363.71,15509.00,185
1738581479,15363.71,15509.00,185
1738581539,15363.71,15509.00,185
1738581595,15363.71,15509.00,185
1738581653,15363.71,15509.00,185
1738581687,15363.71,15509.00,185
1738581778,15363.71,15509.00,185
1738581819,15363.71,15509.00,185
1738581899,15363.71,15509.00,185
1738581958,15363.71,15509.00,185
1738582019,15363.71,15509.00,185
1738582075,15394.27,15553.25,228
1738582137,15404.40,15572.80,243
1738582163,15404.40,15572.80,243
1738582252,15404.40,15572.80,243
1738582300,15404.40,15572.80,243
1738582379,15404.40,15572.80,243
1738582410,15404.40,15572.80,243
1738582499,15405.83,15522.00,246
1738582559,15405.83,15522.00,246
1738582619,15405.83,15522.00,246
1738582679,15406.30,15522.05,247
1738582738,15406.30,15522.05,247
1738582784,15406.30,15522.05,247
1738582859,15410.37,15522.00,256
1738582919,15421.73,15522.00,285
1738582957,15422.42,15522.00,287
1738583039,15422.42,15522.00,287
1738583098,15422.42,15522.00,287
1738583142,15422.42,15522.00,287
1738583210,15422.42,15522.00,287
1738583265,15422.42,15522.00,287
1738583336,15422.42,15522.00,287
1738583371,15422.42,15522.00,287
1738583455,15422.42,15522.00,287
1738583503,15423.30,15549.20,289
1738583579,15423.30,15549.20,289
1738583639,15423.30,15549.20,289
1738583689,15423.30,15549.20,289
1738583758,15423.30,15549.20,289
1738583819,15423.30,15549.20,289
1738583878,15423.30,15549.20,289
1738583914,15423.30,15549.20,289
1738583997,15423.30,15549.20,289
1738584056,15423.30,15549.20,289
1738584118,15423.30,15549.20,289
1738584157,15423.30,15549.20,289
1738584223,15423.30,15549.20,289
1738584298,15423.30,15549.20,289
1738584357,15423.30,15549.20,289
1738584418,15423.30,15549.20,289
1738584478,15423.30,15549.20,289
1738584530,15423.30,15549.20,289
1738584581,15423.30,15549.20,289
1738584650,15423.30,15549.20,289
1738584714,15423.30,15549.20,289
1738584775,15423.30,15549.20,289
1738584839,15423.30,15549.20,289
1738584898,15423.30,15549.20,289
1738584957,15423.30,15549.20,289
1738585012,15423.30,15549.20,289
1738585078,15423.30,15549.20,289
1738585139,15423.30,15549.20,289
1738585199,15423.30,15549.20,289
1738585259,15424.40,15530.00,292
1738585319,15425.83,15530.00,296
1738585373,15425.83,15530.00,296
1738585439,15425.83,15530.00,296
1738585496,15428.23,15530.00,303
1738585559,15428.23,15530.00,303
1738585595,15428.23,15530.00,303
1738585673,15428.23,15530.00,303
1738585729,15428.23,15530.00,303
1738585781,15428.63,15549.20,304
1738585854,15428.63,15549.20,304
1738585909,15428.63,15549.20,304
1738585978,15428.63,15549.20,304
1738586039,15428.63,15549.20,304
1738586098,15428.63,15549.20,304
1738586159,15428.63,15549.20,304
1738586212,15428.63,15549.20,304
1738586277,15430.24,15499.95,311
1738586339,15430.24,15499.95,311
1738586399,15430.24,15499.95,311
1738586459,15430.24,15499.95,311
1738586519,15430.28,15444.10,312
1738586579,15430.28,15444.10,312
1738586639,15430.28,15444.10,312
1738586699,15430.28,15444.10,312
