t,ap,cp,v
1738573635,145.00,145.00,481
1738573740,145.00,145.00,481
1738574159,143.40,143.15,5080
1738574219,143.37,143.20,6514
1738574279,143.28,143.05,9858
1738574339,143.21,142.75,11291
1738574399,143.22,143.00,11681
1738574459,143.20,143.05,12698
1738574519,143.20,143.40,13564
1738574578,143.21,143.50,13929
1738574639,143.22,143.40,14174
1738574699,143.23,143.75,14676
1738574759,143.23,143.30,14823
1738574819,143.27,144.40,15286
1738574879,143.56,144.70,18859
1738574939,143.63,144.55,19943
1738574999,143.68,144.45,21196
1738575059,143.74,144.40,23271
1738575119,143.74,144.50,23301
1738575179,143.75,144.65,23401
1738575239,143.75,144.50,23796
1738575299,143.76,144.25,24061
1738575359,143.76,144.05,24341
1738575419,143.80,144.25,31050
1738575479,143.81,144.20,31551
1738575539,143.81,143.95,31797
1738575599,143.81,143.40,31819
1738575659,143.81,143.40,31819
1738575719,143.80,143.65,32705
1738575779,143.80,143.90,33026
1738575839,143.80,144.00,33326
1738575899,143.80,143.95,34769
1738575959,143.81,144.10,35399
1738576019,143.81,144.40,35693
1738576079,143.83,144.45,36717
1738576139,143.83,143.95,37022
1738576197,143.83,143.80,37864
1738576259,143.83,144.15,38597
1738576319,143.83,143.95,38660
1738576379,143.84,144.00,40181
1738576439,143.84,144.20,40192
1738576499,143.84,144.35,40376
1738576559,143.84,144.15,40480
1738576619,143.84,144.40,40596
1738576679,143.85,144.50,40869
1738576739,143.85,144.40,41496
1738576799,143.86,144.80,42138
1738576859,143.87,144.40,42704
1738576919,143.90,144.80,44077
1738576979,143.91,144.95,44500
1738577039,143.91,144.75,44610
1738577099,143.91,144.75,44636
1738577159,143.91,144.75,44636
1738577219,143.92,144.60,45182
1738577279,143.92,144.65,45249
1738577339,143.93,144.60,45706
1738577399,143.93,144.60,45727
1738577459,143.99,144.85,48547
1738577519,144.00,145.10,49157
1738577579,144.01,145.25,49669
1738577639,144.02,144.70,49734
1738577699,144.02,144.70,49734
1738577759,144.02,144.45,49855
1738577819,144.04,144.65,51845
1738577879,144.07,144.90,53774
1738577939,144.07,144.80,53824
1738577999,144.07,145.05,53925
1738578059,144.07,144.60,53972
1738578119,144.09,145.00,54624
1738578179,144.10,145.10,55209
1738578239,144.10,145.15,55569
1738578299,144.11,145.00,55922
1738578359,144.11,145.00,55922
1738578419,144.13,145.05,57028
1738578479,144.13,145.05,57028
1738578539,144.13,144.75,57091
1738578599,144.13,144.80,57411
1738578659,144.13,144.80,57411
1738578719,144.13,145.15,57660
1738578779,144.14,144.90,58102
1738578839,144.16,145.05,59555
1738578899,144.26,145.50,64516
1738578959,144.34,145.85,68983
1738579019,144.36,145.85,69683
1738579079,144.36,145.75,69687
1738579139,144.36,145.75,69687
1738579199,144.36,145.75,69687
1738579259,144.37,145.75,70303
1738579319,144.37,145.85,70347
1738579379,144.45,146.10,73989
1738579439,144.46,146.30,74322
1738579499,144.46,146.45,74392
1738579559,144.56,147.00,77979
1738579618,144.57,146.75,78207
1738579679,144.57,146.70,78219
1738579739,144.62,147.00,79668
1738579799,144.63,146.85,80150
1738579859,144.64,147.15,80436
1738579919,144.65,146.90,80690
1738579979,144.65,147.15,80781
1738580039,144.65,147.00,80908
1738580099,144.65,146.85,80955
1738580159,144.68,146.75,81963
1738580219,144.69,146.70,82547
1738580279,144.72,146.85,83745
1738580339,144.79,147.35,85964
1738580399,144.81,147.25,86739
1738580459,144.81,147.15,86822
1738580519,144.81,147.15,86852
1738580578,144.84,147.00,87872
1738580639,144.86,147.25,88625
1738580699,144.87,147.15,88937
1738580759,144.87,147.15,88937
1738580819,144.87,147.30,88955
1738580879,144.93,147.20,91191
1738580939,144.93,147.20,91191
1738580999,144.94,147.50,91703
1738581059,144.95,147.50,91921
1738581119,145.03,147.80,94561
1738581179,145.20,148.20,100536
1738581239,145.21,147.95,100830
1738581299,145.24,148.15,101852
1738581359,145.30,148.10,104165
1738581419,145.31,148.40,104310
1738581479,145.38,148.35,106759
1738581539,145.39,148.25,107100
1738581599,145.41,148.30,107847
1738581659,145.41,148.45,108007
1738581719,145.41,148.30,108043
1738581779,145.41,148.25,108134
1738581839,145.42,148.00,108420
1738581899,145.43,147.90,108943
1738581959,145.44,148.10,109114
1738582019,145.45,148.00,109747
1738582079,145.45,147.80,109871
1738582139,145.45,147.45,109891
1738582199,145.47,147.35,110650
1738582259,145.47,147.55,110798
1738582319,145.48,147.50,111126
1738582379,145.48,147.60,111239
1738582439,145.49,147.20,111769
1738582499,145.49,147.40,111996
1738582559,145.49,147.40,112007
1738582619,145.49,147.40,112007
1738582679,145.50,147.20,112656
1738582739,145.50,147.05,112784
1738582799,145.50,147.05,112884
1738582859,145.53,147.15,114785
1738582919,145.53,147.10,115357
1738582979,145.54,147.00,115630
1738583039,145.54,147.00,115630
1738583099,145.54,147.10,115783
1738583159,145.54,147.10,115869
1738583219,145.57,147.15,118073
1738583279,145.57,147.40,118378
1738583339,145.57,147.40,118378
1738583399,145.57,147.40,118388
1738583459,145.57,147.45,118389
1738583519,145.57,147.45,118448
1738583579,145.58,147.20,118951
1738583639,145.58,147.40,119106
1738583699,145.59,147.15,119486
1738583759,145.59,147.25,119489
1738583819,145.59,147.25,119489
1738583879,145.59,147.05,119731
1738583938,145.59,147.00,119781
1738583999,145.59,147.35,119814
1738584059,145.60,147.55,120302
1738584119,145.60,147.40,120402
1738584179,145.60,147.55,120593
1738584239,145.60,147.55,120593
1738584299,145.64,147.80,122763
1738584359,145.65,147.50,123349
1738584419,145.68,147.80,124881
1738584479,145.68,147.80,124885
1738584539,145.68,147.90,125143
1738584599,145.68,147.80,125220
1738584659,145.69,147.95,125474
1738584719,145.69,147.70,125897
1738584779,145.70,147.70,126476
1738584837,145.72,147.80,127624
1738584899,145.77,147.75,130305
1738584959,145.78,148.00,130977
1738585019,145.78,147.95,130995
1738585079,145.78,147.80,131021
1738585139,145.80,147.80,132622
1738585199,145.81,147.70,132757
1738585259,145.83,147.65,134992
1738585319,145.83,147.65,134992
1738585379,145.84,147.50,135140
1738585439,145.84,147.60,135155
1738585499,145.84,147.30,135990
1738585559,145.85,147.45,136211
1738585619,145.88,147.95,138737
1738585679,145.89,147.85,139299
1738585739,145.93,147.70,142435
1738585799,145.93,147.65,142436
1738585859,145.93,147.40,142486
1738585919,145.94,147.50,142844
1738585979,145.94,147.50,142897
1738586039,145.96,147.60,144267
1738586099,145.96,147.55,144327
1738586159,145.96,147.45,144357
1738586219,145.96,147.50,144716
1738586279,145.96,147.40,144719
1738586339,145.97,147.40,145175
1738586399,145.97,147.40,145175
1738586457,145.97,147.55,145247
1738586519,145.97,147.55,145247
1738586579,145.97,147.55,145247
1738586639,145.97,147.25,145747
1738586699,145.97,147.10,145759
1738586759,145.98,147.40,146954
1738586819,145.99,147.30,148004
1738586879,145.99,147.30,148406
1738586939,145.99,147.35,148478
1738586999,146.00,147.30,148628
1738587059,146.00,147.30,148628
1738587119,146.00,147.10,148804
1738587179,146.00,147.15,148854
1738587239,146.00,147.30,149304
1738587299,146.00,147.30,149304
1738587359,146.00,147.30,149304
1738587419,146.01,147.50,150373
1738587479,146.01,147.50,150373
1738587539,146.03,147.40,151940
1738587599,146.03,147.50,152420
1738587659,146.03,147.60,152740
1738587719,146.04,147.70,153441
1738587779,146.09,148.10,157454
1738587838,146.10,148.30,158376
1738587899,146.17,148.65,163167
1738587959,146.19,148.45,164279
1738588019,146.19,148.45,164428
1738588079,146.21,148.50,165705
1738588139,146.24,148.65,167813
1738588198,146.26,148.55,169069
1738588259,146.42,149.20,181245
1738588319,146.43,148.80,181632
1738588379,146.45,149.20,183380
1738588439,146.46,149.00,183944
1738588499,146.48,148.80,185799
1738588559,146.49,148.75,185957
1738588619,146.49,148.80,186107
1738588679,146.50,148.80,186880
1738588739,146.50,149.00,186905
1738588799,146.50,148.50,187123
1738588859,146.51,148.65,187645
1738588919,146.51,148.65,187645
1738588979,146.51,148.65,187854
1738589039,146.51,148.45,188127
1738589099,146.51,148.60,188273
1738589159,146.52,148.55,188821
1738589219,146.52,148.45,188931
1738589279,146.52,148.75,188991
1738589339,146.53,148.40,190166
1738589399,146.54,148.30,190494
1738589459,146.56,148.40,192729
1738589519,146.56,148.40,192749
1738589579,146.56,148.55,192919
1738589639,146.56,148.40,192929
1738589699,146.57,148.35,194054
1738589759,146.58,148.30,194502
1738589819,146.58,148.70,195115
1738589879,146.58,148.45,195390
1738589939,146.59,148.70,195721
1738589999,146.59,148.55,195970
1738590059,146.60,148.75,197180
1738590119,146.60,148.75,197180
1738590179,146.60,148.95,197190
1738590239,146.61,148.90,197270
1738590299,146.61,148.75,197290
1738590359,146.62,148.70,198860
1738590419,146.63,148.95,199116
1738590479,146.65,149.00,201447
1738590539,146.65,149.00,201447
1738590599,146.66,149.10,201993
1738590659,146.66,149.00,202248
1738590719,146.67,148.90,203238
1738590779,146.69,148.95,204356
1738590839,146.71,148.85,206526
1738590898,146.71,148.70,207039
1738590959,146.74,148.60,209992
1738591019,146.74,148.60,210074
1738591079,146.74,148.50,210268
1738591139,146.74,148.40,210391
1738591199,146.75,148.30,211463
1738591259,146.75,148.55,211478
1738591319,146.75,148.55,211604
1738591379,146.76,148.60,211804
1738591439,146.76,148.65,212238
1738591499,146.76,148.65,212238
1738591559,146.76,148.60,212482
1738591619,146.77,148.75,213443
1738591679,146.77,148.70,213466
1738591739,146.77,148.70,213471
1738591799,146.77,148.70,213471
1738591859,146.78,148.65,214326
1738591919,146.78,148.65,214761
1738591979,146.78,148.85,214768
1738592039,146.78,148.85,214805
1738592099,146.78,148.60,214881
1738592159,146.79,148.65,215356
1738592219,146.79,148.65,215525
1738592279,146.79,148.60,215757
1738592339,146.79,148.65,215957
1738592399,146.79,148.60,216170
1738592459,146.79,148.80,216215
1738592519,146.80,148.50,216665
1738592579,146.80,148.75,217095
1738592639,146.80,148.75,217096
1738592699,146.80,148.80,217201
1738592759,146.81,148.95,217832
1738592819,146.81,148.95,217945
1738592879,146.81,148.75,218025
1738592939,146.81,148.85,218048
1738592999,146.81,148.75,218109
1738593059,146.81,148.60,218577
1738593119,146.81,148.60,218599
1738593179,146.81,148.55,218664
1738593239,146.82,148.75,218852
1738593299,146.82,148.75,219002
1738593359,146.83,148.90,220216
1738593419,146.83,148.85,220515
1738593479,146.90,149.00,227538
1738593539,146.90,149.00,228054
1738593599,146.91,148.80,228686
1738593659,146.91,148.80,229139
1738593719,146.91,148.70,229142
1738593779,146.93,148.50,232142
1738593839,146.94,148.85,233465
1738593899,146.94,148.85,233627
1738593959,147.01,149.35,241067
1738594019,147.02,149.15,242328
1738594079,147.03,149.10,243636
1738594139,147.03,149.15,243736
1738594199,147.04,148.90,244745
1738594259,147.05,148.90,245381
1738594319,147.07,149.50,248090
1738594379,147.07,149.25,248291
1738594439,147.10,149.60,251059
1738594499,147.12,149.50,252694
1738594559,147.12,149.50,253102
1738594617,147.13,149.55,253708
1738594677,147.15,149.40,256304
1738594739,147.15,149.50,256657
1738594799,147.16,149.75,257016
1738594859,147.16,149.60,257267
1738594919,147.16,149.40,257639
1738594979,147.17,149.50,258302
1738595039,147.17,149.30,258422
1738595099,147.19,149.30,260617
1738595159,147.19,149.50,260726
1738595219,147.19,149.25,260922
1738595279,147.19,149.20,261297
1738595339,147.20,149.05,262759
1738595399,147.21,149.10,264259
1738595459,147.40,149.85,283890
1738595519,147.41,149.80,285217
1738595579,147.42,149.65,286304
1738595639,147.45,149.85,290841
1738595699,147.50,149.65,296776
1738595759,147.50,149.55,297883
1738595819,147.51,149.65,298146
1738595879,147.51,149.55,298294
1738595939,147.52,149.40,300921
1738595999,147.53,149.60,302552
1738596059,147.53,149.40,302584
1738596119,147.54,149.35,302996
1738596179,147.55,149.15,304831
1738596239,147.57,149.15,309898
1738596299,147.58,149.10,311120
1738596359,147.59,149.30,312912
1738596419,147.59,149.30,313262
1738596479,147.59,149.30,313988
1738596539,147.60,149.40,315351
1738596599,147.61,149.20,317503
1738596623,147.61,149.20,317503
1738596679,147.61,149.20,317503
1738596988,147.61,149.20,317503
1738597201,147.61,149.20,317503
1738597357,147.61,149.20,317503
1738597482,147.61,149.55,317763
1738597544,147.61,149.55,317763
1738597655,147.61,149.55,317763
1738597896,147.61,149.55,317963
1738598402,147.61,149.55,317963
1738598484,147.61,149.55,317963
t,ap,cp,v
1738573635,145.00,145.00,481
1738573740,145.00,145.00,481
1738574159,143.40,143.15,5080
1738574219,143.37,143.20,6514
1738574279,143.28,143.05,9858
1738574339,143.21,142.75,11291
1738574399,143.22,143.00,11681
1738574459,143.20,143.05,12698
1738574519,143.20,143.40,13564
1738574578,143.21,143.50,13929
1738574639,143.22,143.40,14174
1738574699,143.23,143.75,14676
1738574759,143.23,143.30,14823
1738574819,143.27,144.40,15286
1738574879,143.56,144.70,18859
1738574939,143.63,144.55,19943
1738574999,143.68,144.45,21196
1738575059,143.74,144.40,23271
1738575119,143.74,144.50,23301
1738575179,143.75,144.65,23401
1738575239,143.75,144.50,23796
1738575299,143.76,144.25,24061
1738575359,143.76,144.05,24341
1738575419,143.80,144.25,31050
1738575479,143.81,144.20,31551
1738575539,143.81,143.95,31797
1738575599,143.81,143.40,31819
1738575659,143.81,143.40,31819
1738575719,143.80,143.65,32705
1738575779,143.80,143.90,33026
1738575839,143.80,144.00,33326
1738575899,143.80,143.95,34769
1738575959,143.81,144.10,35399
1738576019,143.81,144.40,35693
1738576079,143.83,144.45,36717
1738576139,143.83,143.95,37022
1738576197,143.83,143.80,37864
1738576259,143.83,144.15,38597
1738576319,143.83,143.95,38660
1738576379,143.84,144.00,40181
1738576439,143.84,144.20,40192
1738576499,143.84,144.35,40376
1738576559,143.84,144.15,40480
1738576619,143.84,144.40,40596
1738576679,143.85,144.50,40869
1738576739,143.85,144.40,41496
1738576799,143.86,144.80,42138
1738576859,143.87,144.40,42704
1738576919,143.90,144.80,44077
1738576979,143.91,144.95,44500
1738577039,143.91,144.75,44610
1738577099,143.91,144.75,44636
1738577159,143.91,144.75,44636
1738577219,143.92,144.60,45182
1738577279,143.92,144.65,45249
1738577339,143.93,144.60,45706
1738577399,143.93,144.60,45727
1738577459,143.99,144.85,48547
1738577519,144.00,145.10,49157
1738577579,144.01,145.25,49669
1738577639,144.02,144.70,49734
1738577699,144.02,144.70,49734
1738577759,144.02,144.45,49855
1738577819,144.04,144.65,51845
1738577879,144.07,144.90,53774
1738577939,144.07,144.80,53824
1738577999,144.07,145.05,53925
1738578059,144.07,144.60,53972
1738578119,144.09,145.00,54624
1738578179,144.10,145.10,55209
1738578239,144.10,145.15,55569
1738578299,144.11,145.00,55922
1738578359,144.11,145.00,55922
1738578419,144.13,145.05,57028
1738578479,144.13,145.05,57028
1738578539,144.13,144.75,57091
1738578599,144.13,144.80,57411
1738578659,144.13,144.80,57411
1738578719,144.13,145.15,57660
1738578779,144.14,144.90,58102
1738578839,144.16,145.05,59555
1738578899,144.26,145.50,64516
1738578959,144.34,145.85,68983
1738579019,144.36,145.85,69683
1738579079,144.36,145.75,69687
1738579139,144.36,145.75,69687
1738579199,144.36,145.75,69687
1738579259,144.37,145.75,70303
1738579319,144.37,145.85,70347
1738579379,144.45,146.10,73989
1738579439,144.46,146.30,74322
1738579499,144.46,146.45,74392
1738579559,144.56,147.00,77979
1738579618,144.57,146.75,78207
1738579679,144.57,146.70,78219
1738579739,144.62,147.00,79668
1738579799,144.63,146.85,80150
1738579859,144.64,147.15,80436
1738579919,144.65,146.90,80690
1738579979,144.65,147.15,80781
1738580039,144.65,147.00,80908
1738580099,144.65,146.85,80955
1738580159,144.68,146.75,81963
1738580219,144.69,146.70,82547
1738580279,144.72,146.85,83745
1738580339,144.79,147.35,85964
1738580399,144.81,147.25,86739
1738580459,144.81,147.15,86822
1738580519,144.81,147.15,86852
1738580578,144.84,147.00,87872
1738580639,144.86,147.25,88625
1738580699,144.87,147.15,88937
1738580759,144.87,147.15,88937
1738580819,144.87,147.30,88955
1738580879,144.93,147.20,91191
1738580939,144.93,147.20,91191
1738580999,144.94,147.50,91703
1738581059,144.95,147.50,91921
1738581119,145.03,147.80,94561
1738581179,145.20,148.20,100536
1738581239,145.21,147.95,100830
1738581299,145.24,148.15,101852
1738581359,145.30,148.10,104165
1738581419,145.31,148.40,104310
1738581479,145.38,148.35,106759
1738581539,145.39,148.25,107100
1738581599,145.41,148.30,107847
1738581659,145.41,148.45,108007
1738581719,145.41,148.30,108043
1738581779,145.41,148.25,108134
1738581839,145.42,148.00,108420
1738581899,145.43,147.90,108943
1738581959,145.44,148.10,109114
1738582019,145.45,148.00,109747
1738582079,145.45,147.80,109871
1738582139,145.45,147.45,109891
1738582199,145.47,147.35,110650
1738582259,145.47,147.55,110798
1738582319,145.48,147.50,111126
1738582379,145.48,147.60,111239
1738582439,145.49,147.20,111769
1738582499,145.49,147.40,111996
1738582559,145.49,147.40,112007
1738582619,145.49,147.40,112007
1738582679,145.50,147.20,112656
1738582739,145.50,147.05,112784
1738582799,145.50,147.05,112884
1738582859,145.53,147.15,114785
1738582919,145.53,147.10,115357
1738582979,145.54,147.00,115630
1738583039,145.54,147.00,115630
1738583099,145.54,147.10,115783
1738583159,145.54,147.10,115869
1738583219,145.57,147.15,118073
1738583279,145.57,147.40,118378
1738583339,145.57,147.40,118378
1738583399,145.57,147.40,118388
1738583459,145.57,147.45,118389
1738583519,145.57,147.45,118448
1738583579,145.58,147.20,118951
1738583639,145.58,147.40,119106
1738583699,145.59,147.15,119486
1738583759,145.59,147.25,119489
1738583819,145.59,147.25,119489
1738583879,145.59,147.05,119731
1738583938,145.59,147.00,119781
1738583999,145.59,147.35,119814
1738584059,145.60,147.55,120302
1738584119,145.60,147.40,120402
1738584179,145.60,147.55,120593
1738584239,145.60,147.55,120593
1738584299,145.64,147.80,122763
1738584359,145.65,147.50,123349
1738584419,145.68,147.80,124881
1738584479,145.68,147.80,124885
1738584539,145.68,147.90,125143
1738584599,145.68,147.80,125220
1738584659,145.69,147.95,125474
1738584719,145.69,147.70,125897
1738584779,145.70,147.70,126476
1738584837,145.72,147.80,127624
1738584899,145.77,147.75,130305
1738584959,145.78,148.00,130977
1738585019,145.78,147.95,130995
1738585079,145.78,147.80,131021
1738585139,145.80,147.80,132622
1738585199,145.81,147.70,132757
1738585259,145.83,147.65,134992
1738585319,145.83,147.65,134992
1738585379,145.84,147.50,135140
1738585439,145.84,147.60,135155
1738585499,145.84,147.30,135990
1738585559,145.85,147.45,136211
1738585619,145.88,147.95,138737
1738585679,145.89,147.85,139299
1738585739,145.93,147.70,142435
1738585799,145.93,147.65,142436
1738585859,145.93,147.40,142486
1738585919,145.94,147.50,142844
1738585979,145.94,147.50,142897
1738586039,145.96,147.60,144267
1738586099,145.96,147.55,144327
1738586159,145.96,147.45,144357
1738586219,145.96,147.50,144716
1738586279,145.96,147.40,144719
1738586339,145.97,147.40,145175
1738586399,145.97,147.40,145175
1738586457,145.97,147.55,145247
1738586519,145.97,147.55,145247
1738586579,145.97,147.55,145247
1738586639,145.97,147.25,145747
1738586699,145.97,147.10,145759
1738586759,145.98,147.40,146954
1738586819,145.99,147.30,148004
1738586879,145.99,147.30,148406
1738586939,145.99,147.35,148478
1738586999,146.00,147.30,148628
1738587059,146.00,147.30,148628
1738587119,146.00,147.10,148804
1738587179,146.00,147.15,148854
1738587239,146.00,147.30,149304
1738587299,146.00,147.30,149304
1738587359,146.00,147.30,149304
1738587419,146.01,147.50,150373
1738587479,146.01,147.50,150373
1738587539,146.03,147.40,151940
1738587599,146.03,147.50,152420
1738587659,146.03,147.60,152740
1738587719,146.04,147.70,153441
1738587779,146.09,148.10,157454
1738587838,146.10,148.30,158376
1738587899,146.17,148.65,163167
1738587959,146.19,148.45,164279
1738588019,146.19,148.45,164428
1738588079,146.21,148.50,165705
1738588139,146.24,148.65,167813
1738588198,146.26,148.55,169069
1738588259,146.42,149.20,181245
1738588319,146.43,148.80,181632
1738588379,146.45,149.20,183380
1738588439,146.46,149.00,183944
1738588499,146.48,148.80,185799
1738588559,146.49,148.75,185957
1738588619,146.49,148.80,186107
1738588679,146.50,148.80,186880
1738588739,146.50,149.00,186905
1738588799,146.50,148.50,187123
1738588859,146.51,148.65,187645
1738588919,146.51,148.65,187645
1738588979,146.51,148.65,187854
1738589039,146.51,148.45,188127
1738589099,146.51,148.60,188273
1738589159,146.52,148.55,188821
1738589219,146.52,148.45,188931
1738589279,146.52,148.75,188991
1738589339,146.53,148.40,190166
1738589399,146.54,148.30,190494
1738589459,146.56,148.40,192729
1738589519,146.56,148.40,192749
1738589579,146.56,148.55,192919
1738589639,146.56,148.40,192929
1738589699,146.57,148.35,194054
1738589759,146.58,148.30,194502
1738589819,146.58,148.70,195115
1738589879,146.58,148.45,195390
1738589939,146.59,148.70,195721
1738589999,146.59,148.55,195970
1738590059,146.60,148.75,197180
1738590119,146.60,148.75,197180
1738590179,146.60,148.95,197190
1738590239,146.61,148.90,197270
1738590299,146.61,148.75,197290
1738590359,146.62,148.70,198860
1738590419,146.63,148.95,199116
1738590479,146.65,149.00,201447
1738590539,146.65,149.00,201447
1738590599,146.66,149.10,201993
1738590659,146.66,149.00,202248
1738590719,146.67,148.90,203238
1738590779,146.69,148.95,204356
1738590839,146.71,148.85,206526
1738590898,146.71,148.70,207039
1738590959,146.74,148.60,209992
1738591019,146.74,148.60,210074
1738591079,146.74,148.50,210268
1738591139,146.74,148.40,210391
1738591199,146.75,148.30,211463
1738591259,146.75,148.55,211478
1738591319,146.75,148.55,211604
1738591379,146.76,148.60,211804
1738591439,146.76,148.65,212238
1738591499,146.76,148.65,212238
1738591559,146.76,148.60,212482
1738591619,146.77,148.75,213443
1738591679,146.77,148.70,213466
1738591739,146.77,148.70,213471
1738591799,146.77,148.70,213471
1738591859,146.78,148.65,214326
1738591919,146.78,148.65,214761
1738591979,146.78,148.85,214768
1738592039,146.78,148.85,214805
1738592099,146.78,148.60,214881
1738592159,146.79,148.65,215356
1738592219,146.79,148.65,215525
1738592279,146.79,148.60,215757
1738592339,146.79,148.65,215957
1738592399,146.79,148.60,216170
1738592459,146.79,148.80,216215
1738592519,146.80,148.50,216665
1738592579,146.80,148.75,217095
1738592639,146.80,148.75,217096
1738592699,146.80,148.80,217201
1738592759,146.81,148.95,217832
1738592819,146.81,148.95,217945
1738592879,146.81,148.75,218025
1738592939,146.81,148.85,218048
1738592999,146.81,148.75,218109
1738593059,146.81,148.60,218577
1738593119,146.81,148.60,218599
1738593179,146.81,148.55,218664
1738593239,146.82,148.75,218852
1738593299,146.82,148.75,219002
1738593359,146.83,148.90,220216
1738593419,146.83,148.85,220515
1738593479,146.90,149.00,227538
1738593539,146.90,149.00,228054
1738593599,146.91,148.80,228686
1738593659,146.91,148.80,229139
1738593719,146.91,148.70,229142
1738593779,146.93,148.50,232142
1738593839,146.94,148.85,233465
1738593899,146.94,148.85,233627
1738593959,147.01,149.35,241067
1738594019,147.02,149.15,242328
1738594079,147.03,149.10,243636
1738594139,147.03,149.15,243736
1738594199,147.04,148.90,244745
1738594259,147.05,148.90,245381
1738594319,147.07,149.50,248090
1738594379,147.07,149.25,248291
1738594439,147.10,149.60,251059
1738594499,147.12,149.50,252694
1738594559,147.12,149.50,253102
1738594617,147.13,149.55,253708
1738594677,147.15,149.40,256304
1738594739,147.15,149.50,256657
1738594799,147.16,149.75,257016
1738594859,147.16,149.60,257267
1738594919,147.16,149.40,257639
1738594979,147.17,149.50,258302
1738595039,147.17,149.30,258422
1738595099,147.19,149.30,260617
1738595159,147.19,149.50,260726
1738595219,147.19,149.25,260922
1738595279,147.19,149.20,261297
1738595339,147.20,149.05,262759
1738595399,147.21,149.10,264259
1738595459,147.40,149.85,283890
1738595519,147.41,149.80,285217
1738595579,147.42,149.65,286304
1738595639,147.45,149.85,290841
1738595699,147.50,149.65,296776
1738595759,147.50,149.55,297883
1738595819,147.51,149.65,298146
1738595879,147.51,149.55,298294
1738595939,147.52,149.40,300921
1738595999,147.53,149.60,302552
1738596059,147.53,149.40,302584
1738596119,147.54,149.35,302996
1738596179,147.55,149.15,304831
1738596239,147.57,149.15,309898
1738596299,147.58,149.10,311120
1738596359,147.59,149.30,312912
1738596419,147.59,149.30,313262
1738596479,147.59,149.30,313988
1738596539,147.60,149.40,315351
1738596599,147.61,149.20,317503
1738596623,147.61,149.20,317503
1738596679,147.61,149.20,317503
1738596988,147.61,149.20,317503
1738597201,147.61,149.20,317503
1738597357,147.61,149.20,317503
1738597482,147.61,149.55,317763
1738597544,147.61,149.55,317763
1738597655,147.61,149.55,317763
1738597896,147.61,149.55,317963
1738598402,147.61,149.55,317963
1738598484,147.61,149.55,317963
t,ap,cp,v
1738573635,145.00,145.00,481
1738573740,145.00,145.00,481
1738574159,143.40,143.15,5080
1738574219,143.37,143.20,6514
1738574279,143.28,143.05,9858
1738574339,143.21,142.75,11291
1738574399,143.22,143.00,11681
1738574459,143.20,143.05,12698
1738574519,143.20,143.40,13564
1738574578,143.21,143.50,13929
1738574639,143.22,143.40,14174
1738574699,143.23,143.75,14676
1738574759,143.23,143.30,14823
1738574819,143.27,144.40,15286
1738574879,143.56,144.70,18859
1738574939,143.63,144.55,19943
1738574999,143.68,144.45,21196
1738575059,143.74,144.40,23271
1738575119,143.74,144.50,23301
1738575179,143.75,144.65,23401
1738575239,143.75,144.50,23796
1738575299,143.76,144.25,24061
1738575359,143.76,144.05,24341
1738575419,143.80,144.25,31050
1738575479,143.81,144.20,31551
1738575539,143.81,143.95,31797
1738575599,143.81,143.40,31819
1738575659,143.81,143.40,31819
1738575719,143.80,143.65,32705
1738575779,143.80,143.90,33026
1738575839,143.80,144.00,33326
1738575899,143.80,143.95,34769
1738575959,143.81,144.10,35399
1738576019,143.81,144.40,35693
1738576079,143.83,144.45,36717
1738576139,143.83,143.95,37022
1738576197,143.83,143.80,37864
1738576259,143.83,144.15,38597
1738576319,143.83,143.95,38660
1738576379,143.84,144.00,40181
1738576439,143.84,144.20,40192
1738576499,143.84,144.35,40376
1738576559,143.84,144.15,40480
1738576619,143.84,144.40,40596
