t,ap,cp,v
1738573635,5399.20,5399.20,15
1738573735,5399.20,5399.20,15
1738573740,5399.20,5399.20,15
1738574159,5344.86,5310.70,54
1738574219,5342.08,5318.95,60
1738574279,5342.08,5318.95,60
1738574339,5333.08,5303.60,78
1738574399,5331.17,5301.50,83
1738574459,5322.12,5290.00,112
1738574518,5320.52,5287.70,117
1738574579,5320.26,5289.85,118
1738574639,5319.69,5299.05,121
1738574699,5317.93,5297.40,138
1738574758,5317.25,5300.00,143
1738574819,5317.25,5300.00,143
1738574879,5325.87,5349.60,194
1738574939,5325.95,5340.60,195
1738574999,5326.30,5340.00,200
1738575059,5326.43,5336.80,202
1738575119,5326.43,5336.80,202
1738575179,5326.43,5336.80,202
1738575239,5326.43,5336.80,202
1738575299,5326.43,5336.80,202
1738575359,5328.43,5338.05,242
1738575419,5328.91,5352.10,247
1738575479,5328.91,5352.10,247
1738575539,5328.91,5352.10,247
1738575599,5328.91,5352.10,247
1738575659,5328.91,5352.10,247
1738575719,5328.91,5352.10,247
1738575779,5332.68,5405.75,260
1738575839,5332.98,5412.65,261
1738575899,5332.98,5412.65,261
1738575959,5332.98,5412.65,261
1738576019,5332.98,5412.65,261
1738576079,5332.98,5412.65,261
1738576139,5332.98,5412.65,261
1738576199,5333.69,5370.80,266
1738576258,5333.69,5370.80,266
1738576319,5333.69,5370.80,266
1738576379,5333.69,5370.80,266
1738576439,5334.00,5375.05,268
1738576499,5334.00,5375.05,268
1738576559,5334.00,5375.05,268
1738576619,5334.13,5369.15,269
1738576679,5334.50,5359.25,273
1738576739,5334.50,5359.25,273
1738576799,5334.50,5359.25,273
1738576859,5336.80,5357.15,303
1738576919,5336.90,5368.90,304
1738576979,5337.01,5368.20,305
1738577039,5337.27,5377.75,307
1738577099,5337.79,5377.45,311
1738577159,5337.97,5366.65,313
1738577219,5337.97,5366.65,313
1738577279,5338.23,5378.10,315
1738577339,5344.77,5388.00,366
1738577399,5344.77,5388.00,366
1738577459,5344.77,5388.00,366
1738577519,5345.68,5412.00,371
1738577579,5345.93,5437.80,372
1738577639,5347.84,5418.00,382
1738577699,5347.84,5418.00,382
1738577759,5348.57,5418.00,386
1738577819,5357.41,5412.30,446
1738577877,5357.69,5421.00,448
1738577939,5357.90,5404.35,450
1738577999,5357.90,5404.35,450
1738578059,5357.90,5404.35,450
1738578119,5357.90,5404.35,450
1738578179,5358.14,5411.25,452
1738578239,5358.14,5411.25,452
1738578299,5358.14,5411.25,452
1738578359,5358.14,5411.25,452
1738578419,5358.14,5411.25,452
1738578479,5358.14,5411.25,452
1738578539,5358.14,5411.25,452
1738578599,5358.14,5411.25,452
1738578659,5358.14,5411.25,452
1738578719,5358.14,5411.25,452
1738578779,5358.14,5411.25,452
1738578839,5358.14,5411.25,452
1738578899,5358.14,5411.25,452
1738578959,5358.28,5424.20,453
1738579019,5358.28,5424.20,453
1738579079,5358.28,5424.20,453
1738579139,5358.28,5424.20,453
1738579197,5358.54,5415.50,455
1738579259,5358.54,5415.50,455
1738579319,5358.54,5415.50,455
1738579379,5358.54,5415.50,455
1738579439,5358.54,5415.50,455
1738579499,5358.54,5415.50,455
1738579559,5358.54,5415.50,455
1738579619,5358.54,5415.50,455
1738579679,5358.54,5415.50,455
1738579739,5358.54,5415.50,455
1738579799,5359.08,5421.35,459
1738579859,5359.08,5421.35,459
1738579919,5359.08,5421.35,459
1738579979,5362.16,5430.50,482
1738580039,5362.16,5430.50,482
1738580099,5362.16,5430.50,482
1738580159,5362.16,5430.50,482
1738580218,5362.16,5430.50,482
1738580279,5362.16,5430.50,482
1738580339,5362.16,5430.50,482
1738580399,5363.14,5430.50,489
1738580459,5363.14,5430.50,489
1738580519,5363.29,5440.00,490
1738580579,5363.29,5440.00,490
1738580638,5363.29,5440.00,490
1738580699,5380.28,5436.80,640
1738580759,5380.41,5424.05,642
1738580819,5383.79,5423.30,695
1738580879,5385.14,5432.90,715
1738580938,5386.72,5440.50,736
1738580999,5386.72,5440.50,736
1738581058,5386.72,5440.50,736
1738581119,5387.50,5445.00,746
1738581179,5387.50,5445.00,746
1738581239,5387.50,5445.00,746
1738581299,5387.50,5445.00,746
1738581359,5387.50,5445.00,746
1738581419,5387.50,5445.00,746
1738581479,5387.50,5445.00,746
1738581539,5387.50,5445.00,746
1738581599,5387.50,5445.00,746
1738581657,5387.50,5445.00,746
1738581719,5387.50,5445.00,746
1738581779,5387.50,5445.00,746
1738581839,5387.50,5445.00,746
1738581899,5387.55,5425.00,747
1738581959,5387.55,5425.00,747
1738582019,5387.55,5425.00,747
1738582079,5387.61,5433.90,748
1738582139,5387.61,5433.90,748
1738582199,5387.61,5433.90,748
1738582255,5387.61,5433.90,748
1738582319,5387.61,5433.90,748
1738582379,5387.61,5433.90,748
1738582439,5387.77,5410.70,753
1738582499,5391.11,5407.55,898
1738582559,5391.11,5407.55,898
1738582619,5391.11,5407.55,898
1738582679,5391.18,5405.75,902
1738582739,5391.18,5405.75,902
1738582799,5391.18,5405.75,902
1738582859,5391.18,5405.75,902
1738582919,5391.18,5405.75,902
1738582979,5391.18,5405.75,902
1738583039,5391.18,5405.75,902
1738583099,5391.18,5405.75,902
1738583159,5391.18,5405.75,902
1738583219,5391.18,5405.75,902
1738583279,5391.18,5405.75,902
1738583339,5391.18,5405.75,902
1738583399,5391.18,5405.75,902
1738583459,5391.18,5405.75,902
1738583519,5391.18,5405.75,902
1738583579,5391.18,5405.75,902
1738583639,5391.32,5412.70,908
1738583699,5391.32,5412.70,908
1738583759,5391.32,5412.70,908
1738583819,5391.32,5412.70,908
1738583879,5391.36,5410.50,910
1738583939,5391.36,5410.50,910
1738583999,5391.36,5410.50,910
1738584059,5391.36,5410.50,910
1738584119,5391.36,5410.50,910
1738584179,5391.36,5410.50,910
1738584239,5391.36,5410.50,910
1738584299,5391.36,5410.50,910
1738584359,5391.36,5410.50,910
1738584419,5391.36,5410.50,910
1738584479,5391.36,5410.50,910
1738584539,5391.40,5403.50,913
1738584599,5391.53,5403.00,923
1738584656,5391.53,5403.00,923
1738584719,5391.53,5403.00,923
1738584776,5391.53,5403.00,923
1738584839,5391.53,5403.00,923
1738584899,5391.53,5403.00,923
1738584959,5391.53,5403.00,923
1738585019,5391.53,5403.00,923
1738585079,5391.53,5403.00,923
1738585139,5391.53,5403.00,923
1738585198,5391.52,5386.85,924
1738585259,5391.52,5386.85,924
1738585319,5391.52,5386.85,924
1738585379,5391.52,5386.85,924
1738585439,5391.52,5386.85,924
1738585499,5391.52,5386.85,924
1738585559,5391.52,5386.85,924
1738585619,5391.51,5386.85,927
1738585679,5391.51,5386.85,927
1738585739,5391.51,5386.85,927
1738585799,5391.51,5386.85,927
1738585859,5391.51,5386.85,927
1738585919,5391.51,5386.85,927
1738585979,5391.51,5386.85,927
1738586039,5391.51,5386.85,927
1738586099,5391.51,5386.85,927
1738586159,5391.51,5386.85,927
1738586219,5391.50,5383.25,928
1738586279,5391.50,5383.25,928
1738586337,5391.45,5378.10,933
1738586399,5391.45,5378.10,933
1738586459,5391.45,5378.10,933
1738586519,5391.45,5378.10,933
1738586579,5391.45,5378.10,933
1738586639,5391.45,5378.10,933
1738586699,5391.45,5378.10,933
1738586759,5391.45,5378.10,933
1738586819,5391.45,5378.10,933
1738586879,5391.45,5378.10,933
1738586939,5391.45,5378.10,933
1738586999,5391.45,5378.10,933
1738587057,5391.45,5378.10,933
1738587119,5391.46,5394.40,934
1738587178,5392.93,5404.05,1079
1738587239,5392.93,5404.05,1079
1738587299,5392.93,5395.40,1082
1738587359,5392.94,5395.10,1085
1738587419,5392.94,5395.10,1085
1738587479,5392.94,5395.10,1085
1738587539,5392.94,5395.10,1085
1738587599,5392.94,5395.10,1085
1738587659,5392.94,5395.10,1085
1738587719,5392.94,5395.10,1085
1738587779,5392.94,5395.10,1085
1738587839,5393.60,5420.45,1118
1738587899,5393.75,5421.70,1124
1738587959,5393.81,5428.40,1126
1738588019,5393.81,5428.40,1126
1738588079,5393.81,5428.40,1126
1738588139,5393.81,5428.40,1126
1738588199,5393.81,5428.40,1126
1738588259,5393.84,5423.20,1127
1738588319,5393.84,5423.20,1127
1738588379,5393.84,5423.20,1127
1738588439,5393.95,5436.80,1130
1738588499,5394.26,5428.75,1140
1738588559,5394.26,5428.75,1140
1738588619,5394.45,5437.75,1145
1738588679,5394.45,5437.75,1145
1738588739,5394.45,5437.75,1145
1738588799,5394.45,5437.75,1145
1738588859,5394.45,5437.75,1145
1738588913,5394.45,5437.75,1145
1738588979,5394.71,5437.75,1152
1738589039,5394.71,5437.75,1152
1738589099,5394.71,5437.75,1152
1738589159,5394.71,5437.75,1152
1738589219,5394.71,5437.75,1152
1738589279,5394.71,5437.75,1152
1738589339,5394.71,5437.75,1152
1738589399,5394.75,5433.85,1153
1738589459,5394.75,5433.85,1153
1738589519,5394.75,5433.85,1153
1738589578,5394.75,5433.85,1153
1738589637,5394.75,5433.85,1153
1738589699,5394.75,5433.85,1153
1738589759,5394.75,5433.85,1153
1738589819,5394.75,5433.85,1153
1738589879,5394.75,5433.85,1153
1738589939,5394.75,5433.85,1153
1738589999,5394.84,5422.45,1157
1738590059,5394.84,5422.45,1157
1738590119,5394.84,5422.45,1157
1738590179,5394.84,5422.45,1157
1738590239,5394.84,5422.45,1157
1738590299,5394.92,5418.60,1161
1738590359,5394.92,5418.60,1161
1738590419,5394.92,5418.60,1161
1738590479,5394.92,5418.60,1161
1738590536,5394.92,5418.60,1161
1738590599,5394.96,5437.95,1162
1738590659,5397.92,5442.05,1233
1738590719,5397.92,5442.05,1233
1738590779,5397.95,5437.85,1234
1738590839,5398.29,5449.95,1242
1738590899,5398.29,5449.95,1242
1738590959,5398.76,5440.55,1256
1738591016,5398.76,5440.55,1256
1738591079,5398.76,5440.55,1256
1738591139,5398.76,5440.55,1256
1738591199,5398.76,5440.55,1256
1738591259,5398.81,5433.15,1258
1738591319,5398.81,5433.15,1258
1738591379,5398.81,5433.15,1258
1738591439,5398.81,5433.15,1258
1738591495,5398.81,5433.15,1258
1738591559,5398.81,5433.15,1258
1738591619,5398.81,5433.15,1258
1738591679,5399.12,5438.20,1268
1738591739,5399.12,5438.20,1268
1738591799,5399.12,5438.20,1268
1738591859,5399.15,5435.60,1269
1738591919,5399.15,5435.60,1269
1738591979,5399.57,5455.00,1279
1738592039,5399.62,5460.95,1280
