t,ap,cp,v
1738573635,6219.70,6219.70,265
1738573682,6219.70,6219.70,265
1738573740,6219.70,6219.70,265
1738574159,6152.99,6140.00,1829
1738574219,6137.55,6058.05,2449
1738574279,6125.15,6062.75,3770
1738574339,6117.06,6071.80,4301
1738574399,6111.04,6069.95,4837
1738574459,6108.50,6063.85,5117
1738574518,6104.77,6064.75,5625
1738574579,6102.51,6059.80,5945
1738574639,6100.98,6055.20,6144
1738574699,6100.19,6068.45,6297
1738574758,6097.30,6085.00,6822
1738574819,6097.14,6106.25,7354
1738574879,6098.67,6121.50,7793
1738574939,6101.25,6136.40,8395
1738574999,6104.46,6157.15,8982
1738575059,6105.34,6106.30,9410
1738575119,6106.01,6110.35,10018
1738575179,6106.18,6131.65,10104
1738575239,6107.00,6099.90,10603
1738575299,6106.33,6083.25,10912
1738575359,6104.03,6048.30,11451
1738575419,6098.19,6042.05,12735
1738575479,6097.63,6043.75,12868
1738575539,6097.13,6050.00,12988
1738575599,6096.57,6057.15,13204
1738575659,6096.04,6089.65,13583
1738575719,6095.79,6082.40,13928
1738575779,6095.48,6071.35,14072
1738575839,6095.43,6067.60,14096
1738575899,6095.38,6062.50,14121
1738575959,6094.89,6054.90,14274
1738576019,6094.78,6044.30,14311
1738576079,6093.91,6052.50,14578
1738576139,6093.53,6076.65,14784
1738576199,6093.40,6065.05,14866
1738576257,6093.16,6067.00,14984
1738576319,6092.98,6067.85,15097
1738576379,6092.65,6048.40,15258
1738576439,6092.24,6050.75,15394
1738576499,6091.31,6053.05,15788
1738576558,6091.00,6050.10,15910
1738576619,6090.75,6079.40,16151
1738576679,6090.59,6080.00,16407
1738576739,6090.48,6075.60,16516
1738576799,6090.48,6103.35,16585
1738576858,6090.51,6100.00,16631
1738576919,6090.54,6100.00,16664
1738576979,6090.56,6096.95,16714
1738577038,6090.56,6100.10,16751
1738577099,6090.57,6091.25,16778
1738577159,6090.85,6115.05,17181
1738577219,6093.44,6140.35,18537
1738577279,6093.59,6132.00,18610
1738577339,6094.00,6130.05,18839
1738577399,6096.24,6145.70,19690
1738577459,6096.73,6153.95,19859
1738577519,6097.44,6156.95,20105
1738577579,6097.84,6160.15,20245
1738577638,6098.02,6158.85,20303
1738577699,6099.62,6129.05,20887
1738577759,6099.81,6120.10,21010
1738577819,6099.92,6120.40,21109
1738577877,6100.15,6129.45,21267
1738577939,6100.36,6120.85,21481
1738577999,6100.40,6127.75,21519
1738578059,6100.56,6130.00,21657
1738578119,6100.59,6134.95,21677
1738578179,6101.18,6151.60,21948
1738578239,6101.20,6161.00,21954
1738578299,6102.64,6172.00,22458
1738578359,6103.16,6165.25,22623
1738578419,6103.75,6177.85,22803
1738578479,6103.86,6189.15,22836
1738578539,6105.16,6190.05,23196
1738578599,6105.39,6203.40,23255
1738578659,6106.61,6202.00,23551
1738578718,6106.77,6193.35,23590
1738578779,6106.99,6184.45,23657
1738578839,6107.25,6176.45,23738
1738578899,6107.33,6182.25,23767
1738578959,6107.37,6185.30,23780
1738579019,6107.58,6190.80,23843
1738579079,6107.71,6182.50,23884
1738579139,6107.75,6197.65,23898
1738579196,6108.31,6200.95,24045
1738579259,6109.06,6198.30,24218
1738579319,6109.19,6202.70,24253
1738579379,6109.24,6196.25,24268
1738579439,6109.31,6204.20,24286
1738579499,6109.46,6207.80,24324
1738579559,6109.70,6197.50,24389
1738579619,6109.77,6201.95,24409
1738579679,6110.11,6205.00,24492
1738579739,6112.15,6200.00,25054
1738579799,6112.37,6201.70,25114
1738579859,6113.27,6209.40,25350
1738579919,6113.41,6215.00,25387
1738579979,6113.43,6210.00,25391
1738580039,6113.74,6206.75,25473
1738580099,6114.02,6206.55,25552
1738580159,6114.51,6190.00,25709
1738580219,6114.66,6197.85,25754
1738580279,6114.88,6188.15,25832
1738580339,6115.16,6195.65,25927
1738580399,6115.22,6199.05,25945
1738580459,6115.45,6208.30,26014
1738580519,6115.57,6208.00,26046
1738580579,6115.61,6209.95,26059
1738580639,6115.70,6215.00,26084
1738580699,6116.37,6225.35,26246
1738580759,6116.42,6224.40,26259
1738580819,6116.46,6210.35,26272
1738580879,6116.51,6219.60,26284
1738580937,6116.89,6219.20,26379
1738580999,6118.13,6221.55,26704
1738581059,6118.43,6224.90,26781
1738581119,6118.44,6223.60,26782
1738581178,6118.44,6216.35,26783
1738581239,6118.48,6211.60,26794
1738581299,6118.90,6182.50,26953
1738581359,6119.23,6188.35,27090
1738581419,6119.49,6176.85,27198
1738581479,6119.71,6180.00,27298
1738581539,6119.84,6161.35,27363
1738581599,6119.87,6173.25,27377
1738581657,6119.93,6163.80,27415
1738581719,6119.98,6166.70,27446
1738581779,6120.00,6169.70,27456
1738581839,6120.05,6165.55,27484
1738581898,6120.73,6158.95,28106
1738581959,6120.75,6157.00,28115
1738582019,6120.92,6161.25,28246
1738582079,6120.99,6150.90,28303
1738582139,6121.24,6140.00,28543
1738582199,6121.26,6137.40,28589
1738582259,6121.27,6146.55,28594
1738582317,6121.28,6146.25,28612
1738582379,6121.36,6147.70,28696
1738582439,6121.36,6142.15,28703
1738582498,6121.40,6130.85,28806
1738582559,6121.40,6142.05,28811
1738582619,6121.40,6142.15,28813
1738582679,6121.43,6136.90,28857
1738582739,6121.43,6126.85,29010
1738582799,6121.39,6112.55,29204
1738582859,6121.38,6114.45,29290
1738582919,6121.35,6105.50,29360
1738582978,6121.33,6105.35,29397
1738583039,6121.24,6101.35,29529
1738583099,6121.24,6101.35,29529
1738583159,6121.23,6120.10,29549
1738583219,6121.28,6131.95,29751
1738583279,6121.30,6141.35,29787
1738583339,6121.31,6143.65,29809
1738583399,6121.39,6145.95,29912
1738583459,6121.50,6160.00,29998
1738583519,6121.52,6168.05,30013
1738583579,6121.62,6164.00,30076
1738583639,6121.65,6165.50,30098
1738583699,6121.68,6166.15,30118
1738583759,6122.01,6170.00,30319
1738583819,6122.02,6166.85,30325
1738583879,6122.06,6164.00,30352
1738583939,6122.32,6160.25,30558
1738583999,6122.37,6167.50,30588
1738584057,6122.38,6166.05,30600
1738584119,6122.72,6174.55,30804
1738584179,6122.87,6152.50,30910
1738584239,6122.87,6146.60,30917
1738584299,6122.87,6146.60,30917
1738584359,6123.28,6143.35,31444
1738584419,6123.39,6150.00,31579
1738584477,6123.39,6150.00,31579
1738584539,6123.41,6140.00,31598
1738584599,6123.45,6146.75,31664
1738584659,6123.60,6144.35,31842
1738584719,6123.66,6131.00,31973
1738584776,6123.67,6134.20,31992
1738584839,6123.71,6143.30,32053
1738584899,6123.93,6120.65,32463
1738584959,6123.93,6118.50,32465
1738585019,6123.93,6121.70,32490
1738585079,6123.93,6122.20,32494
1738585139,6123.93,6122.20,32494
1738585199,6123.93,6116.65,32497
1738585259,6123.93,6116.65,32497
1738585319,6123.90,6106.35,32572
1738585379,6123.74,6079.65,32762
1738585439,6123.08,6081.55,33262
1738585499,6122.78,6077.25,33470
1738585559,6122.73,6097.40,33527
1738585619,6122.71,6098.00,33561
1738585679,6122.71,6098.00,33563
1738585739,6122.67,6098.30,33618
1738585799,6122.63,6087.00,33658
1738585859,6122.40,6082.80,33896
1738585919,6122.28,6089.25,34015
1738585979,6122.27,6090.00,34030
1738586039,6122.27,6090.00,34030
1738586099,6122.27,6090.00,34030
1738586159,6122.27,6086.85,34033
1738586219,6122.27,6086.85,34033
1738586279,6122.23,6084.10,34064
1738586339,6122.23,6084.10,34064
1738586399,6122.10,6080.00,34186
1738586459,6122.10,6080.00,34186
1738586519,6122.10,6080.00,34186
1738586579,6122.07,6080.60,34211
1738586639,6122.06,6080.60,34215
1738586699,6121.99,6081.80,34273
1738586759,6121.99,6087.20,34276
1738586819,6121.99,6084.30,34277
1738586879,6121.95,6075.00,34309
1738586939,6121.94,6072.35,34312
1738586999,6121.87,6078.25,34362
1738587057,6121.78,6078.35,34428
1738587119,6121.78,6077.50,34433
1738587177,6121.73,6076.80,34466
1738587239,6121.72,6066.00,34472
1738587299,6121.70,6058.40,34486
1738587359,6121.45,6054.80,34609
1738587419,6121.02,6062.00,34864
1738587479,6121.00,6061.65,34873
1738587539,6120.97,6058.35,34889
1738587599,6120.97,6058.35,34889
1738587659,6120.91,6050.95,34922
1738587719,6120.90,6049.20,34927
1738587779,6120.84,6058.50,34958
1738587839,6120.75,6080.50,35036
1738587899,6120.68,6083.25,35108
1738587959,6120.44,6080.00,35318
1738588019,6120.38,6075.00,35368
1738588079,6120.23,6081.20,35481
1738588139,6120.23,6081.20,35482
1738588199,6120.23,6100.00,35487
1738588259,6120.22,6100.00,35512
1738588319,6120.14,6096.50,35621
1738588379,6120.13,6096.85,35634
1738588439,6120.09,6102.65,35692
1738588499,6120.09,6098.70,35699
1738588559,6120.09,6093.60,35702
1738588619,6120.09,6093.60,35702
1738588679,6120.08,6096.35,35712
1738588739,6120.07,6093.80,35725
1738588799,6120.07,6094.40,35730
1738588859,6120.06,6090.35,35743
1738588919,6120.05,6091.00,35754
1738588979,6120.03,6085.00,35779
1738589039,6120.00,6084.70,35807
1738589099,6119.99,6083.85,35814
1738589159,6119.98,6083.50,35821
1738589219,6119.96,6076.90,35843
1738589279,6119.93,6078.30,35868
1738589339,6119.90,6078.00,35893
1738589399,6119.83,6081.00,35954
1738589459,6119.83,6088.55,35959
1738589519,6119.82,6088.80,35964
1738589579,6119.71,6080.00,36064
1738589637,6119.61,6061.10,36142
1738589699,6119.54,6061.90,36186
1738589759,6119.54,6061.90,36186
1738589819,6119.53,6075.85,36196
1738589879,6119.52,6081.55,36200
1738589939,6119.52,6075.35,36207
1738589999,6119.51,6083.55,36209
1738590059,6119.51,6089.40,36217
1738590119,6119.50,6098.00,36222
1738590179,6119.50,6099.90,36228
1738590239,6119.49,6101.40,36248
1738590299,6119.49,6108.00,36254
1738590359,6119.48,6110.65,36285
1738590419,6119.47,6102.90,36295
1738590479,6119.47,6102.90,36297
1738590539,6119.47,6102.90,36297
1738590599,6119.47,6105.65,36299
1738590659,6119.47,6104.05,36303
1738590719,6119.47,6104.05,36303
1738590779,6119.45,6085.60,36324
1738590839,6119.45,6092.75,36328
1738590899,6119.41,6085.50,36372
1738590959,6119.40,6093.85,36384
1738591019,6119.39,6094.60,36401
1738591079,6119.39,6099.00,36404
1738591139,6119.39,6099.00,36404
1738591199,6119.38,6099.50,36413
1738591259,6119.37,6116.45,36462
1738591319,6119.39,6130.95,36571
1738591379,6119.40,6125.60,36601
1738591439,6119.40,6112.45,36605
1738591499,6119.39,6114.75,36640
1738591559,6119.39,6117.60,36647
1738591619,6119.39,6116.40,36655
1738591679,6119.39,6118.90,36669
1738591739,6119.39,6118.90,36669
1738591799,6119.39,6119.75,36670
1738591859,6119.41,6130.00,36745
1738591919,6119.42,6113.00,36911
1738591979,6119.42,6115.75,36914
1738592039,6119.40,6115.55,36975
1738592099,6119.40,6111.65,36995
1738592159,6119.40,6120.80,36998
1738592219,6119.40,6127.60,37004
1738592279,6119.40,6130.00,37008
1738592339,6119.40,6125.30,37009
1738592399,6119.41,6120.05,37116
1738592457,6119.41,6120.05,37116
1738592519,6119.41,6120.05,37116
1738592579,6119.41,6128.95,37120
1738592639,6119.41,6126.85,37122
1738592699,6119.41,6130.45,37129
1738592759,6119.41,6130.45,37129
1738592819,6119.41,6130.45,37133
1738592879,6119.41,6130.45,37133
1738592939,6119.41,6132.00,37135
1738592997,6119.41,6130.00,37146
1738593059,6119.42,6130.10,37161
1738593119,6119.42,6130.10,37161
1738593179,6119.42,6122.70,37183
1738593239,6119.43,6131.00,37231
1738593299,6119.43,6131.00,37232
1738593359,6119.44,6134.95,37234
1738593419,6119.44,6134.95,37234
1738593479,6119.47,6135.95,37319
1738593539,6119.47,6129.20,37322
1738593599,6119.48,6136.20,37329
1738593659,6119.48,6136.20,37329
1738593719,6119.48,6128.05,37342
1738593779,6119.48,6128.05,37342
1738593839,6119.48,6128.05,37358
1738593899,6119.49,6133.05,37387
1738593959,6119.49,6133.05,37387
1738594019,6119.49,6133.05,37387
1738594079,6119.49,6127.65,37388
1738594139,6119.49,6121.10,37418
1738594199,6119.49,6116.20,37427
1738594259,6119.49,6117.95,37437
1738594318,6119.49,6124.10,37457
1738594379,6119.49,6124.10,37457
1738594439,6119.49,6130.00,37462
1738594499,6119.49,6130.00,37462
1738594559,6119.49,6127.05,37463
1738594619,6119.51,6127.75,37514
1738594679,6119.51,6127.75,37514
1738594739,6119.53,6128.75,37665
1738594799,6119.53,6129.25,37687
1738594858,6119.54,6144.50,37702
1738594919,6119.55,6132.15,37724
1738594979,6119.55,6132.85,37734
1738595039,6119.59,6133.50,37834
1738595099,6119.59,6134.30,37835
1738595159,6119.68,6139.95,38074
1738595219,6119.70,6145.45,38093
1738595279,6119.78,6145.00,38214
1738595339,6119.81,6142.60,38259
1738595399,6119.81,6143.30,38269
1738595459,6119.93,6146.85,38455
1738595518,6119.97,6144.60,38516
1738595579,6120.03,6140.00,38628
1738595639,6120.20,6150.00,38885
1738595699,6120.29,6153.00,39002
1738595759,6120.30,6137.90,39025
1738595819,6120.37,6144.40,39230
1738595879,6120.38,6136.00,39254
1738595937,6120.40,6131.90,39300
1738595999,6120.40,6130.50,39303
1738596059,6120.41,6126.00,39355
1738596119,6120.41,6122.80,39400
1738596179,6120.41,6126.15,39407
1738596239,6120.42,6123.45,39501
1738596299,6120.44,6132.95,39597
1738596359,6120.45,6125.55,39646
1738596419,6120.45,6125.40,39685
1738596479,6120.45,6125.00,39709
1738596539,6120.44,6111.90,40011
1738596598,6120.43,6100.00,40041
1738596600,6120.43,6100.00,40041
1738596679,6120.43,6100.00,40041
1738597234,6120.43,6134.85,40044
1738597420,6120.43,6134.85,40044
1738597929,6120.43,6134.85,40044
1738598402,6120.43,6134.85,40044
1738598486,6120.43,6134.85,40044
t,ap,cp,v
1738573635,6219.70,6219.70,265
1738573682,6219.70,6219.70,265
1738573740,6219.70,6219.70,265
1738574159,6152.99,6140.00,1829
1738574219,6137.55,6058.05,2449
1738574279,6125.15,6062.75,3770
1738574339,6117.06,6071.80,4301
1738574399,6111.04,6069.95,4837
1738574459,6108.50,6063.85,5117
1738574518,6104.77,6064.75,5625
1738574579,6102.51,6059.80,5945
1738574639,6100.98,6055.20,6144
1738574699,6100.19,6068.45,6297
1738574758,6097.30,6085.00,6822
1738574819,6097.14,6106.25,7354
1738574879,6098.67,6121.50,7793
1738574939,6101.25,6136.40,8395
1738574999,6104.46,6157.15,8982
1738575059,6105.34,6106.30,9410
1738575119,6106.01,6110.35,10018
1738575179,6106.18,6131.65,10104
1738575239,6107.00,6099.90,10603
1738575299,6106.33,6083.25,10912
1738575359,6104.03,6048.30,11451
1738575419,6098.19,6042.05,12735
1738575479,6097.63,6043.75,12868
1738575539,6097.13,6050.00,12988
1738575599,6096.57,6057.15,13204
1738575659,6096.04,6089.65,13583
1738575719,6095.79,6082.40,13928
1738575779,6095.48,6071.35,14072
1738575839,6095.43,6067.60,14096
1738575899,6095.38,6062.50,14121
1738575959,6094.89,6054.90,14274
1738576019,6094.78,6044.30,14311
1738576079,6093.91,6052.50,14578
1738576139,6093.53,6076.65,14784
1738576199,6093.40,6065.05,14866
1738576257,6093.16,6067.00,14984
1738576319,6092.98,6067.85,15097
1738576379,6092.65,6048.40,15258
1738576439,6092.24,6050.75,15394
1738576499,6091.31,6053.05,15788
1738576558,6091.00,6050.10,15910
1738576619,6090.75,6079.40,16151
1738576679,6090.59,6080.00,16407
1738576739,6090.48,6075.60,16516
1738576799,6090.48,6103.35,16585
1738576858,6090.51,6100.00,16631
1738576919,6090.54,6100.00,16664
1738576979,6090.56,6096.95,16714
1738577038,6090.56,6100.10,16751
1738577099,6090.57,6091.25,16778
1738577159,6090.85,6115.05,17181
1738577219,6093.44,6140.35,18537
1738577279,6093.59,6132.00,18610
1738577339,6094.00,6130.05,18839
1738577399,6096.24,6145.70,19690
1738577459,6096.73,6153.95,19859
1738577519,6097.44,6156.95,20105
1738577579,6097.84,6160.15,20245
1738577638,6098.02,6158.85,20303
1738577699,6099.62,6129.05,20887
1738577759,6099.81,6120.10,21010
1738577819,6099.92,6120.40,21109
1738577877,6100.15,6129.45,21267
1738577939,6100.36,6120.85,21481
1738577999,6100.40,6127.75,21519
1738578059,6100.56,6130.00,21657
1738578119,6100.59,6134.95,21677
1738578179,6101.18,6151.60,21948
1738578239,6101.20,6161.00,21954
1738578299,6102.64,6172.00,22458
1738578359,6103.16,6165.25,22623
1738578419,6103.75,6177.85,22803
1738578479,6103.86,6189.15,22836
1738578539,6105.16,6190.05,23196
1738578599,6105.39,6203.40,23255
1738578659,6106.61,6202.00,23551
1738578718,6106.77,6193.35,23590
1738578779,6106.99,6184.45,23657
1738578839,6107.25,6176.45,23738
1738578899,6107.33,6182.25,23767
1738578959,6107.37,6185.30,23780
1738579019,6107.58,6190.80,23843
1738579079,6107.71,6182.50,23884
1738579139,6107.75,6197.65,23898
1738579196,6108.31,6200.95,24045
1738579259,6109.06,6198.30,24218
1738579319,6109.19,6202.70,24253
1738579379,6109.24,6196.25,24268
1738579439,6109.31,6204.20,24286
1738579499,6109.46,6207.80,24324
1738579559,6109.70,6197.50,24389
1738579619,6109.77,6201.95,24409
1738579679,6110.11,6205.00,24492
1738579739,6112.15,6200.00,25054
1738579799,6112.37,6201.70,25114
1738579859,6113.27,6209.40,25350
1738579919,6113.41,6215.00,25387
1738579979,6113.43,6210.00,25391
1738580039,6113.74,6206.75,25473
1738580099,6114.02,6206.55,25552
1738580159,6114.51,6190.00,25709
1738580219,6114.66,6197.85,25754
1738580279,6114.88,6188.15,25832
1738580339,6115.16,6195.65,25927
1738580399,6115.22,6199.05,25945
1738580459,6115.45,6208.30,26014
1738580519,6115.57,6208.00,26046
1738580579,6115.61,6209.95,26059
1738580639,6115.70,6215.00,26084
1738580699,6116.37,6225.35,26246
1738580759,6116.42,6224.40,26259
1738580819,6116.46,6210.35,26272
1738580879,6116.51,6219.60,26284
1738580937,6116.89,6219.20,26379
1738580999,6118.13,6221.55,26704
1738581059,6118.43,6224.90,26781
1738581119,6118.44,6223.60,26782
1738581178,6118.44,6216.35,26783
1738581239,6118.48,6211.60,26794
1738581299,6118.90,6182.50,26953
1738581359,6119.23,6188.35,27090
1738581419,6119.49,6176.85,27198
1738581479,6119.71,6180.00,27298
1738581539,6119.84,6161.35,27363
1738581599,6119.87,6173.25,27377
1738581657,6119.93,6163.80,27415
1738581719,6119.98,6166.70,27446
1738581779,6120.00,6169.70,27456
1738581839,6120.05,6165.55,27484
1738581898,6120.73,6158.95,28106
1738581959,6120.75,6157.00,28115
1738582019,6120.92,6161.25,28246
1738582079,6120.99,6150.90,28303
1738582139,6121.24,6140.00,28543
1738582199,6121.26,6137.40,28589
1738582259,6121.27,6146.55,28594
1738582317,6121.28,6146.25,28612
1738582379,6121.36,6147.70,28696
1738582439,6121.36,6142.15,28703
1738582498,6121.40,6130.85,28806
1738582559,6121.40,6142.05,28811
1738582619,6121.40,6142.15,28813
1738582679,6121.43,6136.90,28857
1738582739,6121.43,6126.85,29010
1738582799,6121.39,6112.55,29204
1738582859,6121.38,6114.45,29290
1738582919,6121.35,6105.50,29360
1738582978,6121.33,6105.35,29397
1738583039,6121.24,6101.35,29529
1738583099,6121.24,6101.35,29529
1738583159,6121.23,6120.10,29549
1738583219,6121.28,6131.95,29751
1738583279,6121.30,6141.35,29787
1738583339,6121.31,6143.65,29809
1738583399,6121.39,6145.95,29912
1738583459,6121.50,6160.00,29998
1738583519,6121.52,6168.05,30013
1738583579,6121.62,6164.00,30076
1738583639,6121.65,6165.50,30098
1738583699,6121.68,6166.15,30118
1738583759,6122.01,6170.00,30319
1738583819,6122.02,6166.85,30325
1738583879,6122.06,6164.00,30352
1738583939,6122.32,6160.25,30558
1738583999,6122.37,6167.50,30588
1738584057,6122.38,6166.05,30600
1738584119,6122.72,6174.55,30804
1738584179,6122.87,6152.50,30910
1738584239,6122.87,6146.60,30917
1738584299,6122.87,6146.60,30917
1738584359,6123.28,6143.35,31444
1738584419,6123.39,6150.00,31579
1738584477,6123.39,6150.00,31579
1738584539,6123.41,6140.00,31598
1738584599,6123.45,6146.75,31664
1738584659,6123.60,6144.35,31842
1738584719,6123.66,6131.00,31973
1738584776,6123.67,6134.20,31992
1738584839,6123.71,6143.30,32053
1738584899,6123.93,6120.65,32463
1738584959,6123.93,6118.50,32465
1738585019,6123.93,6121.70,32490
1738585079,6123.93,6122.20,32494
1738585139,6123.93,6122.20,32494
1738585199,6123.93,6116.65,32497
1738585259,6123.93,6116.65,32497
1738585319,6123.90,6106.35,32572
1738585379,6123.74,6079.65,32762
1738585439,6123.08,6081.55,33262
1738585499,6122.78,6077.25,33470
1738585559,6122.73,6097.40,33527
1738585619,6122.71,6098.00,33561
1738585679,6122.71,6098.00,33563
1738585739,6122.67,6098.30,33618
1738585799,6122.63,6087.00,33658
1738585859,6122.40,6082.80,33896
1738585919,6122.28,6089.25,34015
1738585979,6122.27,6090.00,34030
1738586039,6122.27,6090.00,34030
1738586099,6122.27,6090.00,34030
1738586159,6122.27,6086.85,34033
1738586219,6122.27,6086.85,34033
1738586279,6122.23,6084.10,34064
1738586339,6122.23,6084.10,34064
1738586399,6122.10,6080.00,34186
1738586459,6122.10,6080.00,34186
1738586519,6122.10,6080.00,34186
1738586579,6122.07,6080.60,34211
1738586639,6122.06,6080.60,34215
1738586699,6121.99,6081.80,34273
1738586759,6121.99,6087.20,34276
1738586819,6121.99,6084.30,34277
1738586879,6121.95,6075.00,34309
1738586939,6121.94,6072.35,34312
1738586999,6121.87,6078.25,34362
