t,ap,cp,v
1738573740,1.35,1.35,1406
1738573859,1.35,1.35,1406
1738574136,1.35,1.35,1706
1738574205,1.35,1.36,1952
1738574270,1.35,1.36,2611
1738574315,1.35,1.36,11061
1738574391,1.35,1.34,23838
1738574449,1.35,1.36,26102
1738574513,1.35,1.36,26604
1738574578,1.35,1.32,27254
1738574627,1.35,1.32,27254
1738574679,1.35,1.32,27254
1738574752,1.35,1.35,27543
1738574801,1.35,1.35,27783
1738574865,1.35,1.35,28783
1738574917,1.35,1.35,28783
1738574991,1.35,1.35,28857
1738575044,1.35,1.35,28927
1738575118,1.35,1.35,29027
1738575171,1.35,1.36,31856
1738575238,1.32,1.36,111956
1738575297,1.32,1.35,112248
1738575355,1.33,1.32,122768
1738575404,1.33,1.32,124918
1738575478,1.33,1.32,124918
1738575536,1.33,1.32,124943
1738575596,1.33,1.35,125013
1738575658,1.31,1.33,224914
1738575712,1.31,1.33,224974
1738575775,1.31,1.33,225033
1738575824,1.31,1.31,225083
1738575871,1.31,1.28,226027
1738575958,1.31,1.28,226308
1738576009,1.31,1.30,227225
1738576077,1.31,1.30,227561
1738576137,1.31,1.28,228062
1738576191,1.31,1.28,228312
1738576246,1.31,1.28,228600
1738576315,1.31,1.28,230680
1738576376,1.31,1.29,233201
1738576424,1.31,1.29,234411
1738576485,1.31,1.28,235381
1738576548,1.31,1.28,235381
1738576611,1.31,1.29,235431
1738576622,1.31,1.29,235435
1738576739,1.31,1.28,235463
1738576752,1.31,1.28,235863
1738576850,1.31,1.29,236416
1738576909,1.31,1.29,246756
1738576965,1.31,1.29,248359
1738577039,1.31,1.27,256587
1738577099,1.30,1.27,308187
1738577159,1.30,1.29,321157
1738577216,1.30,1.29,322461
1738577279,1.30,1.29,322547
1738577323,1.30,1.27,322723
1738577391,1.30,1.29,322834
1738577455,1.30,1.27,322984
1738577493,1.30,1.29,323019
1738577563,1.30,1.29,323072
1738577637,1.30,1.29,323072
1738577688,1.30,1.27,323881
1738577751,1.30,1.27,323881
1738577819,1.30,1.29,324260
1738577872,1.30,1.28,325471
1738577935,1.30,1.28,326315
1738577969,1.30,1.28,326815
1738578022,1.30,1.28,326832
1738578115,1.30,1.28,330112
1738578161,1.30,1.28,330164
1738578217,1.30,1.28,330164
1738578258,1.30,1.28,330164
1738578350,1.30,1.28,330484
1738578396,1.30,1.28,330584
1738578460,1.30,1.28,330590
1738578518,1.30,1.27,351123
1738578552,1.30,1.27,351123
1738578621,1.30,1.28,351151
1738578673,1.30,1.28,351426
1738578759,1.30,1.28,352426
1738578826,1.30,1.28,352428
1738578954,1.30,1.28,370641
1738579004,1.30,1.28,370714
1738579066,1.30,1.28,371234
1738579156,1.30,1.28,371234
1738579224,1.30,1.28,374146
1738579315,1.30,1.28,374146
1738579379,1.30,1.29,374171
1738579411,1.30,1.28,374425
1738579555,1.30,1.28,374425
1738579669,1.30,1.29,374437
1738579725,1.30,1.29,375672
1738579795,1.30,1.28,381051
1738579844,1.30,1.28,382052
1738579913,1.30,1.28,382081
1738579978,1.30,1.28,382196
1738579992,1.30,1.28,382196
1738580094,1.30,1.29,388061
1738580139,1.30,1.28,388097
1738580211,1.30,1.29,388303
1738580230,1.30,1.29,388303
1738580311,1.30,1.29,388312
1738580398,1.30,1.28,390553
1738580451,1.30,1.28,391433
1738580516,1.30,1.28,392010
1738580568,1.30,1.28,392022
1738580631,1.30,1.28,392037
1738580699,1.30,1.28,392037
1738580756,1.30,1.28,392079
1738580796,1.30,1.28,392470
1738580877,1.30,1.27,392496
1738580938,1.29,1.28,395967
1738580988,1.29,1.28,395967
1738581039,1.29,1.27,395969
1738581104,1.29,1.27,403269
1738581132,1.29,1.29,405869
1738581183,1.29,1.29,405949
1738581299,1.29,1.29,405989
1738581344,1.29,1.27,406249
1738581393,1.29,1.27,407049
1738581469,1.29,1.27,407253
1738581534,1.29,1.29,407362
1738581583,1.29,1.27,408087
1738581642,1.29,1.27,408368
1738581718,1.29,1.29,408375
1738581838,1.29,1.29,408398
1738581860,1.29,1.29,408398
1738581949,1.29,1.29,408398
1738582019,1.29,1.28,413808
1738582075,1.29,1.29,413828
1738582131,1.29,1.29,413828
1738582176,1.29,1.28,413829
1738582259,1.29,1.29,414466
1738582314,1.29,1.28,416123
1738582365,1.29,1.28,416256
1738582434,1.29,1.28,416275
1738582495,1.29,1.27,419466
1738582556,1.29,1.26,427726
1738582583,1.29,1.26,427726
1738582669,1.29,1.26,427726
1738582739,1.29,1.28,427751
1738582798,1.29,1.28,427866
1738582854,1.29,1.26,428004
1738582912,1.29,1.26,428040
1738582965,1.29,1.26,428040
1738583039,1.29,1.26,428066
1738583099,1.29,1.26,428066
1738583158,1.29,1.27,457276
1738583209,1.29,1.29,457277
1738583253,1.29,1.29,457277
1738583338,1.29,1.29,457427
1738583384,1.29,1.29,457432
1738583436,1.29,1.29,457483
1738583571,1.29,1.27,457603
1738583637,1.29,1.28,457750
1738583691,1.29,1.28,457750
1738583752,1.29,1.28,458252
1738583806,1.29,1.27,458552
1738583879,1.29,1.27,458552
1738583914,1.29,1.27,458774
1738583993,1.29,1.27,458796
1738584021,1.29,1.28,458846
1738584142,1.29,1.27,465505
1738584227,1.29,1.27,466580
1738584299,1.29,1.27,466580
1738584349,1.29,1.28,467230
1738584478,1.29,1.28,467231
1738584575,1.29,1.28,467241
1738584638,1.29,1.28,467291
1738584663,1.29,1.29,470407
1738584754,1.29,1.29,470506
1738584823,1.29,1.28,472106
1738584875,1.29,1.28,472106
1738584949,1.29,1.28,473276
1738585064,1.29,1.28,473276
1738585107,1.29,1.28,473608
1738585171,1.29,1.27,475686
1738585217,1.29,1.27,475686
1738585309,1.29,1.27,475686
1738585360,1.29,1.28,475720
1738585430,1.29,1.28,477121
1738585499,1.29,1.27,477129
1738585518,1.29,1.29,478532
1738585601,1.29,1.29,478532
