t,ap,cp,v
1738573635,1341.25,1341.25,42
1738573693,1341.25,1341.25,42
1738573741,1341.25,1341.25,42
1738574159,1324.92,1324.95,857
1738574219,1325.96,1323.50,1222
1738574279,1326.20,1326.30,1628
1738574337,1326.16,1325.90,1724
1738574399,1325.98,1324.65,1827
1738574459,1325.90,1321.60,1882
1738574519,1325.34,1321.85,2255
1738574579,1325.34,1323.05,2258
1738574639,1325.16,1321.00,2424
1738574699,1325.06,1320.00,2484
1738574759,1325.01,1323.45,2520
1738574819,1325.46,1329.45,2895
1738574879,1325.67,1330.20,3017
1738574939,1325.67,1322.00,3375
1738574999,1325.60,1320.55,3430
1738575059,1325.49,1322.00,3509
1738575119,1325.29,1322.40,3691
1738575179,1325.14,1318.00,3814
1738575239,1325.06,1315.50,3850
1738575299,1323.78,1311.30,4357
1738575359,1323.59,1312.30,4426
1738575419,1323.30,1309.65,4523
1738575479,1323.03,1308.80,4599
1738575539,1322.82,1303.95,4649
1738575599,1321.66,1302.35,4941
1738575659,1321.38,1305.45,5021
1738575719,1321.11,1302.95,5102
1738575779,1320.86,1304.40,5182
1738575839,1320.85,1303.95,5184
1738575899,1320.31,1303.95,5355
1738575959,1319.53,1300.55,5576
1738576019,1317.90,1302.05,6086
1738576079,1317.75,1301.30,6141
1738576139,1316.51,1298.00,6539
1738576197,1316.17,1295.95,6650
1738576259,1316.09,1296.00,6677
1738576319,1315.46,1295.00,6891
1738576379,1315.19,1292.00,6983
1738576439,1313.48,1290.00,7534
1738576499,1311.38,1292.40,8359
1738576559,1311.31,1295.40,8393
1738576619,1310.58,1295.95,8864
1738576679,1309.64,1297.95,9414
1738576739,1309.56,1297.10,9468
1738576799,1309.56,1299.95,9474
1738576859,1309.33,1298.50,9691
1738576919,1309.22,1306.90,10000
1738576979,1309.21,1305.00,10037
1738577039,1309.14,1302.80,10138
1738577099,1309.12,1303.50,10175
1738577159,1308.76,1302.65,10810
1738577219,1308.76,1303.50,10811
1738577279,1308.79,1311.45,12504
1738577339,1308.87,1314.85,12665
1738577399,1308.94,1314.35,12880
1738577459,1308.95,1312.80,12917
1738577519,1308.95,1313.20,12922
1738577579,1308.95,1313.20,12922
1738577639,1308.95,1312.80,12923
1738577699,1309.12,1315.75,13371
1738577759,1309.17,1319.00,13458
1738577819,1309.17,1316.10,13459
1738577879,1309.34,1319.00,13685
1738577939,1309.42,1317.70,13799
1738577999,1309.44,1316.45,13836
1738578059,1309.44,1316.00,13846
1738578119,1309.73,1320.00,14417
1738578179,1309.74,1317.10,14433
1738578239,1309.79,1317.00,14538
1738578299,1309.79,1314.50,14548
1738578358,1309.79,1314.50,14548
1738578419,1309.83,1316.15,14653
1738578479,1309.83,1315.10,14669
1738578539,1309.84,1313.25,14705
1738578599,1309.85,1313.45,14717
1738578659,1309.86,1315.45,14756
1738578718,1309.86,1315.45,14756
1738578779,1309.86,1315.10,14778
1738578839,1309.87,1314.20,14821
1738578899,1309.88,1315.40,14851
1738578959,1309.89,1315.60,14874
1738579019,1309.90,1317.50,14894
1738579077,1309.91,1319.95,14906
1738579139,1309.93,1317.50,14939
1738579198,1309.94,1317.10,14957
1738579259,1309.94,1317.30,14964
1738579319,1310.01,1319.25,15075
1738579379,1310.10,1322.00,15189
1738579439,1310.18,1322.05,15289
1738579499,1310.28,1325.50,15389
1738579559,1310.39,1322.70,15522
1738579619,1310.54,1325.00,15690
1738579679,1310.72,1325.00,15890
1738579739,1310.97,1320.50,16300
1738579799,1311.01,1323.30,16343
1738579859,1311.21,1324.85,16588
1738579919,1311.29,1321.35,16715
1738579979,1311.43,1326.40,16889
1738580039,1311.46,1323.60,16924
1738580099,1311.47,1326.30,16931
1738580159,1311.49,1325.80,16951
1738580219,1311.49,1326.65,16956
1738580279,1311.54,1328.00,17016
1738580339,1311.63,1329.00,17104
1738580399,1311.77,1330.20,17231
1738580459,1312.15,1331.15,17600
1738580519,1312.16,1332.35,17612
1738580573,1312.16,1332.35,17612
1738580639,1312.21,1330.35,17662
1738580699,1312.22,1330.55,17670
1738580759,1312.27,1331.00,17720
1738580819,1312.47,1328.75,17910
1738580879,1312.47,1328.75,17910
1738580939,1312.49,1332.10,17925
1738580999,1312.49,1329.60,17927
1738581059,1312.60,1328.70,18046
1738581119,1312.61,1331.35,18062
1738581179,1312.61,1331.35,18062
1738581239,1312.62,1330.15,18064
1738581299,1312.62,1330.05,18066
1738581359,1312.62,1330.05,18066
1738581419,1312.64,1329.95,18091
1738581479,1312.64,1330.35,18094
1738581537,1312.64,1330.35,18094
1738581599,1312.67,1327.90,18119
1738581659,1312.67,1328.15,18126
1738581719,1312.68,1328.55,18139
1738581779,1312.68,1328.55,18139
1738581838,1312.68,1328.55,18139
1738581898,1312.68,1328.55,18139
1738581959,1312.78,1328.10,18258
1738582019,1312.79,1326.45,18263
1738582079,1312.79,1326.45,18263
1738582139,1312.80,1325.20,18278
1738582199,1312.80,1325.40,18288
1738582259,1312.80,1325.40,18288
